segment_source,segment_edge_id,edge_src,edge_dst,attempts,completed,timeouts,success_rate,failure_excess,mean_attempt_steps,mean_final_subgoal_l2,mean_selected_policy_action_mse
bank,0,0,1,1,1,0,1.0,0,13.0,12.185835838317871,0.03923908621072769
bank,1,0,20,2,1,1,0.5,0,11.0,14.405348300933838,0.06735612452030182
bank,2,0,21,1,0,1,0.0,1,14.0,13.123329162597656,0.09793959558010101
bank,5,1,3,2,0,2,0.0,2,20.0,10.314581871032715,0.037892282009124756
bank,12,2,4,2,0,2,0.0,2,20.0,15.680586814880371,0.05749189667403698
bank,14,2,22,1,1,0,1.0,0,6.0,12.35421371459961,0.022053662687540054
bank,15,2,23,2,0,2,0.0,2,15.0,11.234549283981323,0.09802760928869247
bank,108,20,21,1,0,1,0.0,1,12.0,12.161970138549805,0.03369520232081413
bank,109,20,40,2,0,2,0.0,2,14.0,15.068653106689453,0.05294928699731827
bank,110,20,41,2,0,2,0.0,2,14.0,10.959993839263916,0.05163251794874668
bank,114,21,20,1,0,1,0.0,1,12.0,13.545958518981934,0.035140685737133026
bank,115,21,22,1,0,1,0.0,1,12.0,10.412284851074219,0.09301510453224182
bank,116,21,40,2,0,2,0.0,2,15.0,21.050682067871094,0.04816491901874542
bank,117,21,41,2,0,2,0.0,2,10.5,9.770436763763428,0.06514313258230686
bank,123,22,23,2,0,2,0.0,2,11.0,11.845123291015625,0.4857388138771057
bank,233,41,60,1,0,1,0.0,1,16.0,11.457332611083984,0.03738653287291527
bank,234,41,61,1,0,1,0.0,1,14.0,10.982217788696289,0.05378848314285278
