dataset,phase2_run,method,seed,sampling_mode,loss_weight_mode,loss_weight_strength,loss_weight_min,loss_weight_max,training_run_dir,model_path,final_val_action_mse,best_val_action_mse,bottleneck_edge_val_mse,non_bottleneck_edge_val_mse,high_support_edge_val_mse,low_support_edge_val_mse,short_horizon_edge_val_mse,long_horizon_edge_val_mse,direct_repair_edge_mse,planner_used_repair_edge_mse,not_planner_used_repair_edge_mse,direct_repair_policy_support_score
antmaze-large-stitch-v0,core_plus_bottleneck_budget120_H10,augmented_loss_support_bottleneck_s03,0,uniform_transition,support_bottleneck,0.3,0.7,1.8,results/phase4m_training/antmaze_large_stitch/core_plus_bottleneck_budget120_H10_3000/augmented_loss_support_bottleneck_s03_seed0,results/phase4m_training/antmaze_large_stitch/core_plus_bottleneck_budget120_H10_3000/augmented_loss_support_bottleneck_s03_seed0/model.pt,0.09391757100820541,0.09391757100820541,0.08351713558804612,0.08766679794354656,0.09283263940378873,0.0782683782773101,0.08730253677861156,0.08290665354051314,0.08231413805772274,0.09267176000362401,0.08109899805289633,0.2160441504019233
antmaze-large-stitch-v0,core_plus_bottleneck_budget120_H10,augmented_loss_support_bottleneck_s03,1,uniform_transition,support_bottleneck,0.3,0.7,1.8,results/phase4m_training/antmaze_large_stitch/core_plus_bottleneck_budget120_H10_3000/augmented_loss_support_bottleneck_s03_seed1,results/phase4m_training/antmaze_large_stitch/core_plus_bottleneck_budget120_H10_3000/augmented_loss_support_bottleneck_s03_seed1/model.pt,0.09466699324548244,0.09466699324548244,0.08247902893691682,0.08819024804989352,0.09237948087130514,0.07821047362782499,0.0873373540758915,0.0819656232450055,0.08133692201600969,0.08821030743754868,0.08053054719001908,0.21694058233778243
antmaze-large-stitch-v0,core_plus_bottleneck_budget120_H10,planner_relevant_repair_s04,0,uniform_transition,planner_relevant,0.0,0.7,2.2,results/phase4m_training/antmaze_large_stitch/core_plus_bottleneck_budget120_H10_3000/planner_relevant_repair_s04_seed0,results/phase4m_training/antmaze_large_stitch/core_plus_bottleneck_budget120_H10_3000/planner_relevant_repair_s04_seed0/model.pt,0.093640205450356,0.093640205450356,0.08249869909133031,0.08752627615493469,0.09244794580111451,0.0774905480407402,0.08669885603453001,0.08236308553716039,0.08182220053342942,0.090438400005556,0.08081136148921346,0.21745060448411993
antmaze-large-stitch-v0,core_plus_bottleneck_budget120_H10,planner_relevant_repair_s04,1,uniform_transition,planner_relevant,0.0,0.7,2.2,results/phase4m_training/antmaze_large_stitch/core_plus_bottleneck_budget120_H10_3000/planner_relevant_repair_s04_seed1,results/phase4m_training/antmaze_large_stitch/core_plus_bottleneck_budget120_H10_3000/planner_relevant_repair_s04_seed1/model.pt,0.09402479697018862,0.09402479697018862,0.08185431815645959,0.08762596360101968,0.0919246442525047,0.07747547576268901,0.08677620735791135,0.08131565542283761,0.08102379922992682,0.08799216865312258,0.08020628102944016,0.2171634648720385
