step,train_action_mse,train_weighted_action_mse
1,0.22150766849517822,0.22311051189899445
1000,0.01742665469646454,0.017573945224285126
2000,0.01384042389690876,0.013992369174957275
3000,0.012017483823001385,0.012218277901411057
