dataset_name,method,episode_id,seed,task_id,num_steps,total_reward,final_reward,success,initial_goal_l2,final_goal_l2,terminated,truncated,failure_reason
scene-play-v0,direct_gcbc_phase4o_scene_H25_s04,0,0,1,100,0.0,0.0,0.0,7.131476879119873,7.166250228881836,False,False,max_steps_without_success
scene-play-v0,direct_gcbc_phase4o_scene_H25_s04,1,1,2,100,0.0,0.0,0.0,6.829733371734619,5.185476303100586,False,False,max_steps_without_success
