condition,top_q,removed_nodes,path_coverage,mean_path_cost,reachable_pair_ratio,average_shortest_path_length
before,0.1,,0.58,75.01103062042223,0.58,113.62229888503892
after,0.1,207 206 86 232,0.44,75.53082140073586,0.44,53.13496985657715
