step,train_action_mse,train_weighted_action_mse
1,0.5962564945220947,0.5944216847419739
100,0.31235116720199585,0.3061293959617615
200,0.2651723027229309,0.268560528755188
300,0.27874642610549927,0.27371442317962646
400,0.25129371881484985,0.24996712803840637
500,0.23326803743839264,0.23010791838169098
