episode_id,segment_source,segment_edge_id,edge_src,edge_dst,attempt_steps,completed,timeout,final_cluster,final_subgoal_l2,mean_selected_policy_action_mse
0,bank,5,1,3,20,0,1,2,7.507175445556641,0.037892282009124756
0,bank,12,2,4,20,0,1,2,15.021217346191406,0.0823717713356018
0,bank,15,2,23,15,0,1,2,10.833316802978516,0.092484250664711
0,bank,14,2,22,1,1,0,22,11.864151000976562,0.022053662687540054
0,bank,123,22,23,11,0,1,1,17.584436416625977,0.4857388138771057
0,graph,0,1,3,20,0,1,22,8.233041763305664,0.037892282009124756
0,bank,121,22,3,16,0,1,22,9.25126838684082,0.3043484687805176
0,bank,123,22,23,11,0,1,1,6.244253158569336,0.4696210026741028
0,bank,6,1,20,6,0,1,21,15.3263521194458,0.034240320324897766
1,bank,1,0,20,14,0,1,0,14.583593368530273,0.06735612452030182
1,bank,2,0,21,14,0,1,0,13.335149765014648,0.09793959558010101
1,bank,0,0,1,14,1,0,1,18.494945526123047,0.03923908621072769
1,bank,5,1,3,20,0,1,2,7.612119674682617,0.037892282009124756
1,bank,12,2,4,20,0,1,2,16.839479446411133,0.03261202201247215
1,bank,15,2,23,15,0,1,1,16.86598777770996,0.10357096791267395
1,graph,0,1,3,20,0,1,2,9.643317222595215,0.037892282009124756
1,bank,14,2,22,3,0,1,2,12.315963745117188,0.022053662687540054
2,bank,117,21,41,14,0,1,21,9.196117401123047,0.09670224040746689
2,bank,114,21,20,5,1,0,20,11.979879379272461,0.04016575962305069
2,bank,109,20,40,1,1,0,40,12.585006713867188,0.05294928699731827
2,bank,227,40,60,14,0,1,40,11.241937637329102,0.0373665988445282
2,bank,228,40,61,12,1,0,61,12.434767723083496,0.03340858221054077
2,bank,318,61,81,14,0,1,61,12.791638374328613,0.058198023587465286
2,bank,317,61,80,16,0,1,82,11.764754295349121,0.039574384689331055
