segment_source,segment_edge_id,planner_edge_id,src,dst,num_policy_mse_samples,min_preplan_policy_action_mse,median_preplan_policy_action_mse,mean_preplan_policy_action_mse,episode_id,replan_index,current_cluster
graph,0,0,1,3,32,0.011230641044676304,0.18180840462446213,0.2962271557189524,0,0,1
bank,3,3,1,0,32,0.011125476099550724,0.12473944947123528,0.3817406593298074,0,0,1
bank,4,4,1,2,32,0.014232323504984379,0.16109026223421097,0.6546922410780098,0,0,1
bank,5,5,1,3,32,0.014322488568723202,0.24811037629842758,0.3081141453876626,0,0,1
bank,6,6,1,20,32,0.023910541087388992,0.22744403034448624,0.28153125394601375,0,0,1
bank,7,7,1,21,32,0.023019365966320038,0.28293442726135254,0.4869366525672376,0,0,1
bank,8,8,1,22,32,0.023960497230291367,0.0859103873372078,0.10743857821216807,0,0,1
bank,9,9,2,0,29,0.034629903733730316,0.3289553225040436,0.3792076405009319,0,1,2
bank,10,10,2,1,32,0.020092885941267014,0.17087256908416748,0.2814545960864052,0,1,2
bank,11,11,2,3,32,0.030576087534427643,0.20402588695287704,0.35862471273867413,0,1,2
bank,12,12,2,4,32,0.044560689479112625,0.1114574745297432,0.1832991831470281,0,1,2
bank,13,13,2,21,32,0.046305689960718155,0.29231999814510345,0.7284884265391156,0,1,2
bank,14,14,2,22,32,0.022053662687540054,0.17688139528036118,0.2126003373414278,0,1,2
bank,15,15,2,23,14,0.03522469103336334,0.1774866059422493,0.23630995729139873,0,1,2
bank,9,9,2,0,29,0.034629903733730316,0.3289553225040436,0.3792076405009319,0,2,2
bank,10,10,2,1,32,0.020092885941267014,0.17087256908416748,0.2814545960864052,0,2,2
bank,11,11,2,3,32,0.030576087534427643,0.20402588695287704,0.35862471273867413,0,2,2
bank,12,12,2,4,32,0.044560689479112625,0.1114574745297432,0.1832991831470281,0,2,2
bank,13,13,2,21,32,0.046305689960718155,0.29231999814510345,0.7284884265391156,0,2,2
bank,14,14,2,22,32,0.022053662687540054,0.17688139528036118,0.2126003373414278,0,2,2
bank,15,15,2,23,14,0.03522469103336334,0.1774866059422493,0.23630995729139873,0,2,2
