edge_id,bank_edge_id,src,dst,repair_score,repair_reason,edge_action_mse,num_policy_eval_samples,edge_action_mse_ucb,direct_edge_policy_support_score,transfer_edge_policy_support_score,transfer_edge_proxy_score
1897,5685,412,474,4.373011274488849,low_compatibility_junction,0.006787687633568269,122,0.021407341150665248,0.8730575941210658,0.2505158290517718,0.0
1898,6539,474,471,4.340259815042824,low_compatibility_junction,0.007795009042515508,148,0.02201939492146629,0.8556445958243896,0.2505158290517718,0.0
1899,3138,232,474,4.328017198354368,low_compatibility_junction,0.009889151910078022,77,0.0321012832560766,0.8205478613663478,0.2505158290517718,0.0
1900,5850,424,474,4.306025846475144,low_compatibility_junction,0.02327375236012402,62,0.06124837186949489,0.6278367822294948,0.2505158290517718,0.0
1901,5901,427,474,4.300755448270508,low_compatibility_junction,0.009024607982851943,79,0.02997328971139026,0.8348592262539419,0.2505158290517718,0.0
1902,17,0,474,4.286955866564938,low_compatibility_junction,0.0071217357058470186,38,0.03395399235789977,0.867244171245639,0.2505158290517718,0.0
1903,5303,384,474,4.28689769530779,low_compatibility_junction,0.01461164494867262,64,0.04422691108024865,0.7465946345994342,0.2505158290517718,0.0
1904,2507,181,474,4.270670867119457,low_compatibility_junction,0.013149390328908338,50,0.044934511970183916,0.7687512709625435,0.2505158290517718,0.0
1905,5916,428,474,4.260910015694648,low_compatibility_junction,0.011876739828628214,34,0.04850912815213318,0.7885694509895472,0.2505158290517718,0.0
1906,5875,425,474,4.245534110639627,low_compatibility_junction,0.006444403233139643,35,0.0330402243122003,0.879072359299579,0.2505158290517718,0.0
1907,6527,474,232,4.241920594305127,low_compatibility_junction,0.02899807328484147,37,0.0838686823454027,0.5599199422745038,0.2505158290517718,0.0
1908,4617,331,474,4.239544040550339,low_compatibility_junction,0.03249382895955932,32,0.0949508875405964,0.5221102120492674,0.2505158290517718,0.0
