condition,top_q,removed_nodes,path_coverage,mean_path_cost,reachable_pair_ratio,average_shortest_path_length
before,0.1,,1.0,21.780129524248903,1.0,20.71233919308459
after,0.1,371 259 163 175 21 22 429 120 266 171 410 3 139 199 179 79 224 167 290 80,1.0,22.434674447561083,1.0,22.414023413418438
