graph_type,query_id,src,dst,reachable,path_length,path_cost,unsupported_edge_fraction,incompatible_edge_fraction,bottleneck_edge_fraction,mean_edge_proxy_score,min_edge_proxy_score,proxy_path_success,uses_unsupported_shortcut,path_nodes
support_graph,65,494,434,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
support_graph,66,327,7,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
support_graph,67,401,377,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
support_graph,68,62,509,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
support_graph,69,436,343,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
support_graph,70,509,385,True,3,9.755928946018456,0.0,1.0,0.3333333333333333,0.07034892941825346,0.0,0.0,False,509 361 217 385
support_graph,71,142,473,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
support_graph,72,252,244,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
support_graph,73,372,480,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
support_graph,74,62,505,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
support_graph,75,287,188,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
support_graph,76,366,117,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
support_graph,77,455,356,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
support_graph,78,62,241,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
support_graph,79,62,467,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
support_graph,80,352,335,True,3,11.955122314805838,0.0,1.0,0.6666666666666666,0.10906672918512318,0.0,0.0,False,352 404 383 335
support_graph,81,115,94,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
support_graph,82,327,288,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
support_graph,83,352,37,True,2,6.485598559653489,0.0,1.0,0.0,0.0591099830249512,0.0,0.0,False,352 24 37
support_graph,84,62,293,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
support_graph,85,161,194,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
support_graph,86,327,98,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
support_graph,87,352,185,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
