graph_type,graph_note,num_edges,supported_edge_rate,unsupported_edge_rate,reverse_supported_rate,bidirectional_supported_rate,median_observed_h_for_supported_edges,fraction_no_observed_h_leq_H
support_graph,,1897,1.0,0.0,0.37005798629414866,0.37005798629414866,4.0,0.0
kNN_graph,,1095,0.4191780821917808,0.5808219178082191,0.4365296803652968,0.22922374429223744,3.0,0.5808219178082191
random_graph,,1897,0.05007907221929362,0.9499209277807064,0.05376910911966262,0.021085925144965736,4.0,0.9499209277807064
GAS_style_threshold_graph,"GAS_style_approximation, not official GAS graph",1897,0.34897206114918294,0.6510279388508171,0.3484449130205588,0.17501317870321562,3.0,0.6510279388508171
