condition,env,reach_auc_proxy,reach_auprc_proxy,cross_traj_selected_rate,reachable_edge_coverage_proxy,selected_edges,num_edges
loaded_baseline,antmaze-large-diverse-v2,0.8855035747618869,0.023629450116434803,0.9708219288280193,0.8888888888888888,936.6666666666666,3600.0
loaded_baseline,antmaze-large-play-v2,0.7410543902951138,0.005861437769356166,0.975436556133658,0.5,971.6666666666666,3600.0
loaded_baseline,antmaze-medium-diverse-v2,0.8633046535563205,0.008694414851990734,0.9751390504183736,1.0,1236.0,3600.0
loaded_baseline,antmaze-medium-play-v2,0.8016166348213817,0.0060769876747808664,0.9842426158862526,0.7777777777777778,1150.0,3600.0
pu_retrain,antmaze-large-diverse-v2,0.841676040494938,0.0613423293504341,0.9801801801801802,0.8571428571428571,1110.0,3600.0
pu_retrain,antmaze-large-play-v2,0.5824647887323944,0.0124857027606839,0.9816446402349486,0.25,1362.0,3600.0
pu_retrain,antmaze-medium-diverse-v2,0.8566197183098592,0.0038736996374993,0.9801749271137026,1.0,1715.0,3600.0
pu_retrain,antmaze-medium-play-v2,0.6177551597398926,0.0007390983000739,0.9849718221665624,1.0,1597.0,3600.0
