segment_source,segment_edge_id,planner_edge_id,src,dst,num_policy_mse_samples,min_preplan_policy_action_mse,median_preplan_policy_action_mse,mean_preplan_policy_action_mse,episode_id,replan_index,current_cluster
bank,230,230,41,21,32,0.014841493219137192,0.42297573387622833,0.633430999063421,1,8,41
bank,231,231,41,40,32,0.023370321840047836,0.19465208053588867,0.3664712905883789,1,8,41
bank,232,232,41,42,17,0.01311744935810566,0.09607000648975372,0.3432190355790012,1,8,41
bank,233,233,41,60,32,0.04085841402411461,0.3754010796546936,0.49970774084795266,1,8,41
bank,234,234,41,61,32,0.046350765973329544,0.22774627804756165,0.29234633687883615,1,8,41
bank,235,235,41,81,5,0.061936020851135254,0.13594166934490204,0.19928194284439088,1,8,41
bank,105,105,20,0,32,0.02081938274204731,0.1808299869298935,0.21686966629931703,2,0,20
bank,106,106,20,1,32,0.020484304055571556,0.15262585878372192,0.5230499369208701,2,0,20
bank,107,107,20,2,10,0.032170817255973816,0.1698993481695652,1.5967457942664622,2,0,20
bank,108,108,20,21,32,0.02005573734641075,0.1200275793671608,0.3194516358198598,2,0,20
bank,109,109,20,40,32,0.01983625255525112,0.19897396862506866,0.3729744048905559,2,0,20
bank,110,110,20,41,32,0.012294483371078968,0.14164626598358154,0.18161352598690428,2,0,20
bank,105,105,20,0,32,0.02081938274204731,0.1808299869298935,0.21686966629931703,2,1,20
bank,106,106,20,1,32,0.020484304055571556,0.15262585878372192,0.5230499369208701,2,1,20
bank,107,107,20,2,10,0.032170817255973816,0.1698993481695652,1.5967457942664622,2,1,20
bank,108,108,20,21,32,0.02005573734641075,0.1200275793671608,0.3194516358198598,2,1,20
bank,109,109,20,40,32,0.01983625255525112,0.19897396862506866,0.3729744048905559,2,1,20
bank,110,110,20,41,32,0.012294483371078968,0.14164626598358154,0.18161352598690428,2,1,20
bank,105,105,20,0,32,0.02081938274204731,0.1808299869298935,0.21686966629931703,2,2,20
bank,106,106,20,1,32,0.020484304055571556,0.15262585878372192,0.5230499369208701,2,2,20
bank,107,107,20,2,10,0.032170817255973816,0.1698993481695652,1.5967457942664622,2,2,20
bank,108,108,20,21,32,0.02005573734641075,0.1200275793671608,0.3194516358198598,2,2,20
bank,109,109,20,40,32,0.01983625255525112,0.19897396862506866,0.3729744048905559,2,2,20
bank,110,110,20,41,32,0.012294483371078968,0.14164626598358154,0.18161352598690428,2,2,20
bank,105,105,20,0,32,0.02081938274204731,0.1808299869298935,0.21686966629931703,2,3,20
bank,106,106,20,1,32,0.020484304055571556,0.15262585878372192,0.5230499369208701,2,3,20
bank,107,107,20,2,10,0.032170817255973816,0.1698993481695652,1.5967457942664622,2,3,20
bank,108,108,20,21,32,0.02005573734641075,0.1200275793671608,0.3194516358198598,2,3,20
bank,109,109,20,40,32,0.01983625255525112,0.19897396862506866,0.3729744048905559,2,3,20
bank,110,110,20,41,32,0.012294483371078968,0.14164626598358154,0.18161352598690428,2,3,20
bank,391,391,101,80,32,0.022100217640399933,0.21604835987091064,0.4837635738076642,2,4,101
bank,392,392,101,81,32,0.047160837799310684,0.23428554087877274,0.3433851156150922,2,4,101
bank,393,393,101,100,32,0.02987722121179104,0.15115797519683838,0.2591482746065594,2,4,101
bank,394,394,101,102,32,0.01752898469567299,0.12742581963539124,0.5083267632871866,2,4,101
bank,395,395,101,120,32,0.021919388324022293,0.247087299823761,0.4619198600994423,2,4,101
bank,396,396,101,121,32,0.018923887982964516,0.1604747250676155,0.33983452431857586,2,4,101
bank,397,397,101,122,32,0.026735059916973114,0.2858799546957016,0.48098724731244147,2,4,101
bank,398,398,101,141,4,0.5836506485939026,0.8299742639064789,1.1756955981254578,2,4,101
bank,391,391,101,80,32,0.022100217640399933,0.21604835987091064,0.4837635738076642,2,5,101
bank,392,392,101,81,32,0.047160837799310684,0.23428554087877274,0.3433851156150922,2,5,101
bank,393,393,101,100,32,0.02987722121179104,0.15115797519683838,0.2591482746065594,2,5,101
bank,394,394,101,102,32,0.01752898469567299,0.12742581963539124,0.5083267632871866,2,5,101
bank,395,395,101,120,32,0.021919388324022293,0.247087299823761,0.4619198600994423,2,5,101
bank,396,396,101,121,32,0.018923887982964516,0.1604747250676155,0.33983452431857586,2,5,101
bank,397,397,101,122,32,0.026735059916973114,0.2858799546957016,0.48098724731244147,2,5,101
bank,398,398,101,141,4,0.5836506485939026,0.8299742639064789,1.1756955981254578,2,5,101
