method,query_id,src,dst,reachable,path_length,num_adjacent_edge_pairs,planning_path_cost,base_path_cost,pair_penalty_cost,mean_edge_proxy_score,min_edge_proxy_score,mean_heldout_support_lcb,min_heldout_support_lcb,mean_edge_policy_support_score,mean_edge_ood_score,mean_pair_termination_bridge_coverage,min_pair_termination_bridge_coverage,mean_pair_bridge_matches_per_first_segment,pair_strict_compatible_rate,pair_incompatible_fraction,low_pair_coverage_fraction,missing_pair_fraction,uncertified_edge_fraction,original_uncertified_edge_fraction,high_pair_risk_fraction,proxy_path_success,path_nodes,path_edge_ids,graph_variant
support_shortest_path,0,229,404,True,4,3,11.773412719021717,11.773412719021717,30.0,0.15981499642812988,0.042804928127616,0.11441244643951175,0.0,0.23479886480152118,0.5359062520795754,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,1.0,0.00015755301056948154,229 149 42 405 404,907 592 252 1626,base
support_shortest_path,1,7,380,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,2,401,477,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,3,315,106,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,4,428,224,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,5,327,27,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,6,55,461,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,7,64,67,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,8,440,380,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,9,0,470,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,10,480,240,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,11,67,207,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
