cage_contract_commit_mean,cage_contract_rank_mean,cage_safe_mode_enabled_mean,cage_trace_only_mean,churn_guard_active_on_timeout_mean,churn_guard_trigger_count_mean,contract_fallback_to_gas_when_uncertain_count_mean,contract_final_goal_reject_count_mean,contract_gate_pass_count_mean,contract_gate_reject_count_mean,contract_gate_reject_rate_mean,contract_model_loaded_mean,contract_rank_choose_cage_count_mean,contract_rank_choose_committed_count_mean,contract_rank_choose_gas_count_mean,contract_rank_extreme_reject_count_mean,contract_recovery_reject_count_mean,drift_count_mean,early_switch_count_mean,env_name,fallback_to_gas_count_mean,fallback_to_gas_step_count_mean,final_goal_on_rate_mean,final_goal_stall_count_mean,final_goal_switch_count_mean,global_replan_request_count_mean,global_replan_request_rate_per_100_steps_mean,max_consecutive_replan_burst_mean,mean_commitment_length_mean,mean_contract_candidate_coverage_mean,mean_contract_gas_score_mean,mean_contract_selected_score_mean,mean_distance_to_path_mean,mean_segment_progress_mean,no_path_rate_mean,normalized_score_mean,normalized_score_std,num_jobs,num_succeeded,path_changed_from_gas_rate_mean,path_min_reachability_mean,recovery_attempt_count_mean,recovery_success_rate_mean,recovery_suppressed_by_lockout_count_mean,replan_suppressed_by_budget_count_mean,replan_suppressed_by_cooldown_count_mean,return_mean,segment_target_reach_rate_mean,stall_count_mean,success_rate_mean,success_rate_std,target_switch_count_mean,target_switch_count_std,timeout_rate_mean,variant
1.0,0.0,1.0,0.0,0.0,0.0,260.28,0.88,221.36,260.28,0.5165337471683719,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92,antmaze-giant-navigate-v0,0.0,9.08,0.48,1.84,0.48,0.0,0.0,0.0,33.56210989590266,,,,6.358908084125637,0.17348731507156734,0.0,40.0,0.0,1,1,,,0.0,,0.0,0.0,0.0,0.4,0.19745081043912083,19.04,0.4,0.0,39.76,0.0,0.0,cage_contract_commit
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,64.96,137.2,324.76,0.0,0.0,0.2,7.0,antmaze-giant-navigate-v0,0.0,0.0,0.48,5.16,0.48,0.0,0.0,0.0,47.348172721624714,1.0,0.5025731963098079,0.5889038145026583,6.90283782167032,0.13794282659005885,0.0,44.0,0.0,1,1,,,0.0,,0.0,0.0,0.0,0.44,0.39095974613171725,19.6,0.44,0.0,37.04,0.0,0.0,cage_contract_rank
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36,antmaze-giant-navigate-v0,0.0,0.0,0.8,7.68,0.96,5.56,0.6264118873061195,0.92,10.52799154301138,,,,5.852892234429177,0.2429532735258718,0.0,72.0,0.0,1,1,,,2.0,0.02,12.16,0.0,0.0,0.72,0.01277771489783248,10.8,0.72,0.0,80.04,0.0,0.0,cage_safe_full
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.56,antmaze-giant-navigate-v0,0.0,0.0,0.72,10.76,0.72,0.0,0.0,0.0,17.37040547015911,,,,6.46898276663525,0.22099163650738826,0.0,60.0,0.0,1,1,,,0.0,,0.0,0.0,0.0,0.6,0.05351876757988562,0.0,0.6,0.0,113.16,0.0,0.0,cage_trace_only
,,,,,,,,,,,,,,,,,,,antmaze-giant-navigate-v0,,,,,,,,,,,,,,,,60.0,0.0,1,1,,,,,,,,0.6,,,0.6,0.0,,,,gas
1.0,0.0,1.0,0.0,0.0,0.0,854.92,0.0,1.2,854.92,0.998336270264478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,antmaze-giant-stitch-v0,0.0,14.84,0.0,0.0,0.0,0.0,0.0,0.0,102.90532056648998,,,,6.209959108514786,0.05635599951505661,0.0,0.0,0.0,1,1,,,0.0,,0.0,0.0,0.0,0.0,0.8483361582611958,51.44,0.0,0.0,12.76,0.0,0.0,cage_contract_commit
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,45.52,184.96,158.68,6.48,0.0,0.0,7.8,antmaze-giant-stitch-v0,0.0,0.0,0.68,3.64,1.44,0.0,0.0,0.0,18.59531809373105,0.9924634287858395,-0.0842181103375131,0.035710109491008564,6.004313000729552,0.17411332794258327,0.0,64.0,0.0,1,1,,,0.0,,0.0,0.0,0.0,0.64,0.3094352780270622,22.56,0.64,0.0,48.24,0.0,0.0,cage_contract_rank
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28,antmaze-giant-stitch-v0,0.0,0.0,0.8,5.56,0.8,5.68,0.6084779668908161,0.76,11.734973859262263,,,,6.26028613243292,0.2709976209470092,0.0,80.0,0.0,1,1,,,1.84,0.043478260869565216,60.04,0.0,0.0,0.8,0.008552310511252865,8.64,0.8,0.0,72.12,0.0,0.0,cage_safe_full
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.28,antmaze-giant-stitch-v0,0.0,0.0,0.84,15.36,0.84,0.0,0.0,0.0,5.396925006365971,,,,6.002039954174869,0.29451303498714143,0.0,80.0,0.0,1,1,,,0.0,,0.0,0.0,0.0,0.8,0.04386503883509469,0.0,0.8,0.0,135.88,0.0,0.0,cage_trace_only
,,,,,,,,,,,,,,,,,,,antmaze-giant-stitch-v0,,,,,,,,,,,,,,,,80.0,0.0,1,1,,,,,,,,0.8,,,0.8,0.0,,,,gas
