condition,top_q,removed_nodes,path_coverage,mean_path_cost,reachable_pair_ratio,average_shortest_path_length
before,0.1,,0.0,0.0,0.0,23.316723150702035
after,0.1,371 259 163 175 21 22 429,0.0,0.0,0.0,26.908980756179584
