dataset_name,H,node_selection,node_budget,mode,num_queries,num_reachable,path_coverage,mean_path_edges,mean_path_cost,median_path_cost,all_num_queries,strict_num_queries,strict_num_reachable,strict_query_selection_rate,strict_coverage_over_all,mean_num_virtual_edges_used,median_num_virtual_edges_used,mean_virtual_edge_ratio
scene-play-v0,25,bottleneck,64,strict_selected,0,0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,,,
scene-play-v0,25,bottleneck,64,virtual_query,100,100,1.0,2.06,47.819652936868025,50.0,100,,,,,1.88,2.0,0.9513333333333334
