H,all_num_queries,bottleneck_removal_delta_cost,bottleneck_removal_delta_coverage,cluster_compatible_rate,dataset_name,graph_reachable_pair_ratio_sampled,lcb_compatible_rate,mean_compatibility_support_rate,mean_num_bridge_segments,mean_num_segments_per_edge,mean_num_unique_episodes_per_edge,mean_num_unique_starts_per_edge,mean_num_virtual_edges_used,mean_option_cost,mean_option_median_h,mean_virtual_edge_ratio,median_num_bridge_segments,median_num_virtual_edges_used,median_option_cost,node_budget,node_selection,num_edge_segments,num_option_edges,num_selected_nodes,strict_compatible_rate,strict_coverage_over_all,strict_mean_path_cost,strict_num_queries,strict_num_reachable,strict_path_coverage,strict_query_selection_rate,support_baseline,support_unit,virtual_mean_path_cost,virtual_num_queries,virtual_num_reachable,virtual_path_coverage,cost_type
5,100,0.0,0.0,1.0,scene-play-v0,0.5049603174603174,0.3344783844147083,0.7423587733128758,78.26076833527357,94.5324074074074,8.587962962962964,36.9537037037037,0.93,3.840826253786586,3.5833333333333335,0.3235238095238095,0.0,0.0,4.106905805830792,64,density,20419,216,64,0.36670547147846333,0.0,0.0,0,0,0.0,0.0,support_density,unique_starts,14.691006322988159,100,48,0.48,
5,100,0.0,0.0,1.0,scene-play-v0,0.886656746031746,0.34255405829217084,0.515430551784931,46.74857142857143,85.26510067114094,15.895973154362416,43.4496644295302,1.63,3.774125779407068,3.5033557046979866,0.5220238095238096,0.0,2.0,4.083387655584324,64,bottleneck,25409,298,64,0.36634920634920637,0.01,10.351615044897493,1,1,1.0,0.01,support_bottleneck,unique_starts,15.688268487827967,100,83,0.83,
5,100,-11.357897198022918,1.0,1.0,scene-play-v0,0.9285714285714286,0.33889297971869575,0.4949724765459268,41.83471074380165,73.49647887323944,12.161971830985916,34.144366197183096,1.59,3.8629851305007015,3.5809859154929575,0.5157142857142857,0.0,2.0,4.10207868954055,64,core_plus_bottleneck,20873,284,64,0.36363636363636365,0.01,11.357897198022918,1,1,1.0,0.01,support_core_plus_bottleneck,unique_starts,15.53030529489471,100,81,0.81,
5,100,0.6508729051742694,0.12,1.0,scene-play-v0,0.9094,0.3025504886934567,0.5349547533184223,35.30657019391689,57.98352272727273,8.077556818181819,26.206392045454546,1.97,3.9081859257680134,3.605965909090909,0.8100000000000002,0.0,2.0,4.145864991497895,64,all,408204,7040,512,0.3051547421796292,0.95,10.836434528051866,100,95,0.95,1.0,support_all_upper_bound,unique_starts,11.689586676196871,100,100,1.0,
5,100,10.622033975295466,0.0,1.0,scene-play-v0,0.8752,0.3320496028516424,0.7805443273076077,79.62659621312197,90.56652360515021,8.15450643776824,35.28898426323319,1.77,3.9003189053662393,3.633047210300429,0.5753095238095238,0.0,2.0,4.124034734589208,128,density,63306,699,128,0.34588287098194626,0.04,19.319575178495576,5,4,0.8,0.05,support_density,unique_starts,16.025356850058593,100,90,0.9,
5,100,0.3032193360077926,0.0,1.0,scene-play-v0,0.9808,0.3567418126908923,0.5061431305817634,45.18986960882648,78.96007604562737,14.209125475285171,39.506653992395435,1.89,3.7662075500780348,3.4923954372623576,0.6555714285714287,0.0,2.0,4.092450032704205,128,bottleneck,83066,1052,128,0.3661985957873621,0.05,12.92071073813916,7,5,0.7142857142857143,0.07,support_bottleneck,unique_starts,14.059372583953168,100,96,0.96,
5,100,0.8693407030293514,0.25,1.0,scene-play-v0,0.9788,0.3177029376910585,0.5222606047922554,45.29923528759836,76.2721021611002,11.577603143418468,35.25343811394892,1.81,3.8563418839273624,3.5776031434184676,0.6383333333333333,0.0,2.0,4.114707866935281,128,core_plus_bottleneck,77645,1018,128,0.3273855702094647,0.08,11.926564690449553,8,8,1.0,0.08,support_core_plus_bottleneck,unique_starts,13.771890311797694,100,92,0.92,
5,100,0.6508729051742694,0.12,1.0,scene-play-v0,0.9094,0.3025504886934567,0.5349547533184223,35.30657019391689,57.98352272727273,8.077556818181819,26.206392045454546,1.97,3.9081859257680134,3.605965909090909,0.8100000000000002,0.0,2.0,4.145864991497895,128,all,408204,7040,512,0.3051547421796292,0.95,10.836434528051866,100,95,0.95,1.0,support_all_upper_bound,unique_starts,11.689586676196871,100,100,1.0,
5,100,1.5222007536819504,0.23529411764705888,1.0,scene-play-v0,0.9906,0.30332094579484514,0.6731566982214268,63.87545176536002,82.23442732752846,7.772270596115204,32.4085733422639,1.87,3.8880254759904886,3.6091761553918285,0.6723333333333333,0.0,2.0,4.122169444356305,192,density,122776,1493,192,0.310884070058382,0.17,11.332453893827752,17,17,1.0,0.17,support_density,unique_starts,13.70357220423867,100,95,0.95,
5,100,1.7586994059154843,0.2142857142857143,1.0,scene-play-v0,1.0,0.3378902718260517,0.5074048620206831,38.67189918195888,68.67813953488373,11.413023255813954,32.97767441860465,1.91,3.838464797066997,3.550232558139535,0.7233333333333334,0.0,2.0,4.113227703414459,192,bottleneck,147658,2150,192,0.3435404230230673,0.14,12.044792856463834,14,14,1.0,0.14,support_bottleneck,unique_starts,12.826029386947585,100,97,0.97,
5,100,1.0465357180139154,0.23529411764705876,1.0,scene-play-v0,0.973,0.33113599981140657,0.5260413406981644,44.816008411044066,73.79810226673695,11.046916183447548,34.20664206642066,1.91,3.8731407004411142,3.5933052187664734,0.6923333333333335,0.0,2.0,4.122169444356305,192,core_plus_bottleneck,139995,1897,192,0.3374017187785701,0.16,10.795866425180797,17,16,0.9411764705882353,0.17,support_core_plus_bottleneck,unique_starts,13.367724672282119,100,97,0.97,
5,100,0.6508729051742694,0.12,1.0,scene-play-v0,0.9094,0.3025504886934567,0.5349547533184223,35.30657019391689,57.98352272727273,8.077556818181819,26.206392045454546,1.97,3.9081859257680134,3.605965909090909,0.8100000000000002,0.0,2.0,4.145864991497895,192,all,408204,7040,512,0.3051547421796292,0.95,10.836434528051866,100,95,0.95,1.0,support_all_upper_bound,unique_starts,11.689586676196871,100,100,1.0,
10,100,0.0,0.0,1.0,scene-play-v0,0.953125,0.36243768802476073,1.4255286991675042,317.86309523809524,195.31290322580645,9.370967741935484,51.96774193548387,1.59,7.254959858871605,7.009677419354839,0.5494047619047618,0.0,2.0,7.159197591509685,64,density,60547,310,64,0.38571428571428573,0.0,0.0,0,0,0.0,0.0,support_density,unique_starts,29.227815035568877,100,82,0.82,
