baseline,node_selection,H,node_budget,num_edges,unsupported_edge_rate,path_coverage_strict,path_coverage_virtual,mean_path_cost_strict,mean_path_cost_virtual,hop_count_cost,num_queries_strict,num_reachable_strict,num_queries_virtual,num_reachable_virtual
support_all_upper_bound,all,10,128,11018,0.0,0.95,1.0,14.62478880591475,20.645228321929483,,100,95,100.0,100.0
kNN_same_nodes,all,10,128,11018,0.6148121256126339,0.99,,,,3.3838383838383836,100,99,,
random_same_edge_budget,all,10,128,11018,0.9373752042112906,1.0,,,,2.4,100,100,,
support_density,density,10,192,2207,0.0,1.0,0.98,16.981324822556505,22.93098088850747,,17,17,100.0,98.0
kNN_same_nodes,density,10,192,1284,0.5062305295950156,0.6470588235294118,,,,3.909090909090909,17,11,,
random_same_edge_budget,density,10,192,2207,0.9220661531490711,1.0,,,,2.4705882352941178,17,17,,
support_bottleneck,bottleneck,10,192,2840,0.0,1.0,1.0,16.511331670446417,21.695669481245858,,13,13,100.0,100.0
kNN_same_nodes,bottleneck,10,192,1659,0.510548523206751,0.9230769230769231,,,,3.75,13,12,,
random_same_edge_budget,bottleneck,10,192,2840,0.9017605633802817,1.0,,,,1.9230769230769231,13,13,,
support_core_plus_bottleneck,core_plus_bottleneck,10,192,2743,0.0,1.0,1.0,16.543601650734253,22.063794995531083,,16,16,100.0,100.0
kNN_same_nodes,core_plus_bottleneck,10,192,1584,0.5138888888888888,0.75,,,,3.6666666666666665,16,12,,
random_same_edge_budget,core_plus_bottleneck,10,192,2743,0.8960991615020051,1.0,,,,2.4375,16,16,,
support_all_upper_bound,all,10,192,11018,0.0,0.95,1.0,14.62478880591475,20.645228321929483,,100,95,100.0,100.0
kNN_same_nodes,all,10,192,11018,0.6148121256126339,0.99,,,,3.3838383838383836,100,99,,
random_same_edge_budget,all,10,192,11018,0.9373752042112906,1.0,,,,2.4,100,100,,
support_density,density,25,64,610,0.0,0.0,0.95,0.0,52.41017464127727,,0,0,100.0,95.0
kNN_same_nodes,density,25,64,195,0.48205128205128206,0.0,,,,0.0,0,0,,
random_same_edge_budget,density,25,64,610,0.8114754098360656,0.0,,,,0.0,0,0,,
support_bottleneck,bottleneck,25,64,974,0.0,0.0,1.0,0.0,47.819652936868025,,0,0,100.0,100.0
kNN_same_nodes,bottleneck,25,64,279,0.4050179211469534,0.0,,,,0.0,0,0,,
random_same_edge_budget,bottleneck,25,64,974,0.7114989733059548,0.0,,,,0.0,0,0,,
