segment_source,segment_edge_id,planner_edge_id,src,dst,edge_static_risk_penalty,edge_state_risk_penalty,edge_failure_count,edge_failure_cost,base_planning_cost,edge_planning_cost_before_state_outcome,selected_init_distance,predicted_failure_prob,state_conditioned_outcome_penalty,state_conditioned_outcome_model_fitted,episode_id,replan_index,current_cluster
graph,0,0,1,3,3.869096217594607,0.15803013970713942,0,0.0,10.174077655955696,14.201204013257442,3.5942842960357666,0.7456225967760088,0.7456225967760088,True,0,0,1
bank,3,3,1,0,0.26752576355130486,0.021426034015417567,0,0.0,7.04,7.328951797566723,0.32205167412757874,0.5564026273623968,0.5564026273623968,True,0,0,1
bank,4,4,1,2,6.176279058275583,0.13292950290300848,0,0.0,7.057831493196624,13.367040054375215,2.726928234100342,0.7222787629001628,0.7222787629001628,True,0,0,1
bank,5,5,1,3,0.6898993604294632,0.15803013970713942,0,0.0,10.174077655955696,11.022007156092299,3.5942842960357666,0.7141462771998179,0.7141462771998179,True,0,0,1
bank,6,6,1,20,0.6926654687400513,0.24184304114631683,0,0.0,9.174077655955696,10.108586165842063,12.301759719848633,0.9149388271944658,0.9149388271944658,True,0,0,1
bank,7,7,1,21,3.605162013332945,0.053611413735789204,0,0.0,7.08304547985374,10.741818906922473,0.867536723613739,0.6213002652619874,0.6213002652619874,True,0,0,1
bank,8,8,1,22,0.6564217978800241,0.24020817406841863,0,0.0,6.258198889747161,7.154828861695604,11.64516830444336,0.8988567386799156,0.8988567386799156,True,0,0,1
graph,0,0,1,3,3.869096217594607,0.15803013970713942,0,0.0,10.174077655955696,14.201204013257442,3.1557164192199707,0.7313615742940204,0.7313615742940204,True,0,1,1
bank,3,3,1,0,0.26752576355130486,0.01783564245404362,0,0.0,7.04,7.3253614060053485,0.23357148468494415,0.5525088231035693,0.5525088231035693,True,0,1,1
bank,4,4,1,2,6.176279058275583,0.1299074808519759,0,0.0,7.057831493196624,13.364018032324182,2.3137664794921875,0.7079581720991949,0.7079581720991949,True,0,1,1
bank,5,5,1,3,0.6898993604294632,0.15803013970713942,1,10.0,10.174077655955696,21.0220071560923,3.1557164192199707,0.6684721437633802,0.6684721437633802,True,0,1,1
bank,6,6,1,20,0.6926654687400513,0.24589003192812864,0,0.0,9.174077655955696,10.112633156623875,12.963827133178711,0.9232931512406798,0.9232931512406798,True,0,1,1
bank,7,7,1,21,3.605162013332945,0.03545169987371835,0,0.0,7.08304547985374,10.723659193060403,0.4825911819934845,0.6048907835653492,0.6048907835653492,True,0,1,1
bank,8,8,1,22,0.6564217978800241,0.2426419418853685,0,0.0,6.258198889747161,7.157262629512554,11.125998497009277,0.8906829899809703,0.8906829899809703,True,0,1,1
bank,9,9,2,0,0.7866260635863283,0.15465320781801659,0,0.0,10.25,11.191279271404346,1.7733027935028076,0.649085673389892,0.649085673389892,True,0,2,2
bank,10,10,2,1,0.37175506729789487,0.1491489324880873,0,0.0,7.072739296745331,7.5936432965313125,1.67005455493927,0.620188678568899,0.620188678568899,True,0,2,2
bank,11,11,2,3,6.156739000712761,0.15803013970713942,0,0.0,7.052631578947368,13.36740071936727,1.8396397829055786,0.6923792448321107,0.6923792448321107,True,0,2,2
bank,12,12,2,4,6.527592381143653,0.16189227843537463,0,0.0,10.147441956154896,16.836926615733923,1.9185616970062256,0.7164718913908933,0.7164718913908933,True,0,2,2
bank,13,13,2,21,0.47683812719187046,0.21474656862695551,0,0.0,8.100503781525921,8.792088477344747,3.6036667823791504,0.7036080411951012,0.7036080411951012,True,0,2,2
bank,14,14,2,22,0.46752177847356113,0.17032461025782358,0,0.0,5.138675049056308,5.776521437787692,2.103628396987915,0.6274869745542172,0.6274869745542172,True,0,2,2
bank,15,15,2,23,0.8055087713818384,0.1572283420564663,0,0.0,7.801511344577763,8.764248458016068,1.8236712217330933,0.6363326124791183,0.6363326124791183,True,0,2,2
bank,9,9,2,0,0.7866260635863283,0.15777965840945354,0,0.0,10.25,11.194405721995782,1.5467922687530518,0.6405210093594536,0.6405210093594536,True,0,3,2
bank,10,10,2,1,0.37175506729789487,0.14767407106605884,0,0.0,7.072739296745331,7.592168435109285,1.385514497756958,0.6087536129933879,0.6087536129933879,True,0,3,2
bank,11,11,2,3,6.156739000712761,0.15803013970713942,0,0.0,7.052631578947368,13.36740071936727,1.5510107278823853,0.6819306021594775,0.6819306021594775,True,0,3,2
bank,12,12,2,4,6.527592381143653,0.1643498066213392,0,0.0,10.147441956154896,16.839384143919887,1.661426305770874,0.7077152518434385,0.7077152518434385,True,0,3,2
bank,13,13,2,21,0.47683812719187046,0.2206878344005697,0,0.0,8.100503781525921,8.798029743118361,3.324526786804199,0.6940143157012794,0.6940143157012794,True,0,3,2
bank,14,14,2,22,0.46752177847356113,0.17203118000165446,0,0.0,5.138675049056308,5.778228007531522,1.807163119316101,0.615841124165727,0.615841124165727,True,0,3,2
bank,15,15,2,23,0.8055087713818384,0.15694403665034978,1,10.0,7.801511344577763,18.76396415260995,1.532801628112793,0.5914499377856333,0.5914499377856333,True,0,3,2
