segment_source,segment_edge_id,planner_edge_id,src,dst,num_initiation_samples,min_initiation_distance,median_initiation_distance,distance_scale,state_conditioned_risk_score,state_conditioned_risk_penalty,episode_id,replan_index,current_cluster
graph,0,0,1,3,54,3.5942842960357666,20.716434478759766,3.5942842960357666,0.6321205588285577,0.15803013970713942,0,0,1
bank,3,3,1,0,128,0.32205167412757874,27.345901489257812,3.5942842960357666,0.08570413606167027,0.021426034015417567,0,0,1
bank,4,4,1,2,128,2.726928234100342,23.22477912902832,3.5942842960357666,0.5317180116120339,0.13292950290300848,0,0,1
bank,5,5,1,3,54,3.5942842960357666,20.716434478759766,3.5942842960357666,0.6321205588285577,0.15803013970713942,0,0,1
bank,6,6,1,20,56,12.301759719848633,22.79817008972168,3.5942842960357666,0.9673721645852673,0.24184304114631683,0,0,1
bank,7,7,1,21,128,0.867536723613739,25.692481994628906,3.5942842960357666,0.21444565494315682,0.053611413735789204,0,0,1
bank,8,8,1,22,57,11.64516830444336,24.59907341003418,3.5942842960357666,0.9608326962736745,0.24020817406841863,0,0,1
graph,0,0,1,3,54,3.1557164192199707,21.351839065551758,3.1557164192199707,0.6321205588285577,0.15803013970713942,0,1,1
bank,3,3,1,0,128,0.23357148468494415,27.354440689086914,3.1557164192199707,0.07134256981617448,0.01783564245404362,0,1,1
bank,4,4,1,2,128,2.3137664794921875,23.55582046508789,3.1557164192199707,0.5196299234079036,0.1299074808519759,0,1,1
bank,5,5,1,3,54,3.1557164192199707,21.351839065551758,3.1557164192199707,0.6321205588285577,0.15803013970713942,0,1,1
bank,6,6,1,20,56,12.963827133178711,23.283145904541016,3.1557164192199707,0.9835601277125146,0.24589003192812864,0,1,1
bank,7,7,1,21,128,0.4825911819934845,26.494579315185547,3.1557164192199707,0.1418067994948734,0.03545169987371835,0,1,1
bank,8,8,1,22,57,11.125998497009277,25.45890998840332,3.1557164192199707,0.970567767541474,0.2426419418853685,0,1,1
bank,9,9,2,0,29,1.7733027935028076,25.857131958007812,1.8396397829055786,0.6186128312720663,0.15465320781801659,0,2,2
bank,10,10,2,1,128,1.67005455493927,24.221527099609375,1.8396397829055786,0.5965957299523492,0.1491489324880873,0,2,2
bank,11,11,2,3,128,1.8396397829055786,19.217899322509766,1.8396397829055786,0.6321205588285577,0.15803013970713942,0,2,2
bank,12,12,2,4,76,1.9185616970062256,20.89786148071289,1.8396397829055786,0.6475691137414985,0.16189227843537463,0,2,2
bank,13,13,2,21,128,3.6036667823791504,12.393167495727539,1.8396397829055786,0.8589862745078221,0.21474656862695551,0,2,2
bank,14,14,2,22,128,2.103628396987915,12.697113037109375,1.8396397829055786,0.6812984410312943,0.17032461025782358,0,2,2
bank,15,15,2,23,14,1.8236712217330933,18.316234588623047,1.8396397829055786,0.6289133682258652,0.1572283420564663,0,2,2
bank,9,9,2,0,29,1.5467922687530518,25.937641143798828,1.5510107278823853,0.6311186336378142,0.15777965840945354,0,3,2
bank,10,10,2,1,128,1.385514497756958,24.200666427612305,1.5510107278823853,0.5906962842642354,0.14767407106605884,0,3,2
bank,11,11,2,3,128,1.5510107278823853,19.40999984741211,1.5510107278823853,0.6321205588285577,0.15803013970713942,0,3,2
bank,12,12,2,4,76,1.661426305770874,20.758882522583008,1.5510107278823853,0.6573992264853568,0.1643498066213392,0,3,2
bank,13,13,2,21,128,3.324526786804199,12.171972274780273,1.5510107278823853,0.8827513376022788,0.2206878344005697,0,3,2
bank,14,14,2,22,128,1.807163119316101,12.448086738586426,1.5510107278823853,0.6881247200066178,0.17203118000165446,0,3,2
bank,15,15,2,23,14,1.532801628112793,18.106788635253906,1.5510107278823853,0.6277761466013991,0.15694403665034978,0,3,2
