candidate_type,num_edges,unsupported_edge_rate,supported_edge_rate,reverse_supported_rate,bidirectional_supported_rate
raw_state_kNN,5120,0.3384765625,0.6615234375,0.666796875,0.5771484375
PCA_state_kNN,5120,0.3587890625,0.6412109375,0.6390625,0.539453125
random_edges,5120,0.7361328125,0.2638671875,0.25703125,0.1767578125
support_graph,68428,0.0,1.0,0.6587069620623137,0.6587069620623137
