H,support_asymmetry,one_way_edge_ratio,num_support_edges,num_support_nodes,num_self_edges,num_inter_edges,num_all_supported_edges,mean_directed_asymmetry,one_way_reachable_ratio,reachable_pair_ratio,directed_reachable_pair_ratio,num_sampled_pairs
1,0.16289289289289288,0.6927129060579456,3417,512,508,3417,3925,0.13502993431118596,0.0106,0.8524,0.8471,5000
5,0.3645235707121364,0.6518650088809946,10697,512,509,10697,11206,0.09842441558439533,0.0,1.0,1.0,5000
10,0.5114213172448466,0.6121977888470417,16462,512,509,16462,16971,0.08900733044730975,0.0,1.0,1.0,5000
25,0.5726464032421479,0.4602414880887632,36772,512,509,36772,37281,0.06793857142855204,0.0,1.0,1.0,5000
50,0.4915133914828117,0.34129303793768634,68428,512,511,68428,68939,0.06694380952378817,0.0,1.0,1.0,5000
