H,density_top_p,random_same_budget,bottleneck_top_p,core_plus_bottleneck
1,0.6346153846153846,0.21153846153846154,1.0,1.0
5,0.8846153846153846,0.2125,1.0,1.0
10,0.9038461538461539,0.20192307692307696,1.0,1.0
25,0.8653846153846154,0.1875,1.0,1.0
50,0.6730769230769231,0.22019230769230766,1.0,1.0
