task_id,method,mean_unsupported,mean_support,mean_edges
1,gate_multi_cost105,0.9659142726858185,20.226288189694483,2.1559507523939807
1,gate_multi_cost108,0.9602143182854537,21.887938896488826,2.158686730506156
1,gate_w5_cost108,0.9659142726858185,20.309735522115822,2.1573187414500685
1,global_w5,0.9659142726858185,20.309735522115822,2.1559507523939807
1,original,0.9749202006383948,16.921910624715,2.1559507523939807
2,gate_multi_cost105,0.9528043775649795,24.191974464204286,2.3296853625171
2,gate_multi_cost108,0.9472184222526219,25.9359325125399,2.3351573187414503
2,gate_w5_cost108,0.9541723666210671,24.185134518923846,2.3296853625171
2,global_w5,0.9541723666210671,23.49407204742362,2.3296853625171
2,original,0.9621523027815778,19.183994528043776,2.3296853625171
3,gate_multi_cost105,0.9642042863657091,20.700410396716826,1.9794801641586868
3,gate_multi_cost108,0.9582763337893296,24.612175102599178,1.9822161422708617
3,gate_w5_cost108,0.9646602827177382,21.805517555859552,1.9794801641586868
3,global_w5,0.9646602827177382,21.805517555859552,1.9794801641586868
3,original,0.9719562243502052,9.7453260373917,1.9794801641586868
4,gate_multi_cost105,0.9484724122207023,12.12859097127223,2.300957592339261
4,gate_multi_cost108,0.9370725034199726,15.437984496124031,2.3036935704514363
4,gate_w5_cost108,0.9489284085727314,12.029411764705882,2.300957592339261
4,global_w5,0.9492704058367533,11.925444596443228,2.2982216142270864
4,original,0.9610123119015048,7.742134062927496,2.300957592339261
5,gate_multi_cost105,0.9809621523027816,4.625512995896033,2.5444596443228455
5,gate_multi_cost108,0.96922024623803,6.429092567259462,2.5444596443228455
5,gate_w5_cost108,0.9817601459188326,4.3014135886912905,2.5430916552667577
5,global_w5,0.9817601459188326,4.3014135886912905,2.533515731874145
5,original,0.9932740538075696,2.608299133606931,2.5430916552667577
