condition,top_q,removed_nodes,path_coverage,mean_path_cost,reachable_pair_ratio,average_shortest_path_length
before,0.1,,0.992,34.192191891801706,0.992,64.32295075173965
after,0.1,54 207 55 166 252 206 187 56 186 233 231 126 208 229 313 146 230 27 209 241 46 87 232 273 210 312,0.568,34.697473686464626,0.568,32.06613139525752
