condition,top_q,removed_nodes,path_coverage,mean_path_cost,reachable_pair_ratio,average_shortest_path_length
before,0.1,,0.5714285714285714,56.430544442553,0.5714285714285714,50.217689206871675
after,0.1,87 127 207 107 32 167 186 147,0.42857142857142855,61.72031898091975,0.42857142857142855,50.55793459947839
