dataset,source_path,format,success,mean_length,num_rows
antmaze-giant-navigate-v0,runs_stage26_tmd_tdr/phase_b/antmaze-giant-navigate-v0/seed2/gas_graph_policy_alltasks_ep20_gasseed46/eval.csv,per_episode,0.79,728.73,100
antmaze-giant-navigate-v0,runs_stage26_tmd_tdr/phase_b/antmaze-giant-navigate-v0/seed2/gas_graph_policy_alltasks_ep20_gasseed45/eval.csv,per_episode,0.82,719.84,100
antmaze-giant-navigate-v0,runs_stage26_tmd_tdr/phase_b/antmaze-giant-navigate-v0/seed0/gas_graph_policy_alltasks_ep20_gasseed45/eval.csv,per_episode,0.83,721.53,100
antmaze-giant-navigate-v0,runs_tmd_test/antmaze-giant-navigate-v0/seed0/gas_graph_policy_tasks3_5_ep50_gasseed43/eval.csv,per_episode,0.83,647.62,100
antmaze-giant-navigate-v0,runs_stage26_tmd_tdr/phase_b/antmaze-giant-navigate-v0/seed1/gas_graph_policy_alltasks_ep20_gasseed45/eval.csv,per_episode,0.84,739.0,100
antmaze-giant-navigate-v0,runs_stage26_tmd_tdr/phase_b/antmaze-giant-navigate-v0/seed1/gas_graph_policy_alltasks_ep20_gasseed46/eval.csv,per_episode,0.84,718.27,100
antmaze-giant-navigate-v0,runs_stage26_tmd_tdr/phase_b/antmaze-giant-navigate-v0/seed0/gas_graph_policy_alltasks_ep20_gasseed44/eval.csv,per_episode,0.85,704.65,100
antmaze-giant-navigate-v0,runs_stage26_tmd_tdr/phase_b/antmaze-giant-navigate-v0/seed0/gas_graph_policy_alltasks_ep20_gasseed46/eval.csv,per_episode,0.85,713.54,100
antmaze-giant-navigate-v0,runs_stage26_tmd_tdr/phase_b/antmaze-giant-navigate-v0/seed2/gas_graph_policy_alltasks_ep20_gasseed44/eval.csv,per_episode,0.86,700.7,100
antmaze-giant-navigate-v0,runs_stage26_tmd_tdr/phase_b/antmaze-giant-navigate-v0/seed1/gas_graph_policy_alltasks_ep20_gasseed44/eval.csv,per_episode,0.89,701.2,100
antmaze-giant-navigate-v0,results/cage_pilot0/smoke/jobs/antmaze-giant-navigate-v0/seed42/gas/eval.csv,summary,1.0,960.0,1
