dataset_name,method,episode_id,seed,task_id,num_steps,success,total_reward,initial_goal_l2,final_goal_l2,start_cluster,goal_cluster,planned_edges,completed_edges,replans,full_bank_fallbacks,failure_reason
antmaze-large-stitch-v0,hierarchical_repaired_phase4m_s04_H10_B120,0,0,1,172,0.0,0.0,43.78829574584961,38.99760437011719,1,398,162,3,9,9,max_replans_exceeded
antmaze-large-stitch-v0,hierarchical_repaired_phase4m_s04_H10_B120,1,1,2,134,0.0,0.0,15.497448921203613,15.901266098022461,132,18,244,2,9,9,max_replans_exceeded
