segment_source,segment_edge_id,edge_src,edge_dst,attempts,completed,timeouts,success_rate,failure_excess,mean_attempt_steps,mean_final_subgoal_l2,mean_selected_policy_action_mse
bank,0,0,1,1,1,0,1.0,0,8.0,15.464841842651367,0.03923908621072769
bank,1,0,20,1,0,1,0.0,1,14.0,14.93381404876709,0.06735612452030182
bank,2,0,21,1,0,1,0.0,1,14.0,13.700826644897461,0.09793959558010101
bank,5,1,3,3,0,3,0.0,3,20.0,8.855061531066895,0.037892282009124756
bank,8,1,22,3,1,2,0.3333333333333333,1,9.0,12.479573885599772,0.03131753827134768
bank,11,2,3,2,1,1,0.5,0,6.0,11.934448719024658,0.04129737615585327
bank,12,2,4,3,0,3,0.0,3,20.0,15.52610715230306,0.0823717713356018
bank,14,2,22,3,0,3,0.0,3,10.0,10.107744852701822,0.038130526741345726
bank,15,2,23,3,0,3,0.0,3,15.0,12.542991956075033,0.09617982308069865
bank,18,3,4,1,0,1,0.0,1,3.0,10.242571830749512,0.015023327432572842
bank,23,3,24,2,0,2,0.0,2,16.0,11.924233436584473,0.2848225235939026
bank,123,22,23,1,0,1,0.0,1,11.0,11.871026992797852,0.4857388138771057
graph,0,1,3,3,2,1,0.6666666666666666,0,14.666666666666666,9.312301635742188,0.037892282009124756
