cluster,density,bottleneck_score
0,0.00358,0.4762710473238647
1,0.00349,0.711460450257259
2,0.00185,0.38617406161277235
3,0.001985,0.413252553891783
4,0.00243,0.4150332089098373
5,0.001745,0.8368403522182096
6,0.002285,0.47044122076084727
7,0.00146,0.33057012830917887
8,0.002035,0.5203276511960386
9,0.00274,0.5208396274645994
10,0.00169,1.1394964536726735
11,0.002895,0.3971085911237916
12,0.001985,0.3024556049687309
13,0.00136,0.275387983035874
14,0.001595,0.8298895713166907
15,0.00183,0.3931125760169174
16,0.0016,0.7972535237611638
17,0.00232,0.4945855326236431
18,0.0029,0.5093583948756097
19,0.003005,0.5859675607020924
20,0.00224,0.4663376589433551
21,0.00286,0.5472847140926198
22,0.000865,0.253741900660331
23,0.00117,0.2359804359531517
24,0.00242,0.501621079016938
25,0.002535,0.5068038501613008
26,0.00037,-0.00433163061838621
27,0.00279,0.5879695787268907
28,0.00316,0.4830007860634792
29,0.001485,0.09693548782628587
30,0.000715,0.21049734483330046
31,0.003345,0.6723502549305851
32,0.001495,0.3169455147198928
33,0.00241,0.2751726275119488
34,0.00064,0.02989911498486384
35,0.003665,0.5793934238700411
36,0.00196,0.36361320945765174
37,0.00365,0.6104404376961813
38,0.00227,0.40981669386810615
39,0.001505,0.3110082014909258
40,0.001925,0.30747745032382723
41,0.0013,0.38322008720253337
42,0.00203,0.3678534433841486
43,0.0029,0.5745025720402434
44,0.00133,0.19636096638537814
45,0.002065,0.37126617918687954
46,0.002535,0.4612317868111774
47,0.001865,0.44253510954959824
48,0.000335,0.30082004445086874
49,0.00177,0.3747060536125857
50,0.001785,0.34376036029867907
51,0.002725,0.5256728119065648
52,0.00122,0.06628812403281467
53,0.0009,0.22894887192781016
54,0.002695,0.5215709299921776
55,0.001055,0.18429242457272066
56,0.002585,0.4918465232395892
57,0.002985,0.5559313450432887
58,0.00179,0.7530623847142899
59,0.00231,0.33873010902081213
60,0.00323,0.5123422163911668
61,0.003445,0.7282904048531206
62,0.001825,0.4313943783052847
63,0.0027,0.4933168009802032
64,0.000125,0.09836556957009837
65,0.001685,0.3643244457711767
66,0.001065,0.161537638738261
67,0.002515,0.30814740216771974
68,0.002665,0.5557777503012311
69,0.00096,0.18802110471317385
70,0.002275,-0.14805374243651437
71,0.00383,0.673897527173176
72,0.00235,0.4563650571834138
73,0.001765,0.3267098741430051
74,0.0007,0.5523381884964049
75,0.000415,0.017894752432898273
76,0.002045,0.3625547456900297
77,0.002685,0.5410926228868225
78,0.00253,0.3848352563120957
79,0.002455,0.5695038593351494
80,0.00365,0.7003262422836359
81,0.000705,0.06450046527548486
82,0.002935,0.3356474761038881
83,0.000925,0.22256246568684038
84,0.001665,0.3445412178121763
85,0.00336,0.4559594908518825
86,0.00154,0.33934063863237707
87,0.000925,0.40535354463089085
88,0.001925,0.3682567548802418
89,0.00157,0.29420298172607234
90,0.0039,0.7879147543362596
91,0.00265,0.031130658741942263
92,0.001265,0.11387754861499123
93,0.001465,0.20951492172067993
94,0.00077,0.06257846416387042
95,0.00143,0.06823818545950437
96,0.001835,0.3685312710988251
97,0.000655,1.0753229153459538
98,0.000445,0.052699637444914245
99,0.000925,0.12093035422481416
100,0.00207,0.4242922532055718
101,0.0003,0.12076301290181808
102,0.00185,0.3313708912737889
103,0.001165,0.29956898995711295
104,0.00256,0.4252578458790315
105,0.002605,0.34427366745550136
106,0.00274,0.4650093939028367
107,0.00233,0.43928490205350224
108,0.00302,0.5648329701232586
109,0.003395,0.6421257365833358
110,0.00215,0.4984391681513647
111,0.00314,0.4344954770476525
112,0.00368,0.6919815911067595
113,0.00131,0.5801530840143087
114,0.0029,0.59828143541748
115,0.00108,0.2059527872338492
116,0.0027,0.5303841553267135
117,0.001925,0.16244069899197341
118,0.004295,0.4537218682196002
119,0.001845,0.31599983337216975
120,0.00249,0.3968724487896208
121,0.00244,0.4737603788659279
122,0.00162,0.2698106290583943
123,0.00116,0.30751538426520636
124,0.00296,0.4257750054359063
125,0.002465,0.49537518842763584
126,0.0016,0.3172003552605412
127,0.000975,-0.007297284873704686
128,0.001545,0.22955125111024016
129,0.00198,0.4138372248395909
130,0.00198,0.2535858972639901
131,0.00231,0.4462970767307942
132,0.00264,0.23533498918219914
133,0.002425,0.4229601802114017
134,0.00221,0.39404217776483597
135,0.00123,0.5920501268624856
136,0.00226,0.4952955560076068
137,0.001295,0.25093253034090285
138,0.002015,0.37251484836100845
139,0.002955,0.5928450685185862
140,0.0024,0.21642822122146
141,0.00171,0.2525663473343527
142,0.00244,0.48042529123783695
143,0.00158,0.3437004357021506
144,0.00048,0.007903685730593052
145,0.00266,0.48411869117771394
146,0.002245,0.3989798620986157
147,0.00259,0.5096814284968354
148,0.001375,0.016330792858180773
149,0.001435,1.1379665650087343
150,0.003085,0.4687227624344481
151,0.000695,0.32538817962179034
152,0.001505,0.25833462268083873
153,0.001155,-0.0529725394935132
154,0.00281,0.41437094588177703
155,0.00261,0.19144215496420566
156,0.00225,0.3022259828683279
157,0.002925,0.5904123183555822
158,0.001495,0.41157769127550387
159,0.00256,0.5095424076040174
160,0.00185,1.3519633547969978
161,0.00198,0.29108500123334186
162,0.001975,0.40400313048155273
163,0.00291,0.5755506048946821
164,0.002885,0.5220661055663391
165,0.002185,0.4098399330699775
166,0.000885,0.08216949142496074
167,0.00118,0.38593881563681826
168,0.00222,0.46519081837326914
169,0.00246,0.4680976264236567
170,0.00246,0.3469915838534978
171,0.001955,0.485686612692602
172,0.00331,0.3964969925347439
173,0.002165,0.027400239593524528
174,0.00398,0.7080491873273216
175,0.00025,0.10515948957524854
176,0.00247,0.463417654427589
177,0.0021,0.17458266537960673
178,0.00234,0.4863229826856951
179,0.002055,0.2838840807105347
180,0.0017,0.22869154305199305
181,0.002425,0.4518622510996291
182,0.00122,0.5118024195313452
183,0.000695,0.008485895619129866
184,0.0027,0.20156614792555183
185,0.00199,0.4269892980074539
186,0.00303,0.6742555807762486
187,0.00235,0.384283636087168
188,0.00093,0.44189751947848327
189,0.003015,0.49401323686235066
190,0.00201,0.29879805165826356
191,0.00041,0.11878989081022712
192,0.00132,0.3241580860006916
193,0.000875,0.32225627769981213
194,0.00213,0.4280531441866998
195,0.00062,0.05369229461440457
196,0.00209,0.42116921112543604
197,0.00233,0.2151924138879495
198,0.001925,0.39959364658160956
199,0.00258,0.5083038866770794
200,0.002035,0.21436974383614008
201,0.003235,0.66295166125682
202,0.002585,0.5848203841929025
203,0.002865,0.5430809173751725
204,0.0023,0.4639883507043945
205,0.00402,0.6574929078309466
206,0.00202,0.35645514418811586
207,0.002695,0.311961562369208
208,0.00125,0.5822613578039716
209,0.000565,0.03944991264473766
210,0.00209,0.16734471876009452
211,0.00121,0.3371330813135207
212,0.00277,0.4627235491213221
213,0.00195,0.3451986032745159
214,0.00232,0.37100302591680206
215,0.002145,0.3515771764597363
216,0.002405,0.4381978834489837
217,0.002385,0.4468816057935028
218,0.00245,0.4453015774274729
219,0.00254,0.5238040882299336
220,0.001715,0.20704351759028805
221,0.00339,0.4932363705687733
222,0.00288,0.29529506453615606
223,0.001595,0.2999134136883186
224,0.002125,0.43056826111606494
225,0.00238,0.4791516715321268
226,0.00019,-0.004228691842574396
227,0.00249,0.7716317822232535
228,0.000775,-0.026874144124945397
229,0.0029,0.627682779617723
230,0.001685,0.3813260714048316
231,0.002875,0.5209490718748357
232,0.000185,0.032185528200258384
233,0.003305,0.44601952836842695
234,0.00223,0.21393468214132194
235,0.00266,0.6982704146483081
236,0.00091,-0.03552530490237354
237,0.001905,0.4276932806838196
238,0.0036,0.5218532726823849
239,0.000815,-0.03472484532193315
240,0.00255,0.3771999617106525
241,0.001885,0.37476977053879146
242,0.001425,0.3647619578745236
243,0.003145,0.5624596469435925
244,0.002975,0.47874691268229297
245,0.003165,0.6802555561290595
246,0.001495,0.2909249059089467
247,0.00143,0.48228857853195045
248,0.00244,0.5528533646535412
249,0.00184,0.30546202491893976
250,0.001305,-0.030541705928699675
251,0.00186,0.39412385128687955
252,0.002915,0.6002632305302283
253,0.001215,0.4146187332754748
254,0.00216,0.3288647749040217
255,0.003205,0.557283423528409
256,0.00289,0.6287492544542099
257,0.00133,0.6808055726387897
258,0.00183,0.38994540775898034
259,0.00358,0.7380859400695079
260,0.001485,0.31298853694059964
261,0.00248,0.4482305903684573
262,0.00054,-0.007253679059464994
263,0.00146,0.2668724632461563
264,0.00229,0.41943185367468305
265,0.000585,0.3492431052609055
266,0.00327,0.6333354011619888
267,0.001625,0.26586896436134133
268,0.002085,0.3779758405905971
269,0.00212,0.3725027649453848
270,0.000405,-0.01936029529137476
271,0.00183,0.3876881052426019
272,0.00289,0.8113339803404506
273,0.002535,0.5383008767022684
274,0.002265,0.42477064405930376
275,0.00284,0.47092925797271845
276,0.00194,0.4184089585153591
277,0.00236,0.4312433838461095
278,0.00256,0.45237461559660663
279,0.001735,0.5583148760585472
280,0.002275,0.45515400113735927
281,0.0021,0.15802170325763296
282,0.00079,0.1038099454833096
283,0.00344,0.5002703741782992
284,0.0011,0.06358943875687265
285,0.00116,0.16902994128422233
286,0.002115,0.2940755194944061
287,0.002575,0.5135609995669204
288,0.002505,0.393612073052971
289,0.001785,0.325052269513209
290,0.002345,0.16052425600904646
291,0.00207,0.11493258080036389
292,0.00259,0.4485851102484486
293,0.00185,0.3266814245884753
294,0.001125,0.02620543362807816
295,0.00165,0.33027143253085056
296,0.00141,0.10526339972943947
297,0.00211,0.4351540051268886
298,0.00095,1.9569397145697238
299,0.001385,0.156022139515271
300,0.001185,0.5633041838360909
301,0.00311,0.5923302643426619
302,0.00292,0.5153183486969175
303,0.002075,0.4403827946415353
304,0.00133,0.47924134382207884
305,0.001335,0.10137184704674228
306,0.000625,0.03808610671516527
307,0.001445,0.31937703570610454
308,0.00188,0.3617038028351055
309,0.00182,0.24427463683874634
310,0.002295,0.30589741781483776
311,0.00221,0.43012700001751936
312,0.001575,0.24798385856510546
313,0.001965,0.38249828248997997
314,0.001785,0.06562078593108345
315,0.002045,0.37291578198192893
316,0.00235,0.502486889617429
317,0.00146,0.28277400232257044
318,0.0017,0.30322562853397617
319,0.00169,0.393698816082766
320,0.00288,0.5545181029528153
321,0.00202,0.39144209417026915
322,0.002405,0.3463202561747878
323,0.00144,0.33241225308079597
324,0.00293,0.6236486752282566
325,0.001955,0.44266360112382047
326,0.002055,0.31651246997004956
327,0.00206,0.43916687042350055
328,0.002015,0.3376865645321928
329,0.000325,0.05291995102901803
330,0.000305,0.04329653141240966
331,0.002805,0.5903933752489996
332,0.00172,0.3530188584259347
333,0.00153,0.3232560930816004
334,0.001555,0.31025459673731653
335,0.001515,0.07837932409944948
336,0.00033,0.049110934990868965
337,0.001315,0.26803452344774814
338,0.0029,0.5056833369953492
339,0.003275,0.6556428579427098
340,0.0005,0.35044651322056547
341,0.00187,0.3510723616841994
342,0.002255,0.41671613657642653
343,0.00268,0.6035469893001829
344,0.001655,0.336797611678261
345,0.00102,0.31323515203417657
346,0.001995,0.37078123598788004
347,0.002015,0.3993642346706997
348,0.003175,0.36724307302962667
349,0.00236,0.46483374534679334
350,0.00235,0.46158056242752454
351,0.00206,0.25638812016946644
352,0.00096,0.29500640760723473
353,0.002635,0.2776707099052621
354,0.003865,0.5424279182028391
355,0.002785,0.5399011994655426
356,0.002,0.293848607697423
357,0.001545,0.10967936101510518
358,0.00281,0.5775611009850444
359,0.001885,0.3843742288851114
360,0.002505,0.43575274415186943
361,0.00219,0.3806614405259331
362,0.00294,0.5024384961816969
363,0.0015,0.26972752337498423
364,0.00168,0.23875434655910954
365,0.002525,0.3262855545340936
366,0.00142,0.44641405314395954
367,0.002865,0.2954926166404064
368,0.00161,0.2876643927324274
369,0.00132,0.31523045342595446
370,0.00255,0.4589377973354979
371,0.001095,0.34339610885689115
372,0.00323,0.4774083794234923
373,0.002185,0.44601847588732463
374,0.00242,0.3240159621365858
375,0.00147,0.290169344652016
376,0.002595,0.49913734040225033
377,0.00065,0.07105877550299042
378,0.001345,-0.0039687623538100375
379,0.00196,0.2330688610266975
380,0.002545,0.5168920331323895
381,0.00191,0.43432461106326686
382,0.00266,0.5571594548557643
383,0.00045,0.22241630864964865
384,0.001235,0.20873349976358666
385,0.001975,0.26408559456570135
386,0.001605,0.2542616022289823
387,0.00076,-0.025245391662610736
388,0.001975,0.3023472246202194
389,0.00242,0.4371381623646091
390,0.002575,0.3939928202231202
391,0.00236,0.47732705875022474
392,0.000915,-0.014834973347234284
393,0.00198,0.4617500985606899
394,0.001155,0.3303244695684459
395,0.001555,0.3236732998719164
396,0.001625,0.3372257129325609
397,0.001495,0.2859891208107355
398,0.00185,0.37825042632660066
399,0.00217,0.4349543928726831
400,0.002505,0.4278673886665301
401,0.00199,0.44894903078797566
402,0.0025,0.5378672106707181
403,0.000905,0.047165459221466095
404,0.00199,0.26040461078780325
405,0.001785,0.3854870794069971
406,0.00185,0.291333398812508
407,0.002085,0.4633542691833209
408,0.00208,0.42504637450109173
409,0.000725,-0.0019497351562671877
410,0.00165,0.32038834616031187
411,0.002365,0.4128369658205682
412,0.00097,0.5747422813740837
413,0.00187,0.4210202217569692
414,0.002085,0.4181287389881565
415,0.00183,0.3708892800148097
416,0.00217,0.43717591076254547
417,0.00282,0.44013800643314266
418,0.00262,0.5188088871616024
419,0.00309,0.4299328833875655
420,0.002035,0.34795651002296213
421,0.002095,0.32831315453026844
422,0.001945,0.3249050120842564
423,0.001895,0.40771497368919074
424,0.00117,-0.028363121885932922
425,0.002335,0.1534603940166519
426,0.002465,0.4828541904519964
427,0.001795,0.3518942207791845
428,0.001675,0.23654813544371547
429,0.000135,0.06994699818225797
430,0.00186,0.33879855186655883
431,0.001065,-0.05438086616799276
432,0.001715,0.21521749907034843
433,0.000195,0.044025045795808536
434,0.001755,0.3945072167526658
435,0.000385,-0.006818109021809165
436,0.00088,0.9381087612714939
437,0.00251,0.4789247023610953
438,0.002085,0.13625151473377303
439,0.001665,0.3960103301421345
440,0.000435,0.04159669790084382
441,0.002765,0.6632450474735321
442,0.0016,0.30143498250726336
443,0.00065,-0.01116445505727617
444,0.002815,0.5738714876566064
445,0.00196,0.2257167450157483
446,0.001535,0.3780921715111527
447,0.002725,0.5144091041176941
448,0.002735,0.5873331813760271
449,0.0026,0.4761317872442883
450,0.00299,0.486919311572113
451,0.001775,0.4118768898144493
452,0.00329,0.4837187969126273
453,0.00227,0.43365152003790697
454,0.00113,0.1921710632748021
455,0.000795,-0.019406250733675082
456,0.000685,0.02707868887282984
457,0.00149,0.18442568631103468
458,0.002325,0.420446606463173
459,0.00233,0.41179489957443494
460,0.00188,0.6917269418840577
461,0.00136,0.16908307765020936
462,0.000615,0.2048850568310981
463,0.00281,0.5946789384449658
464,0.00253,0.4979195306959979
465,0.001165,0.14667078607240674
466,0.001335,0.15842145311974626
467,0.001045,0.11493178892874681
468,0.003695,0.8250714727455374
469,0.000765,0.22611172565557003
470,0.00167,0.5048672771954118
471,0.00125,0.15633195937922034
472,0.002365,0.31935059609764654
473,0.001295,0.26456441736515307
474,0.000285,0.05511761208248479
475,0.001645,0.27579650424534696
476,0.00101,0.2632050590803472
477,0.001165,1.0017058898192541
478,0.00076,0.288378327285018
479,0.00185,0.15189889859428585
480,0.00144,0.08869941018720112
481,0.002205,0.40606871321014754
482,0.002245,0.2963910292137102
483,0.000625,0.008304457482816857
484,0.00149,0.0941272470709707
485,0.002525,0.5088163233710059
486,0.001355,0.31453700213613256
487,0.00216,0.43679392769510356
488,0.00054,0.2480800290895078
489,0.00074,-0.0434546304075385
490,0.0024,0.41489994904122496
491,0.001765,0.3171399252334455
492,0.001105,0.4486582603166759
493,0.00095,0.1447042093011956
494,0.002455,0.23019170250682036
495,0.002195,0.43178407945794217
496,0.001735,0.29033846500828164
497,0.00311,0.3723924955485375
498,0.000455,0.10670419708976431
499,0.00195,0.39129040344140686
500,0.001325,0.22503107400479055
501,0.00109,0.27797573900556455
502,0.002575,0.5273401975189581
503,0.00218,0.25308211155759663
504,0.00014,0.03422922348774837
505,0.00244,0.3247091651798465
506,0.00132,0.14964682697465975
507,0.00173,0.25968025066472017
508,0.001335,0.20231803355361672
509,0.001615,0.08560915075756913
510,0.000255,0.03509591311528354
511,0.00225,0.3195264086065177
