split,num_examples,num_failures,num_completions,failure_rate,brier,log_loss,auc,mean_pred_failed,mean_pred_completed,risk_separation
train,152,124,28,0.8157894736842105,0.1358412480474194,0.4346486015386588,0.6998847926267281,0.8292476924154623,0.7464823296940717,0.08276536272139057
val,61,54,7,0.8852459016393442,0.11554173858554204,0.3994881665456241,0.5555555555555556,0.8004199602252,0.7893765943355675,0.011043365889632506
