method,query_id,src,dst,reachable,path_length,num_adjacent_edge_pairs,planning_path_cost,base_path_cost,pair_penalty_cost,mean_edge_proxy_score,min_edge_proxy_score,mean_heldout_support_lcb,min_heldout_support_lcb,mean_edge_policy_support_score,mean_edge_ood_score,mean_pair_termination_bridge_coverage,min_pair_termination_bridge_coverage,mean_pair_bridge_matches_per_first_segment,pair_strict_compatible_rate,pair_incompatible_fraction,low_pair_coverage_fraction,missing_pair_fraction,uncertified_edge_fraction,original_uncertified_edge_fraction,high_pair_risk_fraction,proxy_path_success,path_nodes,path_edge_ids
support_shortest_path,43,152,51,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,44,441,326,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,45,423,254,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,46,147,26,True,2,1,8.111752280340436,8.111752280340436,10.0,0.1310135150996499,0.0572934403117632,0.07284312921726095,0.0,0.41516385806105,0.5352141590254111,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.011729891712034583,147 227 26,585 901
support_shortest_path,47,97,484,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,48,327,458,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,49,385,308,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,50,39,73,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,51,366,5,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,52,231,355,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,53,67,399,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,54,420,267,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,55,394,399,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,56,280,494,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,57,389,319,True,3,2,9.501959329924256,9.501959329924256,16.53846153846154,0.368892597058243,0.3339485481505781,0.12112483096325989,0.083273228759258,0.8158677969360649,0.14164991121847345,0.17307692307692307,0.0,0.6923076923076923,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.04939486846928982,389 58 186 319,1544 287 816
support_shortest_path,58,10,239,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,59,260,247,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,60,352,293,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,61,441,458,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,62,394,46,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,63,48,462,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,64,143,271,True,3,2,8.052042128964924,8.052042128964924,20.0,0.22297517119783258,0.056431555990354,0.12764851745847824,0.0,0.5052827861611053,0.35898174744481054,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.005266994123487671,143 161 369 271,551 660 1446
support_shortest_path,65,494,434,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,66,327,7,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,67,401,377,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,68,62,509,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,69,436,343,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,70,509,385,True,3,2,9.755928946018456,9.755928946018456,20.0,0.1221671697964158,0.0659777971270516,0.042697268350742966,0.0,0.2606583612543079,0.640154770886317,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0010808205786368222,509 361 217 385,1894 1430 888
support_shortest_path,71,142,473,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,72,252,244,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,73,372,480,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,74,62,505,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,75,287,188,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,76,366,117,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,77,455,356,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,78,62,241,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,79,62,467,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,80,352,335,True,3,2,11.955122314805838,11.955122314805838,20.0,0.18656536283778483,0.0570803756437507,0.1619276694558279,0.0,0.24274525498070176,0.6421856406482035,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.0030548669863248432,352 404 383 335,1395 1611 1517
support_shortest_path,81,115,94,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,82,327,288,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,83,352,37,True,2,1,6.485598559653489,6.485598559653489,10.0,0.1240439284854627,0.058784130668419,0.0750178544100857,0.0,0.1835501261634873,0.6518868735531136,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.011128054982985162,352 24 37,1384 156
support_shortest_path,84,62,293,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,85,161,194,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,86,327,98,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,87,352,185,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,88,391,448,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,89,117,197,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,90,494,172,True,3,2,9.734616314799982,9.734616314799982,20.0,0.1783857001110515,0.0559431698285521,0.04049313006837857,0.0,0.48552504493959964,0.287568326406686,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.0031008555775482575,494 311 171 172,1855 1247 732
support_shortest_path,91,152,246,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,92,7,349,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,93,478,261,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,94,436,332,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,95,440,117,True,3,2,10.562948828843115,10.562948828843115,20.0,0.09881957096248772,0.0365578457225546,0.09999610711384287,0.0,0.2792892558965697,0.6957821431858154,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.00034211204325015166,440 263 405 117,1709 1088 1621
support_shortest_path,96,230,129,True,3,2,10.351615044897493,10.351615044897493,16.470588235294116,0.39813712107641325,0.354968285960429,0.14188885139581806,0.065326253498713,0.8049640029787374,0.16113173622276072,0.17647058823529413,0.0,0.6823529411764706,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.06202317627769627,230 22 179 129,914 138 783
support_shortest_path,97,287,349,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,98,287,249,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,99,390,467,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
calibrated_edge_penalized,0,229,404,True,4,3,46.82262445988078,12.312406352842757,30.0,0.30682193425058574,0.042804928127616,0.30673105648656207,0.0,0.5445899298862875,0.40904911764196006,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.25,0.25,1.0,0.002484740544900902,229 230 485 405 404,910 926 1818 1626
calibrated_edge_penalized,1,7,380,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
