method,num_queries,num_reachable,path_coverage,mean_path_length,mean_planning_path_cost,mean_base_path_cost,mean_pair_penalty_cost,mean_edge_proxy_score,mean_min_edge_proxy_score,mean_heldout_support_lcb,mean_min_heldout_support_lcb,mean_edge_policy_support_score,mean_edge_ood_score,mean_pair_termination_bridge_coverage,mean_min_pair_termination_bridge_coverage,mean_pair_bridge_matches_per_first_segment,mean_pair_strict_compatible_rate,mean_pair_incompatible_fraction,mean_low_pair_coverage_fraction,mean_missing_pair_fraction,mean_uncertified_edge_fraction,mean_original_uncertified_edge_fraction,mean_high_pair_risk_fraction,mean_proxy_path_success_reachable,mean_proxy_path_success_over_all,num_graph_nodes,num_graph_edges,num_pair_compatibility_edges,coverage_delta_vs_support,num_common_reachable_with_support,base_cost_delta_common_vs_support,min_pair_coverage_delta_common_vs_support,pair_incompatible_delta_common_vs_support,min_proxy_delta_common_vs_support
support_shortest_path,100,16,0.16,3.25,10.7958664251808,10.7958664251808,22.01619061085973,0.21012182773175972,0.1106689308214164,0.1238831853261526,0.025363488956451692,0.4346534626363684,0.46180974273794784,0.024190469457013575,0.0,0.08982253959276018,0.09375,0.90625,0.90625,0.0,0.5718749999999999,0.5718749999999999,1.0,0.01200865325721355,0.001921384521154168,191,1897,21876,0.0,16.0,0.0,0.0,0.0,0.0
calibrated_edge_penalized,100,16,0.16,3.375,42.40017471185406,11.424314372197585,21.90320312573723,0.28294715079063965,0.16316155592921325,0.15233071502464884,0.04655890896235633,0.5747933984783465,0.3412623838156693,0.08087343007371782,0.005655630665232754,0.7435852543031387,0.24166666666666664,0.7583333333333333,0.8104166666666667,0.0,0.33229166666666665,0.33229166666666665,0.9479166666666666,0.025399653511012796,0.004063944561762047,191,1897,21876,0.0,16.0,0.6284479470167863,0.005655630665232754,-0.1479166666666667,0.05249262510779684
compat_penalized,100,16,0.16,3.25,29.35133008939983,11.96457327595142,17.386756813448415,0.21223064321188484,0.10021717384496724,0.10555943986984612,0.01563839538488777,0.39791025035182764,0.46203939382415415,0.2075044774435038,0.03718433746567868,1.5942206406752397,0.359375,0.640625,0.6927083333333333,0.0,0.5958333333333333,0.5958333333333333,0.7708333333333333,0.012808877810925878,0.0020494204497481404,191,1897,21876,0.0,16.0,1.1687068507706204,0.03718433746567868,-0.265625,-0.010451756976449164
calibrated_compat_penalized,100,16,0.16,3.3125,63.08289885990235,11.458585086678584,19.993734956396235,0.2810255863505674,0.15468461540933037,0.15691413038157015,0.041926432811438,0.5521474224919126,0.35776426692967006,0.13453462089527196,0.03627854036422941,1.000880636698794,0.2520833333333333,0.7479166666666667,0.7791666666666667,0.0,0.36354166666666665,0.36354166666666665,0.8729166666666667,0.024075754841971005,0.0038521207747153605,191,1897,21876,0.0,16.0,0.6627186614977845,0.03627854036422941,-0.15833333333333333,0.04401568458791397
compat_threshold,100,15,0.15,5.4,20.670992427403952,20.670992427403952,28.68334892339644,0.319685980292327,0.1747236610724442,0.13383810849122163,0.04501000714133926,0.6212786651612526,0.29630560633703845,0.34868073411786094,0.11568243745817454,1.9449702973480427,1.0,0.0,0.0,0.0,0.26063492063492066,0.26063492063492066,0.7152380952380952,0.012868253642584484,0.0019302380463876723,191,1897,21876,-0.010000000000000009,15.0,10.188222081840353,0.11568243745817454,-0.9,0.05966578917332782
calibrated_compat_threshold,100,15,0.15,6.4,65.98608754384074,22.266591448047166,35.21548914435952,0.36818112301623385,0.2727783388910937,0.16204133437886434,0.07666894859577124,0.6831699556642545,0.20391219531860932,0.3378229487065748,0.08726954709174264,1.799320382409054,1.0,0.0,0.0,0.0,0.06277777777777778,0.06277777777777778,0.712982202982203,0.012867025889661298,0.001930053883449195,191,1897,21876,-0.010000000000000009,15.0,11.783821102483566,0.08726954709174264,-0.9,0.15772046699197734
