condition,top_q,removed_nodes,path_coverage,mean_path_cost,reachable_pair_ratio,average_shortest_path_length
before,0.1,,0.95,18.694000406689085,0.95,21.28585539961501
after,0.1,371 259 163 175 21 22 429 120 266 171 410 3 139 199 179 79 224 167 290 80 385 8 56 315 63 217 230 169 6 404 382 304 207 173 281 463 273 46 10 487 146 42 147 2 117 398 309 329 205 383 121 166,0.8,20.516223553966665,0.8,24.26977842647319
