dataset_name,H,node_selection,node_budget,mode,num_queries,num_reachable,path_coverage,mean_path_edges,mean_path_cost,median_path_cost,all_num_queries,strict_num_queries,strict_num_reachable,strict_query_selection_rate,strict_coverage_over_all,mean_num_virtual_edges_used,median_num_virtual_edges_used,mean_virtual_edge_ratio
scene-play-v0,10,density,64,strict_selected,0,0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,,,
scene-play-v0,10,density,64,virtual_query,100,82,0.82,3.426829268292683,29.227815035568877,29.253025980462937,100,,,,,1.59,2.0,0.5494047619047618
