condition,top_q,removed_nodes,path_coverage,mean_path_cost,reachable_pair_ratio,average_shortest_path_length
before,0.1,,0.0,0.0,0.0,26.37469337896821
after,0.1,175 22 171 429 3 266 120,0.0,0.0,0.0,24.326108206104138
