step,train_action_mse,train_weighted_action_mse
1,0.4914112091064453,0.49200552701950073
1000,0.131464883685112,0.13053354620933533
2000,0.10647128522396088,0.10569252818822861
3000,0.0917215496301651,0.09123000502586365
