dataset_name,H,node_selection,node_budget,mode,num_queries,num_reachable,path_coverage,mean_path_edges,mean_path_cost,median_path_cost
antmaze-large-stitch-v0,10,core_plus_bottleneck,80,strict_selected,144,116,0.8055555555555556,6.646551724137931,58.99134013074793,51.744187663166436
antmaze-large-stitch-v0,10,core_plus_bottleneck,80,virtual_query,500,296,0.592,7.074324324324325,65.42105074209249,54.885495152000345
