condition,top_q,removed_nodes,path_coverage,mean_path_cost,reachable_pair_ratio,average_shortest_path_length
before,0.1,,0.0,0.0,0.0,5.833111528443382
after,0.1,6,0.0,0.0,0.0,6.005167117445672
