method,query_id,src,dst,reachable,path_length,planning_path_cost,base_path_cost,mean_edge_proxy_score,min_edge_proxy_score,mean_heldout_support_lcb,min_heldout_support_lcb,mean_edge_policy_support_score,mean_edge_ood_score,mean_outgoing_incompatible_fraction,mean_outgoing_termination_bridge_coverage,uncertified_edge_fraction,original_uncertified_edge_fraction,low_proxy_edge_fraction,low_support_lcb_edge_fraction,high_ood_edge_fraction,high_incompat_edge_fraction,bottleneck_edge_fraction,proxy_path_success,path_nodes,path_edge_ids,sweep_id,recommended_method
floor_proxy_penalized,22,372,506,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,23,311,203,True,5,14.259453362706697,14.259453362706697,0.3191357234462627,0.2602444657133974,0.15460459426371176,0.0902541620533918,0.7417061258635794,0.21050568328115188,0.791025641025641,0.0502138943677405,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.003083459656889921,311 138 171 271 1 203,1243 509 736 1108 2,12,floor_proxy_penalized_s0012
floor_proxy_penalized,24,421,192,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,25,327,98,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,26,327,507,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,27,390,300,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,28,39,36,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,29,147,395,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,30,184,40,True,6,19.613273710035866,19.613273710035866,0.37588690378351153,0.2734515895172821,0.29297555399994935,0.1517610069469123,0.7165278557401953,0.2720692251444084,0.6869658119658119,0.12779218622227814,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.3333333333333333,0.00243327803979022,184 315 100 271 1 303 40,806 1264 400 1108 9 1221,12,floor_proxy_penalized_s0012
floor_proxy_penalized,31,39,208,True,4,18.215456919188906,14.861903528595633,0.30589431506775944,0.10441039262940445,0.13104267352435145,0.0252948962828377,0.5613701142645011,0.3979350524715992,0.5918803418803419,0.13716549547555126,0.25,0.25,0.0,0.0,0.25,0.5,1.0,0.005227989877805284,39 404 385 296 208,241 1612 1529 1200,12,floor_proxy_penalized_s0012
floor_proxy_penalized,32,432,48,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,33,97,400,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,34,401,301,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,35,67,256,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,36,443,446,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,37,257,214,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,38,246,495,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,39,471,261,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,40,494,45,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
