bin,num_edges,mean_score,mean_label,abs_gap,weighted_abs_gap
0,594,0.060297898516531195,0.08417508417508418,0.023877185658552985,0.00747656735961016
1,195,0.15920148250093244,0.9794871794871794,0.820285696986247,0.08432035367017299
2,383,0.25147055669545854,1.0,0.7485294433045415,0.1511263978838373
3,417,0.34829606376105665,1.0,0.6517039362389434,0.14325806083902973
4,258,0.44058442707502277,1.0,0.5594155729249772,0.07608287707677602
5,49,0.5283777522704695,1.0,0.47162224772953054,0.012182124480098575
6,1,0.6015197556151484,1.0,0.39848024438485163,0.00021005811512116586
