env,seed,task_id,episode_id,variant,budget,lambda_exec,lambda_boundary,success,return,normalized_return,steps,duration_sec,actual_goal_raw,actual_goal_phi,initial_goal_dist_phi,final_goal_dist_phi,best_goal_dist_phi,goal_improvement_phi,fallback_used,fallback_trigger_reason,direct_goal_steps,no_path_count,budget_reject_count,replans,first_plan_edges,mean_plan_edges,last_plan_edges,first_plan_temporal_cost,first_plan_exec_risk,first_plan_boundary_risk,first_plan_pred_success,first_plan_reject_reason,last_plan_reject_reason,max_plan_edges,subgoals_attempted,subgoals_reached,subgoal_reach_rate,planner_latency_mean_ms,planner_latency_p95_ms,edge_fail_position,path_node_ids,path_edge_ids,eval_path,fallback_mode,path_edges,known_edges,virtual_edges,known_edge_rate,p_exec_mean,p_exec_min,r_exec_static,local_support_rate,unsupported_edge_rate,same_traj_support_mean,boundary_cost_static,missing_boundary_pairs,missing_boundary_pair_rate,virtual_boundary_pairs,unsupported_boundary_pairs,unsupported_boundary_pair_rate,psi_mean,S1_gas_shortest_failed,S2_long_path_p75,S3_high_exec_risk_p75,S4_low_local_support_p25,S5_high_steps_p75,S6_low_pred_success_p25
antmaze-medium-navigate-v0,0,1,0,gas_shortest,3.0,1.0,1.0,1,1.0,100.0,407,6.452142000198364,20.20552675214329|20.089766365993793|0.6613735878577286|0.9894642690467408|0.006720239473574675|-0.09371264139568196|0.11015098503354417|-0.40176518629693536|1.2294928510034913|-0.5506589520175397|-1.1817402475719943|0.38634744063066895|-1.1643609611958707|0.5842984795254809|1.2792561210504838|-0.16932028598038235|0.17252503789442972|-0.18926556204833744|-0.05573759870043951|-0.7485629860085897|1.1743558216024783|2.4682124116997555|-0.129870071675145|-1.354266527081649|0.8441409482842372|-2.682964325252593|1.1369953150471803|0.6818739072791637|-0.49945054163568814,-15.003589630126953|18.72281265258789|5.193860054016113|-14.947765350341797|-8.017675399780273|-18.125381469726562|13.023555755615234|-13.117006301879883|-10.63072395324707|-6.841097831726074|14.42253589630127|4.194222450256348|-4.115988731384277|-0.21440434455871582|-0.7008916735649109|-12.401477813720703|17.534666061401367|-5.000760555267334|-4.8943328857421875|8.477182388305664|3.0211288928985596|-11.736031532287598|-0.9789546132087708|15.16972541809082|8.030698776245117|-3.786576747894287|-3.8312628269195557|-12.781518936157227|7.6493754386901855|5.531253814697266|2.52785062789917|19.704822540283203,57.18608093261719,4.1775898933410645,2.129878282546997,55.05620265007019,1,no_improvement,132,0,0,36,15,2.75,1,90.3685657978058,3.470305224467881,0.0,0.0311075344312498,,,80,72,48,0.6666666666666666,124.62662760986456,131.2229740069597,,412|215|137|251|404|321|170|134|230|112|162|32|157|177|371|413,5288|3129|2210|3587|5190|4381|2650|2167|3318|1868|2563|570|2506|2719|5308,runs_stage22_eval/antmaze-medium-navigate-v0/seed0/gas_shortest/budget3/fallback_progress_stall_v2/eval.csv,progress_stall_v2,15.0,13.0,2.0,0.8666666666666667,0.9999472784615384,0.999458,1.0506855450168926,0.46153846153846156,0.5384615384615384,4.384615384615385,4.991395187616892,2.0,0.14285714285714285,2.0,0.0,0.0,0.9702023307370081,0,1,0,0,1,0
antmaze-medium-navigate-v0,0,2,1,gas_shortest,3.0,1.0,1.0,1,1.0,100.0,206,2.5991649627685547,19.00022874963469|-0.39533485473632046|0.747982101810672|0.9914120749989389|-0.08749523944642891|0.07434926125892825|0.06260086238034097|-0.5258714331207578|0.7338847072113399|-0.5267026197160993|-1.2280260643426772|0.4491607792874165|-1.0960879744801968|0.4214130621511237|1.1666038761267377|0.10035454088840509|-0.08142531818794928|-0.4754385265895458|-0.7820450945627776|0.42630436641972874|0.4501267461209642|0.014315980366496946|-0.7536715739078235|0.03286033627099342|0.11253357094895614|-1.4799197920582279|0.8142761478376367|2.3648038305960313|-1.1510860133239305,5.059378147125244|1.8602498769760132|7.459256172180176|4.462916374206543|-0.35575616359710693|-1.9959615468978882|11.511022567749023|-5.3139848709106445|-8.055503845214844|-0.10121208429336548|-2.9052000045776367|-0.2258007526397705|3.860463857650757|-13.596295356750488|-1.5602856874465942|-10.740924835205078|16.81884002685547|-5.205524444580078|3.2635140419006348|7.8607940673828125|10.544256210327148|0.9039724469184875|-0.8319848775863647|12.379449844360352|-6.684361457824707|-2.9930226802825928|-1.0005226135253906|-7.369917869567871|6.247909069061279|5.787171363830566|-5.704920768737793|11.732430458068848,56.67811965942383,3.5955536365509038,3.5955536365509038,53.082566022872925,0,,0,0,0,16,15,3.9375,1,90.48825073242188,4.250119585943695,0.0,0.014262528209117,,,80,44,28,0.6363636363636364,122.37387206187124,125.82094425306424,,412|123|27|26|211|42|276|89|23|20|115|19|201|153|114|413,5283|2035|481|474|3082|788|3910|1513|412|353|1910|339|2992|2459|5301,runs_stage22_eval/antmaze-medium-navigate-v0/seed0/gas_shortest/budget3/fallback_progress_stall_v2/eval.csv,progress_stall_v2,15.0,13.0,2.0,0.8666666666666667,0.9999715107692306,0.99979264,1.8003703546051946,0.07692307692307693,0.9230769230769231,0.15384615384615385,12.33373717917532,2.0,0.14285714285714285,2.0,4.0,0.2857142857142857,0.6525762098789426,0,1,0,0,0,0
antmaze-medium-navigate-v0,0,3,2,gas_shortest,3.0,1.0,1.0,0,0.0,0.0,1000,7.440823793411255,4.099324955757418|11.870644785236554|0.6546777250645043|0.9958165949154201|-0.0037892094096177637|0.05004556832819853|-0.07635700540105915|0.4435321622603128|1.1903026494957318|0.5447058110695792|-1.0827327510935822|0.35408147408773344|-1.1323442102477952|-0.3956783434603379|1.1581500974193029|0.3118204939983179|-0.24155556375045498|-0.45406626615758505|1.2195779272836118|0.3204496552697452|1.027759568230196|-1.6560489066508517|1.0675019450210161|0.8874247373910877|0.2458900228946046|0.2023522795746481|2.0476991438855725|0.7139835354525196|-0.47133077728080064,-6.369504928588867|3.668027877807617|2.6294424533843994|-7.130685806274414|-1.2338711023330688|-2.861506938934326|2.870055913925171|-3.9066998958587646|-7.320095539093018|-0.16893279552459717|6.106325149536133|2.296538829803467|-2.7484471797943115|9.584632873535156|-2.7783491611480713|-8.136590957641602|-3.9630110263824463|-5.879759788513184|-0.5724611878395081|-1.8070415258407593|2.571819305419922|-7.825461387634277|-1.5861220359802246|5.5414276123046875|5.576035976409912|0.22084033489227295|4.0618462562561035|-11.120433807373047|0.16994905471801758|4.0326619148254395|-1.0777623653411865|-2.0215096473693848,19.921724319458008,24.199932098388672,19.24466323852539,0.6770610809326172,0,,0,0,0,38,10,6.526315789473684,5,57.86713409423828,3.285481081518992,0.0,0.0374225774517777,,,80,154,41,0.2662337662337662,123.85840013035032,126.2954344318132,,412|239|107|84|83|125|141|54|26|211|413,5290|3418|1782|1444|1438|2066|2270|1006|474|5305,runs_stage22_eval/antmaze-medium-navigate-v0/seed0/gas_shortest/budget3/fallback_progress_stall_v2/eval.csv,progress_stall_v2,10.0,8.0,2.0,0.8,0.99984068125,0.99915135,1.2012749176357826,0.0,1.0,0.0,5.2625356444884535,2.0,0.2222222222222222,2.0,0.0,0.0,0.9122429838985745,1,0,0,1,1,0
antmaze-medium-navigate-v0,0,4,3,gas_shortest,3.0,1.0,1.0,0,0.0,0.0,1000,4.509465456008911,-0.41819052217411135|20.021655210395327|0.6698565324873992|0.9812726265454064|-0.117692766820821|-0.08070508884251378|-0.12937980393268872|0.35733876997492325|1.101814530570395|0.06501182803083895|-0.5845211944587433|0.5286985738223469|-1.1135397479621338|-0.35648198076945703|0.9991828216460972|-0.13477013728910722|0.29274009701760945|-0.5474133851260644|0.34619807757292254|0.8269032546989146|-0.9309274807857725|1.0738488436818|-2.401893872350165|1.6671117406580982|-1.3919167204982048|-0.3419205150632276|1.512281432321925|1.705440832731174|-1.8478147947707044,-1.8187060356140137|8.008817672729492|6.0836687088012695|-5.0411810874938965|5.319878578186035|-8.74317741394043|5.998027324676514|-5.937250137329102|-9.16939926147461|5.94375467300415|6.282827854156494|-2.0578486919403076|0.2778043746948242|17.54663848876953|-4.010909557342529|-11.24522590637207|-13.138911247253418|-8.716934204101562|0.48104119300842285|-5.233217239379883|7.057356834411621|-12.32841968536377|-1.9223846197128296|9.530183792114258|12.482474327087402|-1.828603982925415|6.034167289733887|-9.775492668151855|-1.3607995510101318|3.844809055328369|-7.411746025085449|3.0643105506896973,52.97026824951172,25.324359893798828,15.079768180847168,37.89050006866455,1,no_improvement,608,0,0,15,15,9.0,4,96.00541234016418,4.534576361806369,0.0,0.0107314525168253,,,80,61,19,0.3114754098360656,125.78330079559235,128.7076842971146,,412|116|97|6|264|5|111|57|62|87|239|107|84|83|410|413,5285|1932|1643|117|3749|97|1840|1057|1122|1497|3418|1782|1444|1443|5311,runs_stage22_eval/antmaze-medium-navigate-v0/seed0/gas_shortest/budget3/fallback_progress_stall_v2/eval.csv,progress_stall_v2,15.0,13.0,2.0,0.8666666666666667,0.9999107238461539,0.99915135,1.9511609429430727,0.0,1.0,0.0,7.705451959806007,2.0,0.14285714285714285,2.0,1.0,0.07142857142857142,0.7984620063706904,1,1,1,1,1,1
antmaze-medium-navigate-v0,0,5,4,gas_shortest,3.0,1.0,1.0,1,1.0,100.0,227,3.093674898147583,0.9453687199297687|0.4296319873487293|0.6055566812366261|0.998408296887121|-0.025349218523425296|-0.035276982179479784|0.035969770023152034|-0.16939200644857033|1.2319549199845223|0.44314489918375954|-0.7672691583675628|0.5297660500924593|-1.2255607662698909|-0.27314712050464507|1.227236881928181|0.3100928363962765|0.11153670129428764|-0.3313431341000639|-0.36806578339064167|0.22295422461673967|-0.3351752630992282|1.6975553767558595|-0.1515245813177892|0.6398206402711973|1.2027123425475157|0.1548439727858298|0.047674764782199716|-3.2871190981536227|-0.09193549051549182,-2.3467466831207275|2.0193676948547363|8.609870910644531|-8.639936447143555|-0.4249876141548157|6.1748151779174805|10.866565704345703|-12.326400756835938|-11.480924606323242|-10.292657852172852|4.455772876739502|9.558679580688477|-0.8757864832878113|4.788070201873779|3.391232967376709|-13.602272987365723|-2.7988829612731934|-3.0737388134002686|-0.8976816534996033|-3.80049729347229|3.1528260707855225|-6.8947014808654785|-2.6652915477752686|15.29631519317627|-3.8077964782714844|1.3479554653167725|-2.220146656036377|-9.861207008361816|11.605789184570312|5.543159484863281|-8.950698852539062|-10.394454956054688,49.25854110717773,1.688754677772522,1.688754677772522,47.56978642940521,1,no_improvement,21,0,0,19,12,3.263157894736842,1,74.89656710624695,3.71273649007924,0.0,0.024410632336987,,,80,46,29,0.6304347826086957,124.87774778549608,129.5740545814624,,412|37|145|38|115|20|40|39|71|197|81|0|413,5280|682|2340|698|1911|348|729|715|1266|2934|1410|5296,runs_stage22_eval/antmaze-medium-navigate-v0/seed0/gas_shortest/budget3/fallback_progress_stall_v2/eval.csv,progress_stall_v2,12.0,10.0,2.0,0.8333333333333334,0.999868713,0.99884796,1.051313522168473,0.3,0.7,0.6,4.946412493060968,2.0,0.18181818181818182,2.0,0.0,0.0,0.9637263000158066,0,0,0,0,0,0
antmaze-medium-navigate-v0,0,1,5,gas_shortest,3.0,1.0,1.0,1,1.0,100.0,260,4.422265291213989,19.413438310678853|20.837221815875843|0.6071164876088686|0.999679040695864|-0.004267936790172441|-0.010706178057856121|0.022560542111050297|0.44414713631968167|1.1627042092044202|-0.5406502083958613|-0.8187769721789058|0.327678454747835|-1.1276753820631762|-0.018010689664894008|1.0607947872157752|-0.506560763075987|-0.24809051995295064|-0.3503868372628277|0.17879543964476635|0.5277023485476612|-0.383816726321406|-1.6134412359059662|-1.2598121171000787|0.274715442113005|-0.07337170942792337|0.472397336565232|2.5325732599112865|0.11943358839877666|-0.5866765167614053,-14.846673965454102|19.499652862548828|6.373854160308838|-15.587743759155273|-7.535372257232666|-18.583959579467773|13.809759140014648|-13.380584716796875|-11.091719627380371|-6.706291198730469|13.864026069641113|4.173064708709717|-3.268850803375244|1.1253557205200195|0.20759296417236328|-12.606350898742676|16.63062858581543|-5.060121059417725|-4.407040596008301|8.56031608581543|3.6316113471984863|-12.510832786560059|-0.3777361810207367|16.213104248046875|8.729009628295898|-3.8872108459472656|-4.1362128257751465|-13.258810997009277|8.802567481994629|5.77667236328125|1.2850228548049927|20.36392593383789,56.43524932861328,3.3080596923828125,2.7939321994781494,53.64131712913513,1,no_improvement,22,0,0,29,16,3.413793103448276,1,91.8848843574524,3.564910768592244,0.0,0.0282995105766939,,,80,62,41,0.6612903225806451,123.13415010355348,127.51373859937304,,412|226|176|251|404|321|170|134|230|112|162|32|157|177|371|118|413,5289|3281|2708|3587|5190|4381|2650|2167|3318|1868|2563|570|2506|2719|4918|5302,runs_stage22_eval/antmaze-medium-navigate-v0/seed0/gas_shortest/budget3/fallback_progress_stall_v2/eval.csv,progress_stall_v2,16.0,14.0,2.0,0.875,0.9999281942857143,0.999458,1.0510054818033037,0.5,0.5,3.642857142857143,5.003567051779523,2.0,0.13333333333333333,2.0,0.0,0.0,0.9715631895350252,0,1,0,0,0,0
antmaze-medium-navigate-v0,0,2,6,gas_shortest,3.0,1.0,1.0,1,1.0,100.0,221,3.597622871398926,20.642458246115662|-0.9166067485495002|0.6372528156532602|0.9975938535033255|8.752502503409711e-05|-0.03667394316209291|0.058834663972011196|0.34577417452163983|0.8299353224708159|0.07373171261414996|-1.0876747293139226|-0.23113403103292826|-1.0503583689380176|-0.40420651725054463|1.2197548247149776|0.8528421915153189|0.02388995541757892|-0.36164991071228175|0.08058312480255943|-0.3435694214855063|-0.2549395445329074|1.8945231233327147|-2.177000084080079|2.1167291792686207|2.6489959120988207|-2.221558531642109|2.593063806013759|-1.25115147863417|1.3093940960213861,5.473901748657227|1.991927981376648|6.486838340759277|4.891107559204102|-0.027380824089050293|-2.7273263931274414|11.608373641967773|-5.596272945404053|-8.088211059570312|-0.3898107409477234|-2.6001899242401123|-0.2949749231338501|3.775468349456787|-14.34665298461914|-2.4268798828125|-9.90449047088623|17.485240936279297|-5.592751502990723|3.935389280319214|8.278806686401367|11.375677108764648|0.7602916955947876|-0.9614449739456177|11.774876594543457|-6.5231757164001465|-3.491927146911621|-1.585211992263794|-7.17099666595459|5.435604095458984|5.461986541748047|-5.580403804779053|13.101369857788086,57.2259407043457,6.201682567596436,5.000571250915527,52.225369453430176,1,no_improvement,6,0,0,22,15,3.227272727272727,1,93.47538661956789,4.740025777769562,0.0,0.008738420925569,,,80,49,32,0.6530612244897959,130.89659963522783,131.47826184576843,,412|123|27|26|211|42|276|89|23|20|115|19|201|153|114|413,5283|2035|481|474|3082|788|3910|1513|412|353|1910|339|2992|2459|5300,runs_stage22_eval/antmaze-medium-navigate-v0/seed0/gas_shortest/budget3/fallback_progress_stall_v2/eval.csv,progress_stall_v2,15.0,13.0,2.0,0.8666666666666667,0.9999715107692306,0.99979264,1.8003703546051946,0.07692307692307693,0.9230769230769231,0.15384615384615385,12.33373717917532,2.0,0.14285714285714285,2.0,4.0,0.2857142857142857,0.6525762098789426,0,1,1,0,0,1
antmaze-medium-navigate-v0,0,3,7,gas_shortest,3.0,1.0,1.0,1,1.0,100.0,232,3.050637006759644,3.876818462881787|12.446930355661882|0.613214554025246|0.9983444361254198|0.007559627914766346|-0.01653512122103751|0.05456948459912171|-0.0070942504200612495|1.1082862645703704|-0.5261703491187643|-1.2270749112595318|0.0741012412154792|-1.0790429983258092|-0.5305908290774977|1.2067059548462062|0.3488293653788511|0.457889342222364|-0.3773555230295065|-0.0006324959560174703|0.5756616697228147|0.5957840209550999|0.8598067942243426|-2.2932858395592586|0.014471822494391244|-0.854115417199254|-3.40573470319321|2.8515502464406564|0.06507070970964718|-0.38525022910642387,-6.310800552368164|4.415180206298828|3.0689566135406494|-7.240103244781494|-0.64622962474823|-3.780632734298706|3.1450464725494385|-3.651060104370117|-7.280258655548096|0.8585457801818848|6.054966926574707|1.5941145420074463|-2.3346097469329834|10.788225173950195|-2.8747153282165527|-8.530896186828613|-4.921070098876953|-6.06106424331665|-0.5017708539962769|-2.193730115890503|2.56539249420166|-8.425920486450195|-1.5535128116607666|5.910417556762695|6.563807964324951|0.037459611892700195|4.498473167419434|-10.95225715637207|-0.023453474044799805|4.239528656005859|-1.477036952972412|-1.3685275316238403,19.768917083740234,2.0087058544158936,1.8028351068496704,17.966081976890564,0,,5,0,0,19,7,2.8421052631578947,1,46.30620002746582,3.778779761392797,0.0,0.0228505575524947,,,80,45,24,0.5333333333333333,122.39445178879816,124.98843169014437,,412|84|83|125|141|54|26|413,5284|1444|1438|2066|2270|1006|5299,runs_stage22_eval/antmaze-medium-navigate-v0/seed0/gas_shortest/budget3/fallback_progress_stall_v2/eval.csv,progress_stall_v2,7.0,5.0,2.0,0.7142857142857143,0.9997845379999999,0.99915135,0.751077668268408,0.0,1.0,0.0,4.891984625057287,2.0,0.3333333333333333,2.0,0.0,0.0,0.931430813076783,0,0,0,1,0,0
antmaze-medium-navigate-v0,0,4,8,gas_shortest,3.0,1.0,1.0,1,1.0,100.0,225,3.980837821960449,0.7383890804278399|20.0617113831112|0.5953024314887868|0.9912206148103112|-0.08191568586043323|0.08870064068869724|0.053886079153131164|-0.5314773292102686|0.5122106625560465|-0.1716509941926699|-1.1173951288361552|-0.07686269354995603|-1.2245067175041426|-0.38774297255461704|1.0784066896331757|0.22743309074660506|0.37352165984844754|-0.6602331504338146|0.1777129067743996|-0.36186393149305024|-0.25608549471578773|0.12311920790233044|-1.7730914832789353|3.5118380302559693|0.23557371610840244|2.3485609409111112|0.024817864325481095|-1.7072741951107484|-2.958605441784036,-2.5302932262420654|8.488714218139648|6.358582973480225|-5.825206756591797|5.0115861892700195|-9.122584342956543|5.99972677230835|-4.895017623901367|-8.469184875488281|6.616393089294434|5.455249309539795|-2.174056053161621|0.8834398984909058|17.659648895263672|-3.5167925357818604|-11.279471397399902|-12.27031135559082|-8.260009765625|0.5414906740188599|-4.731326580047607|6.090719699859619|-12.410234451293945|-1.5761834383010864|9.818708419799805|12.50013542175293|-1.5375827550888062|5.903459072113037|-9.72095012664795|-0.6006500720977783|4.450939178466797|-6.899415016174316|3.847078323364258,52.33089447021485,3.311680555343628,3.041412830352783,49.28948163986206,0,,0,0,0,26,14,2.576923076923077,1,92.68946409225464,4.984825145633183,0.0,0.006840974097082,,,80,54,37,0.6851851851851852,121.99100453849846,125.72310250106966,,412|116|97|6|264|5|111|57|62|87|239|107|84|83|413,5285|1932|1643|117|3749|97|1840|1057|1122|1497|3418|1782|1444|5298,runs_stage22_eval/antmaze-medium-navigate-v0/seed0/gas_shortest/budget3/fallback_progress_stall_v2/eval.csv,progress_stall_v2,14.0,12.0,2.0,0.8571428571428571,0.9999032925,0.99915135,1.801160823733769,0.0,1.0,0.0,7.588755562670816,2.0,0.15384615384615385,2.0,1.0,0.07692307692307693,0.7901535237880878,0,0,1,1,0,1
antmaze-medium-navigate-v0,0,5,9,gas_shortest,3.0,1.0,1.0,1,1.0,100.0,168,5.494327068328857,-0.008453413731707826|-0.7323409420814468|0.594352253994715|0.9999135216391342|-0.008098887066130227|0.004505527155396767|0.009330460683466888|0.20605060011337745|1.0013387578248456|-0.5788383538592666|-0.5477527707142277|0.24091069101186277|-1.117806728682711|-0.4300789645378233|1.1831739945580844|0.19745348815598332|0.8627654648643002|-0.2801154842838439|-0.0947977369280542|-0.5256436149950573|-0.007438683483618265|-0.3499267663094853|-0.4494954165154213|0.045271055722805764|-1.1520534155498061|1.1605037377185463|2.110764579864205|-1.619601704036409|-2.146703383036364,-1.7067968845367432|2.3797531127929688|9.10122299194336|-8.248897552490234|0.05567708611488342|6.2964959144592285|11.569120407104492|-12.926939010620117|-11.585638046264648|-10.53514289855957|4.533145427703857|9.53105640411377|-0.5279514789581299|4.965229034423828|3.412794828414917|-14.24150276184082|-3.4975907802581787|-3.0841634273529053|-0.9425262808799744|-4.379225254058838|3.422292709350586|-7.045119285583496|-2.7084083557128906|16.226228713989258|-4.010852336883545|1.1112256050109863|-2.5285120010375977|-9.324159622192383|11.90304946899414|5.671304702758789|-9.847085952758789|-10.877191543579102,47.99367141723633,5.023937225341797,3.548592329025269,44.44507908821106,0,,0,0,0,24,12,2.25,1,73.06125950813293,3.997682955701972,0.0,0.0183581262389138,,,80,47,34,0.723404255319149,158.4433806250066,188.2579392389744,,412|56|269|63|115|20|40|39|71|197|81|0|413,5281|1050|3824|1142|1911|348|729|715|1266|2934|1410|5296,runs_stage22_eval/antmaze-medium-navigate-v0/seed0/gas_shortest/budget3/fallback_progress_stall_v2/eval.csv,progress_stall_v2,12.0,10.0,2.0,0.8333333333333334,0.99986696,0.99884796,1.201331046064521,0.2,0.8,0.3,5.107987877328404,2.0,0.18181818181818182,2.0,0.0,0.0,0.9466498097478239,0,0,0,0,0,0
