env,seed,variant,budget,fallback_mode,task_id,episode_id,success,shortest_edges,variant_edges,edge_overlap_jaccard,edge_overlap_vs_shortest,avoided_edges,new_edges,avoided_edge_ids,new_edge_ids
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,2,26,1,16,16,0.28,0.4375,9,9,474|481|788|2035|2462|2952|3082|5283|5299,873|999|2281|2451|3063|4690|4984|5285|5297
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,3,27,1,9,9,0.125,0.2222222222222222,7,7,474|1006|1438|1444|1782|2066|2270,1024|1786|2094|2490|3063|3065|4696
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,4,28,1,15,17,0.28,0.4666666666666667,8,10,97|117|1057|1122|1497|1840|3749|5286,109|557|1332|1725|2152|3247|3879|3985|4883|5290
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,5,29,1,12,12,0.2,0.3333333333333333,8,8,682|2340|2707|3581|4384|5187|5280|5306,404|679|1287|1681|3664|4369|5282|5305
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,1,30,1,15,16,0.24,0.4,9,10,714|1234|1260|1419|1619|2933|4215|5291|5308,14|408|2167|2232|2650|4381|4796|4918|5294|5303
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,2,31,1,15,16,0.24,0.4,9,10,474|481|788|2035|2308|2335|3082|5282|5308,306|975|999|1894|2300|2741|3063|4690|5285|5309
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,3,32,1,10,11,0.75,0.9,1,2,5290,1252|5284
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,4,33,1,15,18,0.5714285714285714,0.8,3,6,1122|1497|5286,818|1118|1831|2152|3879|5284
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,5,34,1,12,13,0.6666666666666666,0.8333333333333334,2,3,5281|5303,1593|5287|5304
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,1,35,1,15,17,0.391304347826087,0.6,6,8,2210|3129|3587|5190|5286|5308,14|408|2232|4796|4918|5279|5295|5302
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,2,36,1,16,16,0.28,0.4375,9,9,474|481|788|2035|2462|2952|3082|5283|5298,873|999|2281|2451|3063|4690|4984|5285|5297
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,3,37,1,9,10,0.7272727272727273,0.8888888888888888,1,2,5300,474|5305
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,4,38,1,14,18,0.14285714285714285,0.2857142857142857,10,14,97|117|1057|1122|1497|1840|1932|3749|5285|5297,109|549|818|1332|1725|1831|1964|2152|2468|3247|3879|4883|5284|5298
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,5,39,1,12,13,0.47058823529411764,0.6666666666666666,4,5,1050|1142|3824|5281,698|1290|1483|4135|5283
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,1,40,1,14,16,0.0,0.0,14,16,110|605|714|1234|1260|1326|1419|1607|2933|4215|4600|5073|5291|5301,14|408|570|1868|2167|2232|2506|2563|2650|2719|3318|4381|4796|5279|5295|5309
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,2,41,1,16,16,0.28,0.4375,9,9,474|481|788|2035|2462|2952|3082|5282|5298,873|999|2042|2451|3063|4287|4690|5290|5297
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,3,42,1,9,9,0.2,0.3333333333333333,6,6,1006|1438|1444|1782|2066|2270,1024|1786|2094|2490|3053|3065
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,4,43,1,15,19,0.25925925925925924,0.4666666666666667,8,12,97|117|1057|1122|1497|1840|3749|5286,109|549|818|1332|1725|1831|2152|2468|3247|3879|4883|5284
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,5,44,0,12,13,0.25,0.4166666666666667,7,8,682|698|1266|1410|2340|2934|5280,656|1142|1273|1533|2739|4197|4438|5289
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,1,45,1,14,16,0.15384615384615385,0.2857142857142857,10,12,110|605|714|1234|1260|1326|1607|4600|5073|5300,570|1272|1868|2167|2506|2563|2650|2719|3318|4381|4920|5311
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,2,46,1,15,15,0.2,0.3333333333333333,10,10,339|474|788|1006|1910|2270|2451|2992|3082|5296,697|999|1693|1913|2281|2952|3063|4690|4984|5299
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,3,47,1,8,9,0.7,0.875,1,2,5305,3084|5301
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,4,48,1,15,18,0.2222222222222222,0.4,9,12,97|117|1057|1122|1497|1840|1932|3749|5285,109|557|1332|1725|1831|1964|2152|3247|3879|3985|4883|5284
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,progress_stall_v2,5,49,1,11,12,0.4375,0.6363636363636364,4,5,656|1142|1533|5284,698|1542|1681|4197|5294
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,1,0,1,15,16,0.8235294117647058,0.9333333333333333,1,2,5308,4920|5311
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,2,1,1,15,16,0.14814814814814814,0.26666666666666666,11,12,339|474|481|788|1910|2035|2462|2992|3082|5283|5305,697|999|1693|1913|2281|2952|3063|4690|4984|5263|5295|5299
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,3,2,1,10,11,0.75,0.9,1,2,5290,4746|5293
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,4,3,0,15,18,0.5714285714285714,0.8,3,6,1122|1497|5285,818|1118|1349|1827|2152|5284
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,5,4,1,12,12,0.2631578947368421,0.4166666666666667,7,7,682|1266|1410|2340|2934|5280|5296,1267|1290|1483|3525|4135|5282|5300
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,1,5,1,16,16,0.45454545454545453,0.625,6,6,570|2506|2563|2719|4918|5302,110|1646|1930|2571|3750|5296
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,2,6,1,15,17,0.6,0.8,3,5,2459|5283|5300,873|2451|5261|5295|5297
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,3,7,1,8,8,0.23076923076923078,0.375,5,5,1006|1438|2066|2270|5306,1024|1436|2094|3053|5305
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,4,8,0,14,17,0.14814814814814814,0.2857142857142857,10,13,97|117|1057|1122|1497|1840|1932|3749|5285|5298,109|557|1332|1438|1725|1964|2152|3247|3879|3985|4883|5290|5300
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,5,9,1,12,13,0.47058823529411764,0.6666666666666666,4,5,1266|1427|2934|5307,22|1256|2252|4800|5305
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,1,10,1,15,16,0.34782608695652173,0.5333333333333333,7,8,714|1234|1260|1419|1619|2933|5307,39|368|803|1425|2167|4029|4920|5311
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,2,11,1,14,16,0.30434782608695654,0.5,7,9,474|788|2451|3082|4571|5293|5296,999|2462|2952|3063|4295|4690|4984|5291|5299
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,3,12,1,9,9,0.8,0.8888888888888888,1,1,5306,5305
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,4,13,1,14,17,0.19230769230769232,0.35714285714285715,9,12,97|117|1057|1122|1497|1840|3749|5286|5298,109|818|1332|1725|2152|2468|3241|3705|3879|4779|5290|5297
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,5,14,1,12,13,0.3888888888888889,0.5833333333333334,5,6,1266|1427|2934|5281|5307,3|1273|1593|4438|5287|5298
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,1,15,1,15,17,0.03225806451612903,0.06666666666666667,14,16,110|605|714|1234|1260|1326|1419|1607|1646|2933|4215|4600|5073|5301,2|39|368|570|803|1425|1868|2167|2506|2563|2719|3318|4029|4212|4920|5311
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,2,16,1,15,16,0.2916666666666667,0.4666666666666667,8,9,474|481|788|2035|2459|3082|5282|5301,873|999|2281|2451|3063|4690|4984|5284|5297
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,3,17,0,9,9,0.2,0.3333333333333333,6,6,1006|1438|1444|1782|2066|2270,1024|1786|2094|2490|3053|3065
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,4,18,1,14,18,0.45454545454545453,0.7142857142857143,4,8,1122|1497|5285|5298,818|1118|1349|1438|1827|2152|5284|5300
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,5,19,1,12,13,0.7857142857142857,0.9166666666666666,1,2,5310,4792|5296
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,1,20,1,15,16,0.8235294117647058,0.9333333333333333,1,2,5308,4920|5311
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,2,21,1,15,16,0.2916666666666667,0.4666666666666667,8,9,474|481|788|2035|2459|3082|5282|5300,873|999|2451|3063|4295|4690|4984|5290|5297
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,3,22,1,8,9,0.0625,0.125,7,8,1006|1438|1444|1782|2066|2270|5299,474|1024|1786|2094|2490|3053|3065|5306
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,4,23,0,15,17,0.6,0.8,3,5,1438|5285|5299,1349|1443|1827|5284|5311
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,5,24,1,13,13,0.4444444444444444,0.6153846153846154,5,5,1050|1142|1593|3824|5286,679|698|1287|1681|5282
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,1,25,1,14,16,0.07142857142857142,0.14285714285714285,12,14,110|605|714|1234|1260|1326|1419|1607|2933|4600|5073|5300,39|368|570|803|1425|1868|2167|2506|2563|2719|3318|4029|4918|5303
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,2,26,1,16,16,0.391304347826087,0.5625,7,7,474|481|788|2035|3082|5283|5298,999|2281|3063|4690|4984|5285|5297
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,3,27,0,9,9,0.058823529411764705,0.1111111111111111,8,8,474|1006|1438|1444|1782|2066|2270|5305,1024|1786|2094|2490|3063|3065|4696|5306
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,4,28,1,15,17,0.28,0.4666666666666667,8,10,97|117|1057|1122|1497|1840|3749|5286,109|557|1332|1725|2152|3247|3879|3985|4883|5290
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,5,29,1,12,12,0.2,0.3333333333333333,8,8,682|2340|2707|3581|4384|5187|5280|5306,404|679|1287|1681|3664|4369|5282|5305
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,1,30,1,14,16,0.2,0.35714285714285715,9,11,714|1234|1260|1419|1619|2933|4215|5291|5303,14|408|2167|2232|2650|2719|4381|4796|5279|5295|5308
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,2,31,0,15,16,0.14814814814814814,0.26666666666666666,11,12,474|481|699|788|1913|2035|2308|2335|3082|5282|5308,339|873|999|1910|2281|2451|2992|3063|4690|4984|5284|5297
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,3,32,1,10,10,0.5384615384615384,0.7,3,3,474|5290|5306,1252|5284|5299
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,4,33,1,15,18,0.375,0.6,6,9,1122|1438|1497|1964|5286|5299,818|1118|1349|1443|1827|1932|2152|5284|5311
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,5,34,1,12,13,0.3157894736842105,0.5,6,7,740|2707|3581|4384|5187|5305,22|715|729|1256|2252|4802|5307
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,1,35,1,15,16,0.47619047619047616,0.6666666666666666,5,6,2210|3129|3587|5190|5286,14|408|2232|4796|5279|5295
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,2,36,1,16,16,0.28,0.4375,9,9,474|481|788|2035|2462|2952|3082|5283|5298,873|999|2281|2451|3063|4690|4984|5285|5297
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,3,37,0,9,10,0.7272727272727273,0.8888888888888888,1,2,5290,1252|5284
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,4,38,1,14,18,0.18518518518518517,0.35714285714285715,9,13,97|117|1057|1122|1497|1840|1932|3749|5285,109|549|818|1332|1725|1831|1964|2152|2468|3247|3879|4883|5284
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,5,39,1,12,13,0.47058823529411764,0.6666666666666666,4,5,1050|1142|3824|5281,698|1290|1483|4135|5283
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,1,40,1,14,16,0.2,0.35714285714285715,9,11,714|1234|1260|1419|1619|2933|4215|5291|5304,14|408|2167|2232|2650|2719|4381|4796|5279|5295|5309
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,2,41,1,16,16,0.28,0.4375,9,9,474|481|788|2035|2462|2952|3082|5282|5298,873|999|2042|2451|3063|4287|4690|5290|5297
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,3,42,1,9,9,0.2,0.3333333333333333,6,6,1006|1438|1444|1782|2066|2270,1024|1786|2094|2490|3053|3065
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,4,43,1,15,18,0.2692307692307692,0.4666666666666667,8,11,97|117|1057|1122|1497|1840|3749|5286,109|549|1332|1725|1831|2476|2898|3247|3879|4883|5284
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,5,44,0,12,13,0.25,0.4166666666666667,7,8,682|698|1266|1410|2340|2934|5280,656|1142|1273|1533|2739|4197|4438|5289
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,1,45,1,14,15,0.6111111111111112,0.7857142857142857,3,4,1326|4600|5300,1646|3750|4607|5302
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,2,46,1,15,15,0.2,0.3333333333333333,10,10,339|474|788|1006|1910|2270|2451|2992|3082|5296,699|999|1913|2281|2308|2335|3063|4690|4984|5309
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,3,47,0,8,9,0.7,0.875,1,2,5305,3084|5301
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,4,48,0,15,19,0.21428571428571427,0.4,9,13,97|117|1057|1122|1497|1840|1932|3749|5285,109|549|818|1332|1725|1831|1964|2152|2468|3247|3879|4883|5284
antmaze-medium-navigate-v0,0,gas_reachability_budget,3.0,none,5,49,1,11,12,0.35294117647058826,0.5454545454545454,5,6,740|3578|4384|5187|5284,715|729|1267|3525|4197|5294
antmaze-medium-navigate-v0,0,gas_reachability_budget,2.0,progress_stall_v2,1,0,1,15,16,0.03333333333333333,0.06666666666666667,14,15,570|1868|2167|2210|2506|2563|2650|2719|3129|3318|3587|5190|5288|5308,14|52|74|100|110|237|408|850|1646|2232|2648|3750|4796|5280|5301
antmaze-medium-navigate-v0,0,gas_reachability_budget,2.0,progress_stall_v2,2,1,1,15,16,0.03333333333333333,0.06666666666666667,14,15,339|412|474|481|788|1513|1910|2035|2459|2992|3082|3910|5283|5302,324|697|796|1693|1913|2281|2952|3063|3177|4392|4686|4984|5263|5295|5298
antmaze-medium-navigate-v0,0,gas_reachability_budget,2.0,progress_stall_v2,3,2,1,10,12,0.5714285714285714,0.8,2,4,5290|5305,3079|4746|5293|5298
antmaze-medium-navigate-v0,0,gas_reachability_budget,2.0,progress_stall_v2,4,3,0,15,18,0.17857142857142858,0.3333333333333333,10,13,97|117|1057|1122|1497|1643|1840|1932|3749|5285,130|557|1332|1367|1725|1831|2152|3108|3247|3875|3985|4883|5284
antmaze-medium-navigate-v0,0,gas_reachability_budget,2.0,progress_stall_v2,5,4,1,12,13,0.13636363636363635,0.25,9,10,682|715|729|1266|1410|2340|2934|5280|5296,679|735|1216|1287|1681|1953|2534|3525|5281|5300
