result_set,condition,env,variant,fallback_used_bucket,count,mean,std
stage18_medium100,unknown,antmaze-medium-diverse-v2,full_bars,0,159,0.2641509433962264,0.4422730439743298
stage18_medium100,unknown,antmaze-medium-diverse-v2,full_bars,1,141,0.5815602836879432,0.49506173307397194
stage18_medium100,unknown,antmaze-medium-diverse-v2,reachability,0,173,0.19653179190751446,0.3985286826591066
stage18_medium100,unknown,antmaze-medium-diverse-v2,reachability,1,127,0.5590551181102362,0.49846659003621024
stage18_medium100,unknown,antmaze-medium-diverse-v2,shortest,0,212,0.1509433962264151,0.3588410209234944
stage18_medium100,unknown,antmaze-medium-diverse-v2,shortest,1,88,0.6363636363636364,0.48380242433138315
stage18_medium100,unknown,antmaze-medium-play-v2,full_bars,0,115,0.14782608695652175,0.3564808073096893
stage18_medium100,unknown,antmaze-medium-play-v2,full_bars,1,185,0.7027027027027027,0.4583088516767535
stage18_medium100,unknown,antmaze-medium-play-v2,reachability,0,121,0.1487603305785124,0.35733170921879176
stage18_medium100,unknown,antmaze-medium-play-v2,reachability,1,179,0.4134078212290503,0.4938260465064065
stage18_medium100,unknown,antmaze-medium-play-v2,shortest,0,214,0.018691588785046728,0.13575097410763887
stage18_medium100,unknown,antmaze-medium-play-v2,shortest,1,86,0.686046511627907,0.46681972605572997
stage18_medium50,direct_goal_fallback,antmaze-medium-diverse-v2,full_bars,0,71,0.23943661971830985,0.42977697646219015
stage18_medium50,direct_goal_fallback,antmaze-medium-diverse-v2,full_bars,1,79,0.620253164556962,0.4884249271331116
stage18_medium50,direct_goal_fallback,antmaze-medium-diverse-v2,reachability,0,82,0.18292682926829268,0.3889856635299014
stage18_medium50,direct_goal_fallback,antmaze-medium-diverse-v2,reachability,1,68,0.6176470588235294,0.48957525802965424
stage18_medium50,direct_goal_fallback,antmaze-medium-diverse-v2,shortest,0,105,0.1523809523809524,0.3611134591827482
stage18_medium50,direct_goal_fallback,antmaze-medium-diverse-v2,shortest,1,45,0.6,0.49543369430686224
stage18_medium50,direct_goal_fallback,antmaze-medium-play-v2,full_bars,0,56,0.125,0.3337119062359573
stage18_medium50,direct_goal_fallback,antmaze-medium-play-v2,full_bars,1,94,0.7446808510638298,0.43837849342815993
stage18_medium50,direct_goal_fallback,antmaze-medium-play-v2,reachability,0,60,0.1,0.30253169045376643
stage18_medium50,direct_goal_fallback,antmaze-medium-play-v2,reachability,1,90,0.45555555555555555,0.5008108282005753
stage18_medium50,direct_goal_fallback,antmaze-medium-play-v2,shortest,0,108,0.009259259259259259,0.0962250448649376
stage18_medium50,direct_goal_fallback,antmaze-medium-play-v2,shortest,1,42,0.6904761904761905,0.46790113809333267
stage18_medium50,direct_goal_only,antmaze-medium-diverse-v2,direct_goal,0,150,0.006666666666666667,0.0816496580927726
stage18_medium50,direct_goal_only,antmaze-medium-play-v2,direct_goal,0,150,0.0,0.0
stage18_medium50,horizon_threshold_only,antmaze-medium-diverse-v2,full_bars,0,150,0.08666666666666667,0.2822885064873428
stage18_medium50,horizon_threshold_only,antmaze-medium-diverse-v2,reachability,0,150,0.08666666666666667,0.2822885064873428
stage18_medium50,horizon_threshold_only,antmaze-medium-diverse-v2,shortest,0,150,0.06,0.2382824447791588
stage18_medium50,horizon_threshold_only,antmaze-medium-play-v2,full_bars,0,150,0.03333333333333333,0.18010685369303295
stage18_medium50,horizon_threshold_only,antmaze-medium-play-v2,reachability,0,150,0.02,0.14046901303903675
stage18_medium50,horizon_threshold_only,antmaze-medium-play-v2,shortest,0,150,0.006666666666666667,0.0816496580927726
stage18_medium50,original,antmaze-medium-diverse-v2,full_bars,0,150,0.17333333333333334,0.37980331657861593
stage18_medium50,original,antmaze-medium-diverse-v2,reachability,0,150,0.12666666666666668,0.3337134298224269
stage18_medium50,original,antmaze-medium-diverse-v2,shortest,0,150,0.10666666666666667,0.3097231209211053
stage18_medium50,original,antmaze-medium-play-v2,full_bars,0,150,0.14,0.34814947033030963
stage18_medium50,original,antmaze-medium-play-v2,reachability,0,150,0.11333333333333333,0.31806180368281994
stage18_medium50,original,antmaze-medium-play-v2,shortest,0,150,0.02666666666666667,0.16164700403963203
stage18_medium50,planner_fallback_only,antmaze-medium-diverse-v2,full_bars,0,150,0.11333333333333333,0.31806180368281994
stage18_medium50,planner_fallback_only,antmaze-medium-diverse-v2,reachability,0,150,0.1,0.30100502794079304
stage18_medium50,planner_fallback_only,antmaze-medium-diverse-v2,shortest,0,150,0.10666666666666667,0.3097231209211054
stage18_medium50,planner_fallback_only,antmaze-medium-play-v2,full_bars,0,150,0.04666666666666667,0.21163050828222804
stage18_medium50,planner_fallback_only,antmaze-medium-play-v2,reachability,0,150,0.04,0.19661566092456975
stage18_medium50,planner_fallback_only,antmaze-medium-play-v2,shortest,0,150,0.006666666666666667,0.0816496580927726
stage18_medium50,time_only,antmaze-medium-diverse-v2,full_bars,0,150,0.25333333333333335,0.43637719455582413
stage18_medium50,time_only,antmaze-medium-diverse-v2,reachability,0,150,0.17333333333333334,0.3798033165786158
stage18_medium50,time_only,antmaze-medium-diverse-v2,shortest,0,150,0.19333333333333333,0.39623507812467257
stage18_medium50,time_only,antmaze-medium-play-v2,full_bars,0,150,0.17333333333333334,0.37980331657861593
stage18_medium50,time_only,antmaze-medium-play-v2,reachability,0,150,0.16,0.3678342200269282
stage18_medium50,time_only,antmaze-medium-play-v2,shortest,0,150,0.06666666666666667,0.2502794858335033
stage18_medium50,tuned_no_fallback,antmaze-medium-diverse-v2,full_bars,0,150,0.11333333333333333,0.31806180368281994
stage18_medium50,tuned_no_fallback,antmaze-medium-diverse-v2,reachability,0,150,0.1,0.301005027940793
stage18_medium50,tuned_no_fallback,antmaze-medium-diverse-v2,shortest,0,150,0.10666666666666667,0.3097231209211053
stage18_medium50,tuned_no_fallback,antmaze-medium-play-v2,full_bars,0,150,0.04666666666666667,0.21163050828222804
stage18_medium50,tuned_no_fallback,antmaze-medium-play-v2,reachability,0,150,0.04,0.1966156609245697
stage18_medium50,tuned_no_fallback,antmaze-medium-play-v2,shortest,0,150,0.006666666666666667,0.0816496580927726
