env,run_episodes,task_id,variant,gas_n,gas_success_rate,variant_n,variant_success_rate,delta_success_rate,delta_mean_steps
antmaze-giant-stitch-v0,5,2,lowcond_tdr_only_local,5,1.0,5,0.4,-0.6,277.80000000000007
antmaze-giant-stitch-v0,5,3,lowcond_factor_only_nearestgoal,5,0.8,5,0.0,-0.8,193.20000000000005
antmaze-giant-stitch-v0,5,3,lowcond_full_localres,5,0.8,5,0.0,-0.8,193.20000000000005
antmaze-giant-stitch-v0,5,3,lowcond_full_nearestgoal,5,0.8,5,0.0,-0.8,193.20000000000005
antmaze-giant-stitch-v0,5,3,lowcond_full_nomask_nearestgoal,5,0.8,5,0.0,-0.8,193.20000000000005
antmaze-giant-stitch-v0,5,3,lowcond_full_rawdist_nearestgoal,5,0.8,5,0.0,-0.8,193.20000000000005
antmaze-giant-stitch-v0,5,3,lowcond_full_trajend,5,0.8,5,0.0,-0.8,193.20000000000005
antmaze-giant-stitch-v0,5,3,lowcond_tdr_only_local,5,0.8,5,0.0,-0.8,193.20000000000005
antmaze-giant-stitch-v0,5,4,lowcond_factor_only_nearestgoal,5,0.8,5,0.0,-0.8,254.79999999999995
antmaze-giant-stitch-v0,5,4,lowcond_full_localres,5,0.8,5,0.0,-0.8,254.79999999999995
antmaze-giant-stitch-v0,5,4,lowcond_full_nearestgoal,5,0.8,5,0.0,-0.8,254.79999999999995
antmaze-giant-stitch-v0,5,4,lowcond_full_nomask_nearestgoal,5,0.8,5,0.0,-0.8,254.79999999999995
antmaze-giant-stitch-v0,5,4,lowcond_full_rawdist_nearestgoal,5,0.8,5,0.0,-0.8,254.79999999999995
antmaze-giant-stitch-v0,5,4,lowcond_full_trajend,5,0.8,5,0.0,-0.8,254.79999999999995
antmaze-giant-stitch-v0,5,4,lowcond_tdr_only_local,5,0.8,5,0.0,-0.8,254.79999999999995
antmaze-giant-stitch-v0,5,5,lowcond_factor_only_nearestgoal,5,1.0,5,0.0,-1.0,551.4
antmaze-giant-stitch-v0,5,5,lowcond_full_localres,5,1.0,5,0.6,-0.4,346.4
antmaze-giant-stitch-v0,5,5,lowcond_full_nearestgoal,5,1.0,5,0.6,-0.4,326.79999999999995
antmaze-giant-stitch-v0,5,5,lowcond_full_nomask_nearestgoal,5,1.0,5,0.6,-0.4,316.0
antmaze-giant-stitch-v0,5,5,lowcond_full_rawdist_nearestgoal,5,1.0,5,0.6,-0.4,379.6
antmaze-giant-stitch-v0,5,5,lowcond_full_trajend,5,1.0,5,0.0,-1.0,551.4
antmaze-giant-stitch-v0,5,5,lowcond_tdr_only_local,5,1.0,5,0.6,-0.4,385.0
antmaze-medium-navigate-v0,5,1,lowcond_factor_only_nearestgoal,5,1.0,5,0.0,-1.0,729.4
antmaze-medium-navigate-v0,5,1,lowcond_full_localres,5,1.0,5,1.0,0.0,177.2
