env,run_episodes,weight,gas_n,gas_success,gas_success_rate,variant_n,variant_success,variant_success_rate,delta_success_rate,normal95_low,normal95_high,bootstrap95_low,bootstrap95_high,delta_mean_steps,delta_no_path_rate,delta_final_goal_steps,delta_subgoal_switches
antmaze-giant-navigate-v0,20,0.1,600,395.0,0.6583333333333333,600,396.0,0.66,0.0016666666666667052,-0.05197020283902285,0.05530353617235626,-0.050000000000000044,0.05499999999999994,0.6800000000000637,0.0,4.050000000000004,0.0
antmaze-giant-navigate-v0,20,0.2,600,395.0,0.6583333333333333,600,420.0,0.7,0.04166666666666663,-0.011103735741978794,0.09443706907531205,0.0,0.08166666666666667,-12.61833333333334,0.0,8.976666666666667,0.0
antmaze-giant-navigate-v0,20,0.25,600,395.0,0.6583333333333333,600,440.0,0.7333333333333333,0.07499999999999996,0.02311327330224605,0.12688672669775386,0.023333333333333317,0.13,-18.991666666666674,0.0,9.73166666666667,0.0
antmaze-giant-navigate-v0,20,0.3,600,395.0,0.6583333333333333,600,414.0,0.69,0.03166666666666662,-0.021339802470320524,0.08467313580365377,-0.010000000000000009,0.07333333333333336,-6.381666666666661,0.0,4.786666666666669,0.0
antmaze-giant-navigate-v0,20,0.4,600,395.0,0.6583333333333333,600,414.0,0.69,0.03166666666666662,-0.021339802470320524,0.08467313580365377,-0.015000000000000013,0.08000000000000007,-4.789999999999964,0.0,2.2933333333333366,0.0
antmaze-giant-navigate-v0,20,0.5,600,395.0,0.6583333333333333,600,392.0,0.6533333333333333,-0.0050000000000000044,-0.058761400926962734,0.048761400926962725,-0.05999999999999994,0.046666666666666634,10.161666666666747,0.0,3.3916666666666657,0.0
antmaze-giant-navigate-v0,50,0.25,1500,1015.0,0.6766666666666666,1500,1070.0,0.7133333333333334,0.036666666666666736,0.003741864352796914,0.06959146898053656,0.015999999999999903,0.058666666666666645,-10.622000000000071,0.0,6.874666666666663,0.0
antmaze-giant-stitch-v0,20,0.1,600,519.0,0.865,600,520.0,0.8666666666666667,0.0016666666666667052,-0.03690190996903122,0.04023524330236463,-0.033333333333333326,0.036666666666666736,-4.046666666666624,0.0,1.7083333333333357,0.0
antmaze-giant-stitch-v0,20,0.2,600,519.0,0.865,600,517.0,0.8616666666666667,-0.0033333333333332993,-0.042203006363621086,0.03553633969695449,-0.033333333333333326,0.03166666666666662,6.556666666666729,0.0,-0.14500000000000313,0.0
antmaze-giant-stitch-v0,20,0.25,600,519.0,0.865,600,526.0,0.8766666666666667,0.011666666666666714,-0.02627990034733533,0.04961323368066876,-0.020000000000000018,0.04166666666666674,-4.9683333333332484,0.0,0.005000000000002558,0.0
antmaze-giant-stitch-v0,20,0.3,600,519.0,0.865,600,509.0,0.8483333333333334,-0.016666666666666607,-0.056308354226514416,0.0229750208931812,-0.05999999999999994,0.021666666666666612,4.868333333333339,0.0,1.038333333333334,0.0
antmaze-giant-stitch-v0,20,0.4,600,519.0,0.865,600,511.0,0.8516666666666667,-0.013333333333333308,-0.05278613851923912,0.026119471852572504,-0.04500000000000004,0.020000000000000018,1.6800000000000637,0.0,-1.3233333333333306,0.0
antmaze-giant-stitch-v0,20,0.5,600,519.0,0.865,600,524.0,0.8733333333333333,0.008333333333333304,-0.029823561388522858,0.046490228055189466,-0.02833333333333332,0.04500000000000004,-2.794999999999959,0.0,0.03499999999999659,0.0
antmaze-medium-navigate-v0,20,0.1,400,383.0,0.9575,400,386.0,0.965,0.007499999999999951,-0.01924318371099452,0.034243183710994426,-0.01750000000000007,0.03500000000000003,-8.802500000000009,0.0,-1.0375000000000014,0.0
antmaze-medium-navigate-v0,20,0.25,400,383.0,0.9575,400,390.0,0.975,0.01749999999999996,-0.0074984054491481905,0.04249840544914811,-0.010000000000000009,0.04749999999999999,-13.847500000000025,0.0,5.445,0.0
antmaze-medium-stitch-v0,20,0.1,400,391.0,0.9775,400,394.0,0.985,0.007499999999999951,-0.011291675683663807,0.02629167568366371,-0.012500000000000067,0.030000000000000027,-1.9250000000000114,0.0,0.917500000000004,0.0
antmaze-medium-stitch-v0,20,0.25,400,391.0,0.9775,400,393.0,0.9825,0.0050000000000000044,-0.014399916236932545,0.024399916236932554,-0.010000000000000009,0.020000000000000018,-3.887500000000017,0.0,-4.875,0.0
