result_set,condition,env,variant,success_count,success_mean,success_std,return_count,return_mean,return_std,steps_count,steps_mean,steps_std,replans_count,replans_mean,replans_std,no_path_count_count,no_path_count_mean,no_path_count_std,goal_distance_final_count,goal_distance_final_mean,goal_distance_final_std,fallback_used_count,fallback_used_mean,fallback_used_std,fallback_count_count,fallback_count_mean,fallback_count_std,direct_goal_attempts_count,direct_goal_attempts_mean,direct_goal_attempts_std,initial_plan_failed_count_count,initial_plan_failed_count_mean,initial_plan_failed_count_std,plan_failed_initial_count,plan_failed_initial_mean,plan_failed_initial_std,last_plan_edges_count,last_plan_edges_mean,last_plan_edges_std,first_plan_edges_count,first_plan_edges_mean,first_plan_edges_std,max_plan_edges_count,max_plan_edges_mean,max_plan_edges_std,mean_plan_edges_count,mean_plan_edges_mean,mean_plan_edges_std,num_plan_calls_count,num_plan_calls_mean,num_plan_calls_std,num_subgoal_attempts_count,num_subgoal_attempts_mean,num_subgoal_attempts_std,num_subgoal_reached_count,num_subgoal_reached_mean,num_subgoal_reached_std,subgoal_reach_rate_count,subgoal_reach_rate_mean,subgoal_reach_rate_std,subgoal_horizon_count,subgoal_horizon_mean,subgoal_horizon_std,subgoal_threshold_count,subgoal_threshold_mean,subgoal_threshold_std,success_threshold_count,success_threshold_mean,success_threshold_std,lambda_risk_count,lambda_risk_mean,lambda_risk_std,lambda_boundary_count,lambda_boundary_mean,lambda_boundary_std,success_if_capped_700_count,success_if_capped_700_mean,success_if_capped_700_std
stage18_medium100_best_loaded,unknown,antmaze-medium-play-v2,reachability,300,0.30666666666666664,0.4618802153517005,300,0.30666666666666664,0.4618802153517005,300,893.9066666666666,187.50901326533975,300,61.21,82.0407715345238,300,0.0,0.0,300,4.05598375727733,5.422109614126863,300,0.5966666666666667,0.49138622654113595,300,13.72,36.24408520537638,300,6.86,18.12204260268819,300,6.86,18.12204260268819,300,0.5966666666666667,0.49138622654113595,300,2.05,2.3278522979498155,300,8.326666666666666,1.6919904435582767,300,8.433333333333334,1.6516604259849457,300,3.6815340381860735,1.882833018043075,300,61.21,82.0407715345238,300,61.21,82.0407715345238,300,48.14,83.04957056221642,300,0.6262261990419618,0.24232505938983417,300,50.0,0.0,300,1.0,0.0,300,0.5,0.0,300,1.0,0.0,300,0.1,0.0,300,0.19,0.39295637890109825
stage18_medium100_best_loaded,unknown,antmaze-medium-play-v2,shortest,300,0.21,0.4079887859958013,300,0.21,0.4079887859958013,300,941.98,137.26864854332064,300,40.983333333333334,65.91397344422685,300,0.0,0.0,300,9.90117179830869,8.401971202991753,300,0.2866666666666667,0.4529600404188833,300,5.763333333333334,17.80141258032835,300,5.763333333333334,17.80141258032835,300,5.763333333333334,17.80141258032835,300,0.2866666666666667,0.4529600404188833,300,2.8266666666666667,2.1050875359476704,300,7.583333333333333,1.1864855873765996,300,7.586666666666667,1.1834232226759733,300,4.2569468104839325,1.570166166269243,300,40.983333333333334,65.91397344422685,300,40.983333333333334,65.91397344422685,300,24.293333333333333,67.6135038922268,300,0.3820307211642925,0.2952916135506198,300,50.0,0.0,300,1.0,0.0,300,0.5,0.0,300,1.0,0.0,300,0.1,0.0,300,0.11,0.3134125472108031
stage18_online_tuned_h50_thr1_lb01,unknown,antmaze-medium-diverse-v2,full_bars,150,0.44,0.49804988833967995,150,0.44,0.49804988833967995,150,829.1933333333334,222.00410228589766,150,68.86,140.012656666623,150,0.0,0.0,150,4.229373799363772,6.460513978547672,150,0.5266666666666666,0.5009610450724583,150,17.72,36.624362009698544,150,5.906666666666666,12.208120669899513,150,5.906666666666666,12.208120669899513,150,0.5266666666666666,0.5009610450724583,150,1.98,2.6834566509104327,150,8.446666666666667,0.49881290848711857,150,8.473333333333333,0.5009610450724591,150,3.8409669494628904,2.0497501689036515,150,68.86,140.012656666623,150,68.86,140.012656666623,150,56.653333333333336,141.73010491713129,150,0.629540147771684,0.2715076169548305,150,50.0,0.0,150,1.0,0.0,150,0.5,0.0,150,1.0,0.0,150,0.1,0.0,150,0.32666666666666666,0.470565369887976
stage18_online_tuned_h50_thr1_lb01,unknown,antmaze-medium-diverse-v2,reachability,150,0.38,0.487012533774739,150,0.38,0.487012533774739,150,841.52,222.72590432272546,150,81.14666666666666,173.76808530922983,150,0.0,0.0,150,5.436153220335642,6.771358196050237,150,0.4533333333333333,0.49948519358733307,150,11.026666666666667,24.23568467432084,150,5.513333333333334,12.11784233716042,150,5.513333333333334,12.11784233716042,150,0.4533333333333333,0.49948519358733307,150,2.2866666666666666,2.6275174356643873,150,7.92,0.6904915086298555,150,7.96,0.6939817996569031,150,3.847642646630605,1.9437630832906359,150,81.14666666666666,173.76808530922983,150,81.14666666666666,173.76808530922983,150,69.0,176.15212309194195,150,0.6217758277659049,0.28268957479217593,150,50.0,0.0,150,1.0,0.0,150,0.5,0.0,150,1.0,0.0,150,0.1,0.0,150,0.31333333333333335,0.46540257044058836
stage18_online_tuned_h50_thr1_lb01,unknown,antmaze-medium-diverse-v2,shortest,150,0.2866666666666667,0.45371940397028415,150,0.2866666666666667,0.45371940397028415,150,911.6666666666666,163.89117631336376,150,45.693333333333335,68.72715695348002,150,0.0,0.0,150,8.958088435530662,9.097665928208471,150,0.3,0.4597927750336605,150,7.526666666666666,23.992643354225105,150,7.526666666666666,23.992643354225105,150,7.526666666666666,23.992643354225105,150,0.3,0.4597927750336605,150,2.82,2.422129519533581,150,7.306666666666667,0.6650091250992909,150,7.406666666666666,0.8117977949928527,150,3.902206079761187,1.8913360292555974,150,45.693333333333335,68.72715695348002,150,45.693333333333335,68.72715695348002,150,30.393333333333334,70.57005626441932,150,0.45127507090805685,0.3254189568069136,150,50.0,0.0,150,1.0,0.0,150,0.5,0.0,150,1.0,0.0,150,0.1,0.0,150,0.14,0.3481494703303096
stage18_online_tuned_h50_thr1_lb01,unknown,antmaze-medium-play-v2,full_bars,150,0.5133333333333333,0.5014966414959998,150,0.5133333333333333,0.5014966414959998,150,806.1333333333333,219.4797590969242,150,68.08666666666667,89.54507969475013,150,0.0,0.0,150,3.4420192704598107,5.295374044991026,150,0.6266666666666667,0.48530992887983576,150,29.2,55.51201574990274,150,9.733333333333333,18.504005249967577,150,9.733333333333333,18.504005249967577,150,0.6266666666666667,0.48530992887983576,150,1.7933333333333332,2.4585057574234224,150,8.326666666666666,1.7007565101845485,150,8.48,1.6897638928036123,150,3.5253310032685596,2.0661169857490447,150,68.08666666666667,89.54507969475013,150,68.08666666666667,89.54507969475013,150,56.58,90.43780687716657,150,0.6843073219451128,0.24348096229218769,150,50.0,0.0,150,1.0,0.0,150,0.5,0.0,150,1.0,0.0,150,0.1,0.0,150,0.34,0.4752957397962414
stage18_online_tuned_h50_thr1_lb01,unknown,antmaze-medium-play-v2,reachability,150,0.31333333333333335,0.4654025704405884,150,0.31333333333333335,0.4654025704405884,150,891.0533333333333,191.19405043489257,150,56.85333333333333,69.63205181395296,150,0.0,0.0,150,4.138554889361064,5.114682674763658,150,0.6,0.4915391523114243,150,13.373333333333333,36.54408878404178,150,6.6866666666666665,18.27204439202089,150,6.6866666666666665,18.27204439202089,150,0.6,0.4915391523114243,150,2.1,2.3961658411418516,150,8.32,1.696106872661606,150,8.473333333333333,1.641315018152918,150,3.7080945507685343,1.8925003450255442,150,56.85333333333333,69.63205181395296,150,56.85333333333333,69.63205181395296,150,43.68666666666667,70.51613520595687,150,0.6096607631480059,0.2457468518458495,150,50.0,0.0,150,1.0,0.0,150,0.5,0.0,150,1.0,0.0,150,0.1,0.0,150,0.19333333333333333,0.39623507812467246
stage18_online_tuned_h50_thr1_lb01,unknown,antmaze-medium-play-v2,shortest,150,0.2,0.4013400372543906,150,0.2,0.4013400372543906,150,943.52,132.1731993668629,150,42.17333333333333,68.51206200240239,150,0.0,0.0,150,10.040113935867945,8.470873752932652,150,0.28,0.4505030745003061,150,6.1066666666666665,18.587773518761935,150,6.1066666666666665,18.587773518761935,150,6.1066666666666665,18.587773518761935,150,0.28,0.4505030745003061,150,2.8466666666666667,2.0845763629513288,150,7.566666666666666,1.1838775255598555,150,7.573333333333333,1.1777960686886093,150,4.22681431055069,1.6027478655080136,150,42.17333333333333,68.51206200240239,150,42.17333333333333,68.51206200240239,150,25.4,70.39695692019762,150,0.3760252157976528,0.3045460294889682,150,50.0,0.0,150,1.0,0.0,150,0.5,0.0,150,1.0,0.0,150,0.1,0.0,150,0.11333333333333333,0.3180618036828199
stage18_online_tuned_h50_thr1_lb03_fullbars,unknown,antmaze-medium-diverse-v2,full_bars,150,0.48,0.5012735458661617,150,0.48,0.5012735458661617,150,818.66,220.52484162064843,150,50.193333333333335,71.47747537132666,150,0.0,0.0,150,2.952102621396383,5.03402046798472,150,0.5266666666666666,0.5009610450724584,150,19.1,39.09268799959345,150,6.366666666666666,13.030895999864482,150,6.366666666666666,13.030895999864482,150,0.5266666666666666,0.5009610450724584,150,1.56,2.193584299847378,150,8.54,0.5000671095902619,150,8.573333333333334,0.5225989089988617,150,3.5665300981203716,1.8366195723982641,150,50.193333333333335,71.47747537132666,150,50.193333333333335,71.47747537132666,150,38.13333333333333,72.46185450250243,150,0.6415829622667811,0.2561898587478968,150,50.0,0.0,150,1.0,0.0,150,0.5,0.0,150,1.0,0.0,150,0.3,0.0,150,0.3466666666666667,0.47750282569411173
stage18_online_tuned_h50_thr1_lb03_fullbars,unknown,antmaze-medium-play-v2,full_bars,150,0.31333333333333335,0.4654025704405886,150,0.31333333333333335,0.4654025704405886,150,886.5466666666666,193.1512112958548,150,54.92666666666667,57.81608153547187,150,0.0,0.0,150,7.372912906209628,8.27568994156637,150,0.48,0.5012735458661615,150,46.5,122.77893868752453,150,15.5,40.92631289584151,150,15.5,40.92631289584151,150,0.48,0.5012735458661615,150,2.68,2.862204528872922,150,8.326666666666666,1.7007565101845474,150,8.52,1.6041891468252563,150,4.105522384842237,2.202078350652407,150,54.92666666666667,57.81608153547187,150,54.92666666666667,57.81608153547187,150,40.64,60.080290797247976,150,0.5384715993667853,0.3378532206491658,150,50.0,0.0,150,1.0,0.0,150,0.5,0.0,150,1.0,0.0,150,0.3,0.0,150,0.2,0.40134003725439077
