result_set,condition,env,variant,fallback_used_bucket,count,mean,std
stage17_online_quick_loaded,unknown,antmaze-medium-diverse-v2,full_bars,0,90,0.2222222222222222,0.4180688018689385
stage17_online_quick_loaded,unknown,antmaze-medium-diverse-v2,reachability,0,90,0.13333333333333333,0.34183904485045247
stage17_online_quick_loaded,unknown,antmaze-medium-diverse-v2,shortest,0,90,0.12222222222222222,0.32937727344895734
stage17_online_quick_loaded,unknown,antmaze-medium-play-v2,full_bars,0,90,0.07777777777777778,0.26932198589215456
stage17_online_quick_loaded,unknown,antmaze-medium-play-v2,reachability,0,90,0.13333333333333333,0.34183904485045247
stage17_online_quick_loaded,unknown,antmaze-medium-play-v2,shortest,0,90,0.011111111111111112,0.10540925533894598
stage18_medium100_best_loaded,unknown,antmaze-medium-diverse-v2,full_bars,0,159,0.2641509433962264,0.4422730439743298
stage18_medium100_best_loaded,unknown,antmaze-medium-diverse-v2,full_bars,1,141,0.5815602836879432,0.49506173307397194
stage18_medium100_best_loaded,unknown,antmaze-medium-diverse-v2,reachability,0,173,0.19653179190751446,0.3985286826591066
stage18_medium100_best_loaded,unknown,antmaze-medium-diverse-v2,reachability,1,127,0.5590551181102362,0.49846659003621024
stage18_medium100_best_loaded,unknown,antmaze-medium-diverse-v2,shortest,0,212,0.1509433962264151,0.3588410209234944
stage18_medium100_best_loaded,unknown,antmaze-medium-diverse-v2,shortest,1,88,0.6363636363636364,0.48380242433138315
stage18_medium100_best_loaded,unknown,antmaze-medium-play-v2,full_bars,0,115,0.14782608695652175,0.3564808073096893
stage18_medium100_best_loaded,unknown,antmaze-medium-play-v2,full_bars,1,185,0.7027027027027027,0.4583088516767535
stage18_medium100_best_loaded,unknown,antmaze-medium-play-v2,reachability,0,121,0.1487603305785124,0.35733170921879176
stage18_medium100_best_loaded,unknown,antmaze-medium-play-v2,reachability,1,179,0.4134078212290503,0.4938260465064065
stage18_medium100_best_loaded,unknown,antmaze-medium-play-v2,shortest,0,214,0.018691588785046728,0.13575097410763887
stage18_medium100_best_loaded,unknown,antmaze-medium-play-v2,shortest,1,86,0.686046511627907,0.46681972605572997
stage18_online_tuned_h50_thr1_lb01,unknown,antmaze-medium-diverse-v2,full_bars,0,71,0.23943661971830985,0.42977697646219015
stage18_online_tuned_h50_thr1_lb01,unknown,antmaze-medium-diverse-v2,full_bars,1,79,0.620253164556962,0.4884249271331116
stage18_online_tuned_h50_thr1_lb01,unknown,antmaze-medium-diverse-v2,reachability,0,82,0.18292682926829268,0.3889856635299013
stage18_online_tuned_h50_thr1_lb01,unknown,antmaze-medium-diverse-v2,reachability,1,68,0.6176470588235294,0.48957525802965424
stage18_online_tuned_h50_thr1_lb01,unknown,antmaze-medium-diverse-v2,shortest,0,105,0.1523809523809524,0.3611134591827482
stage18_online_tuned_h50_thr1_lb01,unknown,antmaze-medium-diverse-v2,shortest,1,45,0.6,0.49543369430686224
stage18_online_tuned_h50_thr1_lb01,unknown,antmaze-medium-play-v2,full_bars,0,56,0.125,0.3337119062359573
stage18_online_tuned_h50_thr1_lb01,unknown,antmaze-medium-play-v2,full_bars,1,94,0.7446808510638298,0.43837849342815993
stage18_online_tuned_h50_thr1_lb01,unknown,antmaze-medium-play-v2,reachability,0,60,0.1,0.3025316904537665
stage18_online_tuned_h50_thr1_lb01,unknown,antmaze-medium-play-v2,reachability,1,90,0.45555555555555555,0.5008108282005755
stage18_online_tuned_h50_thr1_lb01,unknown,antmaze-medium-play-v2,shortest,0,108,0.009259259259259259,0.0962250448649376
stage18_online_tuned_h50_thr1_lb01,unknown,antmaze-medium-play-v2,shortest,1,42,0.6904761904761905,0.46790113809333267
stage18_online_tuned_h50_thr1_lb03_fullbars,unknown,antmaze-medium-diverse-v2,full_bars,0,71,0.36619718309859156,0.4851932345458813
stage18_online_tuned_h50_thr1_lb03_fullbars,unknown,antmaze-medium-diverse-v2,full_bars,1,79,0.5822784810126582,0.4963351570468689
stage18_online_tuned_h50_thr1_lb03_fullbars,unknown,antmaze-medium-play-v2,full_bars,0,78,0.05128205128205128,0.2220001110000833
stage18_online_tuned_h50_thr1_lb03_fullbars,unknown,antmaze-medium-play-v2,full_bars,1,72,0.5972222222222222,0.49389861028929466
stage19_protocol_ablation_medium50,direct_goal_after3,antmaze-medium-diverse-v2,full_bars,0,150,0.11333333333333333,0.31806180368281994
stage19_protocol_ablation_medium50,direct_goal_after3,antmaze-medium-diverse-v2,reachability,0,150,0.1,0.30100502794079315
stage19_protocol_ablation_medium50,direct_goal_after3,antmaze-medium-diverse-v2,shortest,0,150,0.10666666666666667,0.3097231209211054
stage19_protocol_ablation_medium50,direct_goal_after3,antmaze-medium-play-v2,full_bars,0,150,0.04666666666666667,0.21163050828222804
stage19_protocol_ablation_medium50,direct_goal_after3,antmaze-medium-play-v2,reachability,0,150,0.04,0.19661566092456975
stage19_protocol_ablation_medium50,direct_goal_after3,antmaze-medium-play-v2,shortest,0,150,0.006666666666666667,0.0816496580927726
stage19_protocol_ablation_medium50,direct_goal_fallback,antmaze-medium-diverse-v2,full_bars,0,71,0.23943661971830985,0.42977697646218993
stage19_protocol_ablation_medium50,direct_goal_fallback,antmaze-medium-diverse-v2,full_bars,1,79,0.620253164556962,0.48842492713311164
stage19_protocol_ablation_medium50,direct_goal_fallback,antmaze-medium-diverse-v2,reachability,0,82,0.18292682926829268,0.3889856635299014
stage19_protocol_ablation_medium50,direct_goal_fallback,antmaze-medium-diverse-v2,reachability,1,68,0.6176470588235294,0.4895752580296541
stage19_protocol_ablation_medium50,direct_goal_fallback,antmaze-medium-diverse-v2,shortest,0,105,0.1523809523809524,0.36111345918274823
stage19_protocol_ablation_medium50,direct_goal_fallback,antmaze-medium-diverse-v2,shortest,1,45,0.6,0.49543369430686224
stage19_protocol_ablation_medium50,direct_goal_fallback,antmaze-medium-play-v2,full_bars,0,56,0.125,0.3337119062359573
stage19_protocol_ablation_medium50,direct_goal_fallback,antmaze-medium-play-v2,full_bars,1,94,0.7446808510638298,0.43837849342815993
stage19_protocol_ablation_medium50,direct_goal_fallback,antmaze-medium-play-v2,reachability,0,60,0.1,0.3025316904537665
stage19_protocol_ablation_medium50,direct_goal_fallback,antmaze-medium-play-v2,reachability,1,90,0.45555555555555555,0.5008108282005755
stage19_protocol_ablation_medium50,direct_goal_fallback,antmaze-medium-play-v2,shortest,0,108,0.009259259259259259,0.0962250448649376
stage19_protocol_ablation_medium50,direct_goal_fallback,antmaze-medium-play-v2,shortest,1,42,0.6904761904761905,0.46790113809333267
stage19_protocol_ablation_medium50,direct_goal_only,antmaze-medium-diverse-v2,direct_goal,0,150,0.006666666666666667,0.0816496580927726
stage19_protocol_ablation_medium50,direct_goal_only,antmaze-medium-play-v2,direct_goal,0,150,0.0,0.0
stage19_protocol_ablation_medium50,horizon_threshold_only,antmaze-medium-diverse-v2,full_bars,0,150,0.08666666666666667,0.2822885064873429
stage19_protocol_ablation_medium50,horizon_threshold_only,antmaze-medium-diverse-v2,reachability,0,150,0.08666666666666667,0.28228850648734277
stage19_protocol_ablation_medium50,horizon_threshold_only,antmaze-medium-diverse-v2,shortest,0,150,0.06,0.2382824447791589
stage19_protocol_ablation_medium50,horizon_threshold_only,antmaze-medium-play-v2,full_bars,0,150,0.03333333333333333,0.18010685369303292
stage19_protocol_ablation_medium50,horizon_threshold_only,antmaze-medium-play-v2,reachability,0,150,0.02,0.14046901303903675
stage19_protocol_ablation_medium50,horizon_threshold_only,antmaze-medium-play-v2,shortest,0,150,0.006666666666666667,0.0816496580927726
stage19_protocol_ablation_medium50,original,antmaze-medium-diverse-v2,full_bars,0,150,0.17333333333333334,0.37980331657861593
stage19_protocol_ablation_medium50,original,antmaze-medium-diverse-v2,reachability,0,150,0.12666666666666668,0.33371342982242697
stage19_protocol_ablation_medium50,original,antmaze-medium-diverse-v2,shortest,0,150,0.10666666666666667,0.30972312092110527
stage19_protocol_ablation_medium50,original,antmaze-medium-play-v2,full_bars,0,150,0.14,0.34814947033030974
