condition,env,variant,success_count,success_mean,success_std,success_by700_count,success_by700_mean,success_by700_std,fallback_used_count,fallback_used_mean,fallback_used_std,fallback_count_count,fallback_count_mean,fallback_count_std,direct_goal_attempts_count,direct_goal_attempts_mean,direct_goal_attempts_std,used_direct_goal_count,used_direct_goal_mean,used_direct_goal_std,subgoal_reach_rate_count,subgoal_reach_rate_mean,subgoal_reach_rate_std,goal_distance_final_count,goal_distance_final_mean,goal_distance_final_std,first_plan_edges_count,first_plan_edges_mean,first_plan_edges_std,mean_plan_edges_count,mean_plan_edges_mean,mean_plan_edges_std
horizon_threshold_only,antmaze-medium-play-v2,full_bars,18,0.0,0.0,18,0.0,0.0,18,0.0,0.0,18,0.0,0.0,18,0.0,0.0,18,0.0,0.0,18,0.6407237981394007,0.2994160592454554,18,6.9200453327761755,5.9143867038145626,18,10.0,0.0,18,5.460887670516968,2.4650022040705344
horizon_threshold_only,antmaze-medium-play-v2,reachability,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.604221519992826,0.2728179920994576,50,7.93353520989418,5.775800117413265,50,10.0,0.0,50,5.852044186592102,1.939899606479937
horizon_threshold_only,antmaze-medium-play-v2,shortest,100,0.01,0.1,100,0.01,0.1,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.38206224313787546,0.2541109253441727,100,11.168079322874545,7.524585636260744,100,8.34,0.5359782899266793,100,5.321749188899994,1.007879912169933
original,antmaze-medium-diverse-v2,full_bars,86,0.18604651162790697,0.39142658862397905,86,0.18604651162790697,0.39142658862397905,86,0.0,0.0,86,0.0,0.0,86,0.0,0.0,86,0.0,0.0,86,0.19496481595588644,0.17685466410553558,86,5.104523551672004,6.38045911579135,86,8.511627906976743,0.5027965568348494,86,5.215005680572155,1.2814659432394
original,antmaze-medium-diverse-v2,reachability,150,0.12666666666666668,0.3337134298224269,150,0.12666666666666668,0.3337134298224269,150,0.0,0.0,150,0.0,0.0,150,0.0,0.0,150,0.0,0.0,150,0.21275460849149813,0.18563846687988952,150,6.033829946716627,6.890837449898375,150,7.92,0.6904915086298548,150,5.039135689735413,1.4636626488144446
original,antmaze-medium-diverse-v2,shortest,150,0.10666666666666667,0.3097231209211053,150,0.10666666666666667,0.3097231209211053,150,0.0,0.0,150,0.0,0.0,150,0.0,0.0,150,0.0,0.0,150,0.14071021039324935,0.15131237060368335,150,8.90578140159448,8.557279877604213,150,7.306666666666667,0.6650091250992909,150,4.816562372843425,1.1337864897020438
original,antmaze-medium-play-v2,full_bars,137,0.15328467153284672,0.36158374973460017,137,0.15328467153284672,0.36158374973460017,137,0.0,0.0,137,0.0,0.0,137,0.0,0.0,137,0.0,0.0,137,0.21252818697642487,0.1605561295961135,137,4.56171908365549,6.490528776086095,137,8.182481751824817,1.7073327069118733,137,4.977288872656161,1.4046064980954953
original,antmaze-medium-play-v2,reachability,150,0.11333333333333333,0.31806180368281994,150,0.11333333333333333,0.31806180368281994,150,0.0,0.0,150,0.0,0.0,150,0.0,0.0,150,0.0,0.0,150,0.21664891669149508,0.1899641971198641,150,5.814249382615089,6.576401515880558,150,8.32,1.696106872661605,150,5.145140600204468,1.4254285777921063
original,antmaze-medium-play-v2,shortest,150,0.02666666666666667,0.16164700403963203,150,0.02666666666666667,0.16164700403963203,150,0.0,0.0,150,0.0,0.0,150,0.0,0.0,150,0.0,0.0,150,0.11545241511176502,0.15184268631400044,150,12.795991964538892,8.297297986740011,150,7.566666666666666,1.1838775255598555,150,5.0363233884175616,0.9429593572011242
