env,seed,adapter_variant,fallback_mode,official_eval_score,official_eval_score_pp,bars_adapter_score,bars_adapter_score_pp,adapter_gap_pp,abs_adapter_gap_pp,max_gap_pp,gap_within_2pp,protocol_match,baseline_certification,adapter_certification_status,evidence_class,reason,same_env_id,same_task_id_list,same_goal_sampling,same_start_sampling,same_observation_format,same_goal_format,same_success_source,same_success_threshold,same_max_episode_steps,same_policy_checkpoint,same_tdr_checkpoint,same_graph_checkpoint,same_eval_seed,same_episode_count,official_eval_csv,adapter_eval_csv,policy_checkpoint,tdr_checkpoint,graph_checkpoint
antmaze-giant-stitch-v0,0,gas_shortest_official_control,none,0.92,92.0,0.0,0.0,-92.0,92.0,2.0,False,True,PASS_BASELINE_CERTIFICATION,FAIL_ADAPTER_MISMATCH,PROTOCOL_DEBUG_ONLY,adapter gap exceeds 2pp or protocol equality check failed,True,True,True,True,True,True,True,True,True,True,True,True,True,True,runs_round003_official_gas_eval/antmaze-giant-stitch-v0/seed0/official_evaluate_gas/eval.csv,runs_round003_bars_adapter_eval/antmaze-giant-stitch-v0/seed0/gas_shortest_official_control/budget999/fallback_none/eval.csv,artifacts/gas/antmaze-giant-stitch-v0/seed0/policy/params_1000000.pkl,artifacts/gas/antmaze-giant-stitch-v0/seed0/tdr/params_1000000.pkl,artifacts/gas/antmaze-giant-stitch-v0/seed0/graph/keygraph.pkl
antmaze-large-explore-v0,0,gas_shortest_official_control,none,0.968,96.8,0.904,90.4,-6.3999999999999915,6.3999999999999915,2.0,False,True,PASS_BASELINE_CERTIFICATION,FAIL_ADAPTER_MISMATCH,PROTOCOL_DEBUG_ONLY,adapter gap exceeds 2pp or protocol equality check failed,True,True,True,True,True,True,True,True,True,True,True,True,True,True,runs_round003_official_gas_eval/antmaze-large-explore-v0/seed0/official_evaluate_gas/eval.csv,runs_round003_bars_adapter_eval/antmaze-large-explore-v0/seed0/gas_shortest_official_control/budget999/fallback_none/eval.csv,artifacts/gas/antmaze-large-explore-v0/seed0/policy/params_1000000.pkl,artifacts/gas/antmaze-large-explore-v0/seed0/tdr/params_1000000.pkl,artifacts/gas/antmaze-large-explore-v0/seed0/graph/keygraph.pkl
scene-play-v0,0,gas_shortest_official_control,none,0.796,79.60000000000001,0.808,80.80000000000001,1.2000000000000028,1.2000000000000028,2.0,True,True,PASS_BASELINE_CERTIFICATION,PASS_ADAPTER_CERTIFICATION,E3_SAME_BACKBONE_METHOD_COMPARISON,adapter gap and all protocol equality checks pass,True,True,True,True,True,True,True,True,True,True,True,True,True,True,runs_round003_official_gas_eval/scene-play-v0/seed0/official_evaluate_gas/eval.csv,runs_round003_bars_adapter_eval/scene-play-v0/seed0/gas_shortest_official_control/budget999/fallback_none/eval.csv,artifacts/gas/scene-play-v0/seed0/policy/params_1000000.pkl,artifacts/gas/scene-play-v0/seed0/tdr/params_1000000.pkl,artifacts/gas/scene-play-v0/seed0/graph/keygraph.pkl
