result_set,condition,env,variant,last_plan_edges_bucket,count,mean,std
stage18_medium100,tuned_no_fallback,antmaze-medium-diverse-v2,reachability,3+,0,,
stage18_medium100,tuned_no_fallback,antmaze-medium-diverse-v2,shortest,0,0,,
stage18_medium100,tuned_no_fallback,antmaze-medium-diverse-v2,shortest,1,0,,
stage18_medium100,tuned_no_fallback,antmaze-medium-diverse-v2,shortest,2,0,,
stage18_medium100,tuned_no_fallback,antmaze-medium-diverse-v2,shortest,3+,0,,
stage18_medium100,tuned_no_fallback,antmaze-medium-play-v2,direct_goal,0,0,,
stage18_medium100,tuned_no_fallback,antmaze-medium-play-v2,direct_goal,1,0,,
stage18_medium100,tuned_no_fallback,antmaze-medium-play-v2,direct_goal,2,0,,
stage18_medium100,tuned_no_fallback,antmaze-medium-play-v2,direct_goal,3+,0,,
stage18_medium100,tuned_no_fallback,antmaze-medium-play-v2,full_bars,0,0,,
stage18_medium100,tuned_no_fallback,antmaze-medium-play-v2,full_bars,1,0,,
stage18_medium100,tuned_no_fallback,antmaze-medium-play-v2,full_bars,2,0,,
stage18_medium100,tuned_no_fallback,antmaze-medium-play-v2,full_bars,3+,0,,
stage18_medium100,tuned_no_fallback,antmaze-medium-play-v2,reachability,0,0,,
stage18_medium100,tuned_no_fallback,antmaze-medium-play-v2,reachability,1,0,,
stage18_medium100,tuned_no_fallback,antmaze-medium-play-v2,reachability,2,0,,
stage18_medium100,tuned_no_fallback,antmaze-medium-play-v2,reachability,3+,0,,
stage18_medium100,tuned_no_fallback,antmaze-medium-play-v2,shortest,0,0,,
stage18_medium100,tuned_no_fallback,antmaze-medium-play-v2,shortest,1,0,,
stage18_medium100,tuned_no_fallback,antmaze-medium-play-v2,shortest,2,0,,
stage18_medium100,tuned_no_fallback,antmaze-medium-play-v2,shortest,3+,0,,
stage18_medium100,unknown,antmaze-medium-diverse-v2,direct_goal,0,0,,
stage18_medium100,unknown,antmaze-medium-diverse-v2,direct_goal,1,0,,
stage18_medium100,unknown,antmaze-medium-diverse-v2,direct_goal,2,0,,
stage18_medium100,unknown,antmaze-medium-diverse-v2,direct_goal,3+,0,,
stage18_medium100,unknown,antmaze-medium-diverse-v2,full_bars,0,68,0.75,0.43623217151270094
stage18_medium100,unknown,antmaze-medium-diverse-v2,full_bars,1,137,0.46715328467153283,0.500750831700448
stage18_medium100,unknown,antmaze-medium-diverse-v2,full_bars,2,29,0.27586206896551724,0.45485882614734197
stage18_medium100,unknown,antmaze-medium-diverse-v2,full_bars,3+,66,0.015151515151515152,0.12309149097933274
stage18_medium100,unknown,antmaze-medium-diverse-v2,reachability,0,58,0.7241379310344828,0.45085118127692875
stage18_medium100,unknown,antmaze-medium-diverse-v2,reachability,1,126,0.48412698412698413,0.5017429937189276
stage18_medium100,unknown,antmaze-medium-diverse-v2,reachability,2,36,0.05555555555555555,0.2323106841457232
stage18_medium100,unknown,antmaze-medium-diverse-v2,reachability,3+,80,0.0,0.0
stage18_medium100,unknown,antmaze-medium-diverse-v2,shortest,0,44,0.75,0.4380187953915666
stage18_medium100,unknown,antmaze-medium-diverse-v2,shortest,1,99,0.5252525252525253,0.5019032011607365
stage18_medium100,unknown,antmaze-medium-diverse-v2,shortest,2,41,0.07317073170731707,0.2636516548818748
stage18_medium100,unknown,antmaze-medium-diverse-v2,shortest,3+,116,0.0,0.0
stage18_medium100,unknown,antmaze-medium-play-v2,direct_goal,0,0,,
stage18_medium100,unknown,antmaze-medium-play-v2,direct_goal,1,0,,
stage18_medium100,unknown,antmaze-medium-play-v2,direct_goal,2,0,,
stage18_medium100,unknown,antmaze-medium-play-v2,direct_goal,3+,0,,
stage18_medium100,unknown,antmaze-medium-play-v2,full_bars,0,80,0.825,0.3823643964146892
stage18_medium100,unknown,antmaze-medium-play-v2,full_bars,1,94,0.5531914893617021,0.4998283850987719
stage18_medium100,unknown,antmaze-medium-play-v2,full_bars,2,78,0.3717948717948718,0.4864121057259333
stage18_medium100,unknown,antmaze-medium-play-v2,full_bars,3+,48,0.0,0.0
stage18_medium100,unknown,antmaze-medium-play-v2,reachability,0,67,0.6119402985074627,0.4909861406609371
stage18_medium100,unknown,antmaze-medium-play-v2,reachability,1,73,0.2602739726027397,0.4418206417224696
stage18_medium100,unknown,antmaze-medium-play-v2,reachability,2,103,0.3106796116504854,0.465034812392688
stage18_medium100,unknown,antmaze-medium-play-v2,reachability,3+,57,0.0,0.0
stage18_medium100,unknown,antmaze-medium-play-v2,shortest,0,52,0.6538461538461539,0.48038446141526137
stage18_medium100,unknown,antmaze-medium-play-v2,shortest,1,52,0.5576923076923077,0.5015060275070905
stage18_medium100,unknown,antmaze-medium-play-v2,shortest,2,35,0.0,0.0
stage18_medium100,unknown,antmaze-medium-play-v2,shortest,3+,161,0.0,0.0
stage18_medium50,direct_goal_fallback,antmaze-medium-diverse-v2,direct_goal,0,0,,
stage18_medium50,direct_goal_fallback,antmaze-medium-diverse-v2,direct_goal,1,0,,
stage18_medium50,direct_goal_fallback,antmaze-medium-diverse-v2,direct_goal,2,0,,
stage18_medium50,direct_goal_fallback,antmaze-medium-diverse-v2,direct_goal,3+,0,,
