segment_source,segment_edge_id,planner_edge_id,src,dst,num_policy_mse_samples,min_preplan_policy_action_mse,median_preplan_policy_action_mse,mean_preplan_policy_action_mse,episode_id,replan_index,current_cluster
bank,0,0,0,1,32,0.02019086480140686,0.2546380013227463,0.3543520853854716,0,0,0
bank,1,1,0,20,32,0.018049705773591995,0.14926878362894058,0.23935226368485019,0,0,0
bank,2,2,0,21,32,0.0309828482568264,0.19349845498800278,0.4132188396761194,0,0,0
bank,0,0,0,1,32,0.02019086480140686,0.2546380013227463,0.3543520853854716,0,1,0
bank,1,1,0,20,32,0.018049705773591995,0.14926878362894058,0.23935226368485019,0,1,0
bank,2,2,0,21,32,0.0309828482568264,0.19349845498800278,0.4132188396761194,0,1,0
bank,0,0,0,1,32,0.02019086480140686,0.2546380013227463,0.3543520853854716,0,2,0
bank,1,1,0,20,32,0.018049705773591995,0.14926878362894058,0.23935226368485019,0,2,0
bank,2,2,0,21,32,0.0309828482568264,0.19349845498800278,0.4132188396761194,0,2,0
bank,0,0,0,1,32,0.02019086480140686,0.2546380013227463,0.3543520853854716,0,3,0
bank,1,1,0,20,32,0.018049705773591995,0.14926878362894058,0.23935226368485019,0,3,0
bank,2,2,0,21,32,0.0309828482568264,0.19349845498800278,0.4132188396761194,0,3,0
graph,0,0,1,3,32,0.011230641044676304,0.18180840462446213,0.2962271557189524,0,4,1
bank,3,3,1,0,32,0.011125476099550724,0.12473944947123528,0.3817406593298074,0,4,1
bank,4,4,1,2,32,0.014232323504984379,0.16109026223421097,0.6546922410780098,0,4,1
bank,5,5,1,3,32,0.014322488568723202,0.24811037629842758,0.3081141453876626,0,4,1
bank,6,6,1,20,32,0.023910541087388992,0.22744403034448624,0.28153125394601375,0,4,1
bank,7,7,1,21,32,0.023019365966320038,0.28293442726135254,0.4869366525672376,0,4,1
bank,8,8,1,22,32,0.023960497230291367,0.0859103873372078,0.10743857821216807,0,4,1
bank,9,9,2,0,29,0.034629903733730316,0.3289553225040436,0.3792076405009319,0,5,2
bank,10,10,2,1,32,0.020092885941267014,0.17087256908416748,0.2814545960864052,0,5,2
bank,11,11,2,3,32,0.030576087534427643,0.20402588695287704,0.35862471273867413,0,5,2
bank,12,12,2,4,32,0.044560689479112625,0.1114574745297432,0.1832991831470281,0,5,2
bank,13,13,2,21,32,0.046305689960718155,0.29231999814510345,0.7284884265391156,0,5,2
bank,14,14,2,22,32,0.022053662687540054,0.17688139528036118,0.2126003373414278,0,5,2
bank,15,15,2,23,14,0.03522469103336334,0.1774866059422493,0.23630995729139873,0,5,2
bank,124,124,23,2,32,0.02442004904150963,0.22334475815296173,0.37667737144511193,0,6,23
bank,125,125,23,3,32,0.01956552267074585,0.1914527416229248,0.26481639069970697,0,6,23
bank,126,126,23,4,32,0.012052809819579124,0.3131092041730881,0.5394307872047648,0,6,23
bank,127,127,23,21,7,0.01892194151878357,0.048381876200437546,0.05550883018544742,0,6,23
bank,128,128,23,22,32,0.020815977826714516,0.23531344532966614,0.4472100699786097,0,6,23
bank,118,118,22,0,5,0.2719593644142151,1.7947869300842285,1.6831422924995423,0,7,22
bank,119,119,22,1,32,0.07042403519153595,0.9954386353492737,0.998666959349066,0,7,22
bank,120,120,22,2,32,0.039513617753982544,0.15460499376058578,0.245889873476699,0,7,22
bank,121,121,22,3,32,0.016442010179162025,0.09668509662151337,0.22149709309451282,0,7,22
bank,122,122,22,21,32,0.051469046622514725,0.20888087153434753,0.36852165462914854,0,7,22
bank,123,123,22,23,18,0.01358801033347845,0.04624800570309162,0.0967282831358413,0,7,22
graph,0,0,1,3,32,0.011230641044676304,0.18180840462446213,0.2962271557189524,1,0,1
bank,3,3,1,0,32,0.011125476099550724,0.12473944947123528,0.3817406593298074,1,0,1
bank,4,4,1,2,32,0.014232323504984379,0.16109026223421097,0.6546922410780098,1,0,1
bank,5,5,1,3,32,0.014322488568723202,0.24811037629842758,0.3081141453876626,1,0,1
bank,6,6,1,20,32,0.023910541087388992,0.22744403034448624,0.28153125394601375,1,0,1
