segment_source,segment_edge_id,edge_src,edge_dst,attempts,completed,timeouts,success_rate,failure_excess,mean_attempt_steps,mean_final_subgoal_l2,mean_selected_policy_action_mse
bank,0,0,1,1,0,1,0.0,1,14.0,14.171696662902832,0.03923908621072769
bank,1,0,20,2,0,2,0.0,2,14.0,14.733703136444092,0.06735612452030182
bank,2,0,21,1,0,1,0.0,1,14.0,13.445809364318848,0.09793959558010101
bank,5,1,3,3,0,3,0.0,3,20.0,8.290850321451822,0.037892282009124756
bank,12,2,4,2,0,2,0.0,2,20.0,14.722329139709473,0.05749189667403698
bank,18,3,4,2,2,0,1.0,0,11.5,6.6056177616119385,0.09976588934659958
bank,32,4,26,2,0,2,0.0,2,20.0,15.333045959472656,0.2119767963886261
bank,40,5,26,1,0,1,0.0,1,16.0,9.573545455932617,0.027588102966547012
bank,47,6,26,1,1,0,1.0,0,11.0,14.181221008300781,0.022407319396734238
bank,54,7,27,1,1,0,1.0,0,7.0,7.622033596038818,0.05047624558210373
bank,121,22,3,1,0,1,0.0,1,10.0,19.691606521606445,0.047416187822818756
bank,126,23,4,1,0,1,0.0,1,14.0,12.221041679382324,0.3736298680305481
bank,142,25,46,1,0,1,0.0,1,2.0,11.252340316772461,0.2104736864566803
bank,152,26,46,1,0,1,0.0,1,14.0,14.634234428405762,0.035131700336933136
bank,154,26,66,1,0,1,0.0,1,20.0,12.076520919799805,0.21119269728660583
bank,163,27,47,1,0,1,0.0,1,13.0,5.387631893157959,0.023224350064992905
graph,0,1,3,1,1,0,1.0,0,18.0,4.604836940765381,0.037892282009124756
graph,12,5,26,1,0,1,0.0,1,16.0,9.441349029541016,0.04401779547333717
