condition,top_q,removed_nodes,path_coverage,mean_path_cost,reachable_pair_ratio,average_shortest_path_length
before,0.1,,0.992,69.01530493428255,0.992,129.83146535431823
after,0.1,332 207 206 146 86 232 231 126 166 313 233 292 18 272 352 312 261 235 186 209 10 46 218 147 47 9,0.614,70.49781991904821,0.614,144.2920406545138
