edge_id,bank_edge_id,src,dst,repair_score,repair_reason,edge_action_mse,num_policy_eval_samples,edge_action_mse_ucb,direct_edge_policy_support_score,transfer_edge_policy_support_score,transfer_edge_proxy_score
1897,5685,412,474,4.373011274488849,low_compatibility_junction,0.0053399952804503185,137,0.017576749140521042,0.8987054809263145,0.2505158290517718,0.0
1898,6539,474,471,4.340259815042824,low_compatibility_junction,0.0057294617228373975,159,0.017495070959924308,0.8917323616148284,0.2505158290517718,0.0
1899,3138,232,474,4.328017198354368,low_compatibility_junction,0.011582124006160377,77,0.03562048284928823,0.7932296679904013,0.2505158290517718,0.0
1900,5850,424,474,4.306025846475144,low_compatibility_junction,0.029972575607410235,70,0.07052988012009542,0.5491127351763938,0.2505158290517718,0.0
1901,5901,427,474,4.300755448270508,low_compatibility_junction,0.008016731285655018,96,0.02592770176785656,0.8518586874469743,0.2505158290517718,0.0
1902,17,0,474,4.286955866564938,low_compatibility_junction,0.007200845326296985,50,0.030722225985392017,0.8658731090292795,0.2505158290517718,0.0
1903,5303,384,474,4.28689769530779,low_compatibility_junction,0.015888204481990006,65,0.04653159411625077,0.727774457698978,0.2505158290517718,0.0
1904,2507,181,474,4.270670867119457,low_compatibility_junction,0.009239378397124914,49,0.03615345029891252,0.8312808557992498,0.2505158290517718,0.0
1905,5916,428,474,4.260910015694648,low_compatibility_junction,0.024319605061759217,37,0.07456930448408311,0.6148406802533399,0.2505158290517718,0.0
1906,5875,425,474,4.245534110639627,low_compatibility_junction,0.005228502093814313,30,0.031103724246546366,0.9007117076594493,0.2505158290517718,0.0
1907,6527,474,232,4.241920594305127,low_compatibility_junction,0.026693004433972028,28,0.0872097806893292,0.5863372818520561,0.2505158290517718,0.0
1908,4617,331,474,4.239544040550339,low_compatibility_junction,0.03655987635055291,35,0.09990663655371317,0.48133223646564516,0.2505158290517718,0.0
1909,6538,474,428,4.232700753707026,low_compatibility_junction,0.02866523090051487,8,0.14598975467294378,0.5636596776612144,0.2505158290517718,0.0
1910,3936,284,474,4.226482518504053,low_compatibility_junction,0.03768770233145915,20,0.12277033195599929,0.47059659101403833,0.2505158290517718,0.0
1911,1940,145,474,4.211165895846417,low_compatibility_junction,0.028140005554356005,23,0.09669739038399248,0.5696118522446233,0.2505158290517718,0.0
1912,6537,474,424,4.207776750890882,low_compatibility_junction,0.012464640667894855,20,0.06139528729645724,0.7793517353721444,0.2505158290517718,0.0
1913,5553,404,421,3.8966203680592577,low_compatibility_junction,0.02171000608684646,358,0.03697316868033898,0.6477826071325646,0.0076195940568684,0.0
1914,2976,219,404,3.879667084679372,low_compatibility_junction,0.0071253120036017786,252,0.017547472191789273,0.8671821429963312,0.0076195940568684,0.0
1915,5899,427,404,3.860640914244901,low_compatibility_junction,0.005584131235180937,221,0.015436433847056893,0.8943280500935564,0.0076195940568684,0.0
1916,5547,404,345,3.8449903533175154,low_compatibility_junction,0.022579689817028393,103,0.05159962544907819,0.6366127116243021,0.0076195940568684,0.0
1917,307,18,404,3.840811816864981,low_compatibility_junction,0.006772337976508424,80,0.024805853153310048,0.8733256579591053,0.0076195940568684,0.0
1918,5539,404,242,3.8196285216251056,low_compatibility_junction,0.03282607145933801,127,0.06433717887711107,0.5186523691558431,0.0076195940568684,0.0
1919,15,0,404,3.815493959042113,low_compatibility_junction,0.004297204907813396,78,0.018845154967765867,0.9176455278632492,0.0076195940568684,0.0
1920,5557,404,482,3.805389081624957,low_compatibility_junction,0.025437631110636225,95,0.05751011541114727,0.6012450910238919,0.0076195940568684,0.0
1921,2054,153,404,3.803042043979397,low_compatibility_junction,0.003890599929652507,31,0.025848131292272064,0.9251383375043485,0.0076195940568684,0.0
1922,5146,372,404,3.80148468256158,low_compatibility_junction,0.011942399724844902,63,0.03892796987918826,0.7875345828653693,0.0076195940568684,0.0
1923,5533,404,119,3.801153387823113,low_compatibility_junction,0.03092509750276804,20,0.107997094546647,0.5387509091461431,0.0076195940568684,0.0
1924,5528,404,18,3.800118053987093,low_compatibility_junction,0.017132104124357284,64,0.04920007178781463,0.7098922489634225,0.0076195940568684,0.0
1925,5542,404,308,3.791789249460494,low_compatibility_junction,0.022806525777143958,84,0.05510232187418085,0.6337311199395707,0.0076195940568684,0.0
