method,num_queries,num_reachable,path_coverage,mean_path_length,mean_planning_path_cost,mean_base_path_cost,mean_pair_penalty_cost,mean_edge_proxy_score,mean_min_edge_proxy_score,mean_heldout_support_lcb,mean_min_heldout_support_lcb,mean_edge_policy_support_score,mean_edge_ood_score,mean_pair_termination_bridge_coverage,mean_min_pair_termination_bridge_coverage,mean_pair_bridge_matches_per_first_segment,mean_pair_strict_compatible_rate,mean_pair_incompatible_fraction,mean_low_pair_coverage_fraction,mean_missing_pair_fraction,mean_uncertified_edge_fraction,mean_original_uncertified_edge_fraction,mean_high_pair_risk_fraction,mean_proxy_path_success_reachable,mean_proxy_path_success_over_all,num_graph_nodes,num_graph_edges,num_pair_compatibility_edges,coverage_delta_vs_support,num_common_reachable_with_support,base_cost_delta_common_vs_support,min_pair_coverage_delta_common_vs_support,pair_incompatible_delta_common_vs_support,min_proxy_delta_common_vs_support,mean_repair_edge_fraction,mean_num_repair_edges,mean_repair_certified_fraction,mean_repair_edge_proxy_score,mean_min_repair_edge_proxy_score
support_shortest_path,100,51,0.51,3.4313725490196076,12.242883552647953,12.242883552647953,23.774228097145883,0.25209228379658344,0.12659703983679346,0.1994033420107503,0.06524222047393104,0.5024905363016494,0.46282915027970545,0.024298666482966143,0.007352941176470588,0.08105432588898602,0.0915032679738562,0.9084967320261437,0.9150326797385621,0.0,0.34542483660130713,0.34542483660130713,0.9901960784313726,0.016772339997512483,0.008553893398731366,356,2397,33117,0.0,51.0,0.0,0.0,0.0,0.0,0.30196078431372547,1.0392156862745099,0.9904761904761904,0.350410885805851,0.32573860368055857
calibrated_compat_penalized,100,51,0.51,3.549019607843137,68.15163148807038,13.15910838568809,22.150141544678224,0.3166622566735857,0.18196916476238179,0.23851299256275268,0.08724453033736203,0.5934576085883453,0.3762005435981052,0.11408493314916975,0.024151625923606795,0.6649083154663465,0.29248366013071897,0.707516339869281,0.7359477124183006,0.0,0.1849673202614379,0.1849673202614379,0.9071895424836601,0.024642986242549684,0.012567922983700339,356,2397,33117,0.0,51.0,0.9162248330401361,0.01679868474713621,-0.2009803921568627,0.05537212492558832,0.3251633986928104,1.1568627450980393,0.9907407407407407,0.3956794615656555,0.3567219416848548
compat_threshold,100,48,0.48,6.208333333333333,23.53210792535327,23.53210792535327,35.61116860367786,0.3432211933705554,0.14919315111065037,0.22113504440791684,0.03779347137696447,0.6297241582242861,0.3348370526903362,0.3222437876798588,0.10688152295465751,1.697972219361931,1.0,0.0,0.0,0.0,0.159796626984127,0.159796626984127,0.7784060846560846,0.008967905914063908,0.004304594838750676,356,2397,33117,-0.030000000000000027,48.0,11.449244717912569,0.09906902295465751,-0.9027777777777777,0.01774991633993775,0.2517729377104377,1.5625,1.0,0.4481393995449966,0.36304226186865274
calibrated_compat_threshold,100,48,0.48,7.604166666666667,71.57638718465752,25.832040154798204,43.47059714417057,0.46049005612247323,0.24749430659122418,0.3429959439716081,0.09989423791106256,0.7320530637429158,0.22241185435793454,0.33578067103568393,0.09535094156915931,1.5705253108694635,1.0,0.0,0.0,0.0,0.033168740981240986,0.033168740981240986,0.7605233886483885,0.012038585877576563,0.005778521221236749,356,2397,33117,-0.030000000000000027,48.0,13.749176947357503,0.08753844156915931,-0.9027777777777777,0.11605107182051155,0.42290839947089953,3.2291666666666665,1.0,0.5650772168202104,0.404481113868339
