episode_id,segment_source,segment_edge_id,edge_src,edge_dst,attempt_steps,completed,timeout,final_cluster,final_subgoal_l2,mean_selected_policy_action_mse
0,bank,1,0,20,9,1,0,20,19.436023712158203,0.036851152777671814
0,bank,109,20,40,14,0,1,21,14.479225158691406,0.05683816969394684
0,bank,117,21,41,14,0,1,40,10.044346809387207,0.07892484217882156
0,bank,227,40,60,1,1,0,60,11.58290958404541,0.024561075493693352
0,bank,312,60,81,11,1,0,81,12.707330703735352,0.01961662992835045
0,bank,371,81,101,14,0,1,81,8.100064277648926,0.04577215015888214
0,graph,135,81,121,20,0,1,101,9.425423622131348,0.16997985541820526
0,bank,397,101,122,5,1,0,122,12.325007438659668,0.054812829941511154
0,bank,433,122,124,20,0,1,141,7.734012603759766,0.029581017792224884
0,bank,518,141,122,7,1,0,122,9.952155113220215,0.05896427109837532
0,graph,162,122,124,5,0,1,122,11.655040740966797,0.015290533192455769
1,bank,5,1,3,20,0,1,1,6.219546794891357,0.009555591270327568
1,graph,0,1,3,11,1,0,3,25.00444221496582,0.03735080361366272
1,bank,18,3,4,7,1,0,4,10.674352645874023,0.030842788517475128
1,bank,32,4,26,20,0,1,6,11.430553436279297,0.0083151338621974
1,bank,47,6,26,7,1,0,26,7.475841045379639,0.016846340149641037
1,bank,154,26,66,20,0,1,46,9.539505958557129,0.08607703447341919
1,graph,107,46,86,20,0,1,87,12.320412635803223,0.032124005258083344
1,bank,384,87,107,14,0,1,66,7.019759654998779,0.02245960757136345
1,bank,324,66,86,1,0,1,66,7.55364990234375,0.018284263089299202
2,bank,5,1,3,20,0,1,2,8.61285400390625,0.009555591270327568
2,bank,15,2,23,15,0,1,2,19.219879150390625,0.03482033312320709
2,bank,12,2,4,20,0,1,3,19.480588912963867,0.014887169003486633
2,bank,18,3,4,8,1,0,4,16.862483978271484,0.030842788517475128
2,bank,32,4,26,20,0,1,6,16.761310577392578,0.0083151338621974
2,bank,47,6,26,14,0,1,6,12.65063762664795,0.025436747819185257
2,graph,17,6,26,3,1,0,26,8.541216850280762,0.013207957148551941
2,bank,154,26,66,20,0,1,46,13.705086708068848,0.08607703447341919
