segment_source,segment_edge_id,edge_src,edge_dst,attempts,completed,timeouts,success_rate,failure_excess,mean_attempt_steps,mean_final_subgoal_l2,mean_selected_policy_action_mse
bank,1,0,20,1,1,0,1.0,0,9.0,19.436023712158203,0.036851152777671814
bank,5,1,3,2,0,2,0.0,2,20.0,7.416200399398804,0.009555591270327568
bank,12,2,4,1,0,1,0.0,1,20.0,19.480588912963867,0.014887169003486633
bank,15,2,23,1,0,1,0.0,1,15.0,19.219879150390625,0.03482033312320709
bank,18,3,4,2,2,0,1.0,0,7.5,13.768418312072754,0.030842788517475128
bank,32,4,26,2,0,2,0.0,2,20.0,14.095932006835938,0.0083151338621974
bank,47,6,26,2,1,1,0.5,0,10.5,10.063239336013794,0.021141543984413147
bank,109,20,40,1,0,1,0.0,1,14.0,14.479225158691406,0.05683816969394684
bank,117,21,41,1,0,1,0.0,1,14.0,10.044346809387207,0.07892484217882156
bank,154,26,66,2,0,2,0.0,2,20.0,11.622296333312988,0.08607703447341919
bank,227,40,60,1,1,0,1.0,0,1.0,11.58290958404541,0.024561075493693352
bank,312,60,81,1,1,0,1.0,0,11.0,12.707330703735352,0.01961662992835045
bank,324,66,86,1,0,1,0.0,1,1.0,7.55364990234375,0.018284263089299202
bank,371,81,101,1,0,1,0.0,1,14.0,8.100064277648926,0.04577215015888214
bank,384,87,107,1,0,1,0.0,1,14.0,7.019759654998779,0.02245960757136345
bank,397,101,122,1,1,0,1.0,0,5.0,12.325007438659668,0.054812829941511154
bank,433,122,124,1,0,1,0.0,1,20.0,7.734012603759766,0.029581017792224884
bank,518,141,122,1,1,0,1.0,0,7.0,9.952155113220215,0.05896427109837532
graph,0,1,3,1,1,0,1.0,0,11.0,25.00444221496582,0.03735080361366272
graph,17,6,26,1,1,0,1.0,0,3.0,8.541216850280762,0.013207957148551941
graph,107,46,86,1,0,1,0.0,1,20.0,12.320412635803223,0.032124005258083344
graph,135,81,121,1,0,1,0.0,1,20.0,9.425423622131348,0.16997985541820526
graph,162,122,124,1,0,1,0.0,1,5.0,11.655040740966797,0.015290533192455769
