edge_id,src,dst,heldout_support_lcb,edge_action_mse,edge_action_mse_ucb,edge_policy_support_score,obs_goal_knn_distance,action_residual_score,low_support_flag,edge_ood_score,outgoing_mean_termination_bridge_coverage,incoming_mean_termination_bridge_coverage,outgoing_incompatible_fraction,incoming_incompatible_fraction,edge_proxy_score,certified_offline_binary,edge_bottleneck_score,num_unique_starts,num_unique_episodes,median_h,num_segments,num_episodes,train_num_segments,train_num_unique_starts,train_num_unique_terminations,train_num_episodes,heldout_num_segments,heldout_num_unique_starts,heldout_num_unique_terminations,heldout_num_episodes,heldout_support_binary,heldout_support_rate,num_policy_eval_samples,obs_goal_knn_distance_norm,edge_proxy_score_original,certified_offline_binary_original,support_reliability,policy_reliability,behavior_reliability,compatibility_reliability,diversity_reliability,calibrated_edge_reliability_score,calibrated_edge_risk_score,calibrated_edge_ood_score,calibrated_certified_binary,edge_proxy_score_calibrated_input,edge_ood_score_calibrated_input,certification_source,is_repair_edge,bank_edge_id,repair_support_proxy_lcb,repair_score,repair_reason,repair_support_rank,repair_diversity_rank,repair_endpoint_familiarity
779,176,462,0.8620194241710247,0.0092355346942723,0.0402016146901526,0.8313447621875248,0.6353738903999329,0.0299124935697406,1.0,0.3433041645232468,0.0909090909090909,0.0389610389610389,0.9090909090909092,0.8571428571428571,0.4403315106971496,True,0.2947876642418097,8,2,3.5,24,2,0.0,0.0,0.0,0.0,24.0,8.0,8.0,2.0,1.0,1.0,37.0,0.0,0.5728677948593557,True,0.8620194241710247,0.8313447621875248,0.6566958354767531,0.08711953159090084,0.19659991656236964,0.44204414265242886,0.5579558573475711,0.34330416452324686,True,0.44204414265242886,0.34330416452324686,phase4c_base,False,,,,,,,
309,63,146,0.8453561767357979,0.0114291107190934,0.0423237675451776,0.7956608797479872,0.8847959637641907,0.0545964236528804,1.0,0.3552183437024971,0.1111111111111111,0.0643382352941176,0.8888888888888888,0.75,0.4736151488889853,True,0.5888593846705106,10,2,3.0,21,2,0.0,0.0,0.0,0.0,21.0,10.0,5.0,2.0,1.0,1.0,46.0,0.0110586074546113,0.5588638348889885,True,0.8453561767357979,0.7956608797479872,0.6447816562975028,0.12585379257705184,0.23383395911556112,0.47533968570693336,0.5246603142930666,0.35521834370249716,True,0.47533968570693336,0.35521834370249716,phase4c_base,False,,,,,,,
737,171,288,0.7718981569447084,0.0091168411386509,0.043284690021405,0.8333206117812163,0.6849372386932373,0.0285768555999941,1.0,0.3428589518666647,0.1428571428571428,0.0175430432759422,0.8571428571428571,0.8571428571428571,0.4166454890667044,True,0.7182700165677158,4,2,4.0,13,2,0.0,0.0,0.0,0.0,13.0,4.0,6.0,2.0,1.0,1.0,30.0,0.0,0.5405095697388903,True,0.7718981569447084,0.8333206117812163,0.6571410481333353,0.10703810607612234,0.1047142261159783,0.4186686067591321,0.5813313932408679,0.3428589518666647,True,0.4186686067591321,0.3428589518666647,phase4c_base,False,,,,,,,
681,164,288,0.7424220019799247,0.0102481718204217,0.0453237049887375,0.8146771033877181,0.9944643378257751,0.0413075233013866,1.0,0.3645317267208481,0.1428571428571428,0.0384759557328489,0.7142857142857143,0.5,0.513708416415372,True,0.486091359673193,8,4,3.0,18,4,1.0,1.0,1.0,1.0,17.0,7.0,10.0,3.0,1.0,0.9444444444444444,32.0,0.0522876568611577,0.5230520689951997,True,0.7424220019799247,0.8146771033877181,0.6354682732791519,0.1887299698212988,0.3379224030037547,0.5153010167590303,0.4846989832409697,0.3645317267208481,True,0.5153010167590303,0.3645317267208481,phase4c_base,False,,,,,,,
1381,347,207,0.8241154494176252,0.0160602846908448,0.0539392810394839,0.7252740512580371,1.2006970643997192,0.1067102201331671,1.0,0.4121765372023867,0.0416666666666666,0.0337941628264208,0.75,0.8333333333333334,0.4268652678515144,True,0.5763715552336803,7,3,4.0,18,3,0.0,0.0,0.0,0.0,18.0,7.0,8.0,3.0,1.0,1.0,43.0,0.1298193914739931,0.5135568243735313,True,0.8241154494176252,0.7252740512580371,0.5878234627976133,0.08865947818590296,0.2598039215686274,0.4283076510087339,0.5716923489912661,0.4121765372023867,True,0.4283076510087339,0.4121765372023867,phase4c_base,False,,,,,,,
1524,385,85,0.678721020269818,0.0104021764946756,0.0488734265691701,0.8121716821956151,1.314753770828247,0.0430405111571739,1.0,0.4052462381822963,0.0347826086956521,0.0228634761101023,0.7,0.6923076923076923,0.4286285890493858,True,0.6274492235751779,8,4,4.0,23,4,3.0,1.0,3.0,1.0,20.0,7.0,9.0,3.0,1.0,0.8695652173913043,27.0,0.1726982033897152,0.4803798974289575,True,0.678721020269818,0.8121716821956151,0.5947537618177037,0.0935829609291074,0.3379224030037547,0.4299574246619794,0.5700425753380206,0.4052462381822963,True,0.4299574246619794,0.4052462381822963,phase4c_base,False,,,,,,,
37,6,245,0.7224598312333834,0.0109619421317525,0.0537513134721971,0.8031298735889116,3.986673831939697,0.0493394566654231,1.0,0.6831131522218077,0.1666666666666666,0.0189037153322867,0.75,0.8125,0.391446039687832,True,0.4274154862127174,7,2,4.0,10,2,0.0,0.0,0.0,0.0,10.0,7.0,5.0,2.0,1.0,1.0,23.0,1.0,0.4801686175477413,True,0.7224598312333834,0.8031298735889116,0.3168868477781923,0.14246669972711348,0.17678347934918648,0.3928881689221467,0.6071118310778534,0.6831131522218077,True,0.3928881689221467,0.6831131522218077,phase4c_base,False,,,,,,,
291,58,389,0.7846829880728186,0.0206284299313735,0.0758364896914807,0.6619477864237047,1.6986818313598633,0.1581147652462239,1.0,0.4917160023294262,0.1428571428571428,0.0128934948669294,0.6,0.8823529411764706,0.4019125063947924,True,0.3328416238160545,4,2,4.0,14,2,0.0,0.0,0.0,0.0,14.0,4.0,7.0,2.0,1.0,1.0,26.0,0.317033241742055,0.4788609946957034,True,0.7846829880728186,0.6619477864237047,0.5082839976705738,0.1419717045116341,0.1047142261159783,0.4038640847121688,0.5961359152878312,0.49171600232942625,True,0.4038640847121688,0.49171600232942625,phase4c_base,False,,,,,,,
1284,317,176,0.4673727835155468,0.0085783378643866,0.0272033190342329,0.842344033539998,0.7871004939079285,0.0225171717681711,0.0,0.0075057239227237,0.2828282828282828,0.0914432607178054,0.5,0.5714285714285714,0.5723725609591581,True,0.3885877163610998,31,7,4.0,99,7,43.0,12.0,20.0,4.0,56.0,19.0,18.0,3.0,1.0,0.5656565656565656,95.0,0.0,0.4763289054305545,True,0.4673727835155468,0.842344033539998,0.9924942760772762,0.2947617096334872,0.6247392574050896,0.5738608821330319,0.4261391178669681,0.0075057239227237504,True,0.5738608821330319,0.0075057239227237504,phase4c_base,False,,,,,,,
923,230,288,0.5344908957977034,0.0110287784791967,0.0244559905130816,0.8020570254556878,0.8466644287109375,0.0500915544767856,0.0,0.0166971848255952,0.0791316526610644,0.1165159960853168,0.4285714285714285,0.375,0.5828203020263291,True,0.6230454517375743,71,14,4.0,204,14,81.0,29.0,38.0,9.0,123.0,42.0,44.0,5.0,1.0,0.6029411764705882,235.0,0.0,0.4723085123478662,True,0.5344908957977034,0.8020570254556878,0.9833028151744048,0.24190826613253205,0.8231122236128494,0.5834943383672005,0.41650566163279945,0.016697184825595235,True,0.5834943383672005,0.016697184825595235,phase4c_base,False,,,,,,,
685,166,173,0.6397666856325172,0.010223660279404,0.0524757249569591,0.8150765811225835,1.2244631052017212,0.0410316991868522,1.0,0.3932619218577848,0.0568181818181818,0.0,0.7272727272727273,1.0,0.3920836665218453,True,0.5552785381327531,9,4,5.0,16,4,2.0,2.0,2.0,2.0,14.0,7.0,7.0,2.0,1.0,0.875,22.0,0.1387540663865025,0.4667852745858216,True,0.6397666856325172,0.8150765811225835,0.6067380781422151,0.06224119971649614,0.3565915727993325,0.3932594055161767,0.6067405944838233,0.39326192185778486,True,0.3932594055161767,0.39326192185778486,phase4c_base,False,,,,,,,
1465,375,167,0.6456611570247934,0.0111068892625293,0.0663131426550396,0.8008050176127351,1.3612391948699951,0.0509705215573445,1.0,0.4137148637552899,0.0285714285714285,0.0349486714975845,0.9333333333333332,0.625,0.3431668951937282,True,0.6471630424319675,2,2,3.0,7,2,0.0,0.0,0.0,0.0,7.0,2.0,7.0,2.0,1.0,1.0,14.0,0.1901740697085251,0.4634864917251102,True,0.6456611570247934,0.8008050176127351,0.5862851362447101,0.08374770275030546,0.057259073842302874,0.3449113964422677,0.6550886035577324,0.4137148637552899,True,0.3449113964422677,0.4137148637552899,phase4c_base,False,,,,,,,
27,3,406,0.2423622333912179,0.0160196540448438,0.0298443217740141,0.7258636578511665,1.2016899585723877,0.1062530105294097,0.0,0.078815224514544,0.8,0.7301584352350314,0.0,0.0,0.5854031137458072,True,0.6286217318491387,246,35,4.0,685,35,497.0,184.0,175.0,24.0,188.0,62.0,71.0,11.0,1.0,0.2744525547445255,322.0,0.1301926630142225,0.4598383117838859,True,0.2423622333912179,0.7258636578511665,0.921184775485456,0.8746880687522357,0.9703796412181894,0.5853891286794443,0.41461087132055574,0.07881522451454404,True,0.5853891286794443,0.07881522451454404,phase4c_base,False,,,,,,,
