dataset_name,H,node_selection,node_budget,mode,num_queries,num_reachable,path_coverage,mean_path_edges,mean_path_cost,median_path_cost,all_num_queries,strict_num_queries,strict_num_reachable,strict_query_selection_rate,strict_coverage_over_all,mean_num_virtual_edges_used,median_num_virtual_edges_used,mean_virtual_edge_ratio
antmaze-large-stitch-v0,5,bottleneck,80,strict_selected,101,70,0.693069306930693,8.257142857142858,34.07904978066483,33.06741970579567,500,101.0,70.0,0.202,0.14,,,
antmaze-large-stitch-v0,5,bottleneck,80,virtual_query,500,136,0.272,8.286764705882353,35.840574491525956,38.08792360572697,500,,,,,0.538,0.0,0.06902702852702852
