job_id	track	command	log	status	returncode	error_class
smoke_compileall	protocol_repair	python -m compileall bars scripts	rounds/round_001/logs/compileall.log	COMPLETED	0	
failure_atlas_all_variants	protocol_repair	python scripts/stage25_enrich_failure_atlas_all_variants.py --eval-roots runs_stage24_reachability_confirm,runs_stage24_local_drift --out reports/round_001_failure_atlas_all_variants.csv --summary-out reports/round_001_failure_atlas_summary.csv --integrity-out reports/round_001_label_integrity.json --min-episodes 100	rounds/round_001/logs/failure_atlas.log	COMPLETED	0	
stage25_analyze_round_context	protocol_repair	python scripts/stage25_analyze.py --reports-root reports --failure-atlas reports/round_001_failure_atlas_all_variants.csv --min-episodes 100	rounds/round_001/logs/stage25_analyze.log	COMPLETED	0	
