condition,top_q,removed_nodes,path_coverage,mean_path_cost,reachable_pair_ratio,average_shortest_path_length
before,0.1,,1.0,26.445018050964233,1.0,29.567224627896014
after,0.1,175 22 429 120 266 171 410 3 139 199 79 224 167,1.0,28.656002165818524,1.0,32.03471477519903
